run_id,strategy,pesticide_threshold,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
threshold_3,threshold,0.1,1,3.6722583981669885,0.33531920183301184,10,15016.775194500966,100.0
threshold_2,threshold,0.1,1,3.6699710682711975,0.33760653172880284,10,15009.913204813593,100.0
threshold_1,threshold,0.1,1,3.6847640275499915,0.3228135724500089,10,15054.292082649974,100.0
threshold_0,threshold,0.1,1,3.6504509186281138,0.3571266813718866,10,14951.352755884342,100.0
threshold_3,threshold,0.1,2,3.6770672220529157,0.33051037794708493,10,25047.976860659714,100.0
threshold_2,threshold,0.1,2,3.6796171644516593,0.32796043554834087,10,25048.76469816857,100.0
threshold_1,threshold,0.1,2,3.707273014185766,0.30030458581423497,10,25176.111125207273,100.0
threshold_0,threshold,0.1,2,3.684685146315015,0.32289245368498504,10,25005.40819482939,100.0
threshold_3,threshold,0.1,3,3.674272512067214,0.33330508793278557,10,35070.794396861354,100.0
threshold_2,threshold,0.1,3,3.6636213355932172,0.34395626440678223,10,35039.62870494822,100.0
threshold_1,threshold,0.1,3,3.634585669993065,0.3729919300069367,10,35079.868135186465,100.0
threshold_0,threshold,0.1,3,3.6834090009495557,0.3241685990504454,10,35055.63519767806,100.0
threshold_7,threshold,0.1,1,3.643246891231782,0.36433070876821916,10,14929.740673695347,100.0
threshold_6,threshold,0.1,1,3.7132652016094614,0.2943123983905386,10,15139.795604828385,100.0
threshold_5,threshold,0.1,1,3.676082955872071,0.33149464412792834,10,15028.248867616212,100.0
threshold_4,threshold,0.1,1,3.645224740090339,0.36235285990966154,10,14935.674220271017,100.0
threshold_7,threshold,0.1,2,3.6869374362416343,0.3206401637583663,10,24990.55298242025,100.0
threshold_6,threshold,0.1,2,3.6484041103347744,0.35917348966522716,10,25085.007935832706,100.0
threshold_5,threshold,0.1,2,3.663834919429071,0.343742680570928,10,25019.753625903424,100.0
threshold_4,threshold,0.1,2,3.6561529571229547,0.3514246428770443,10,24904.13309163988,100.0
threshold_7,threshold,0.1,3,3.6839681907206545,0.32360940927934506,10,35042.457554582215,100.0
threshold_6,threshold,0.1,3,3.699568636285901,0.3080089637140991,10,35183.71384469041,100.0
threshold_5,threshold,0.1,3,3.6739348748069602,0.3336427251930387,10,35041.558250324306,100.0
threshold_4,threshold,0.1,3,3.614935260549135,0.39264233945086396,10,34748.93887328728,100.0
threshold_11,threshold,0.1,1,3.661769626386625,0.34580797361337484,10,14985.308879159875,100.0
threshold_10,threshold,0.1,1,3.66805953914655,0.33951806085345154,10,15004.17861743965,100.0
threshold_9,threshold,0.1,1,3.653539638048209,0.35403796195179127,10,14960.618914144627,100.0
threshold_8,threshold,0.1,1,3.6360373859676964,0.3715402140323043,10,14908.11215790309,100.0
threshold_11,threshold,0.1,2,3.6833032841745386,0.32427431582546057,10,25035.21873168349,100.0
threshold_10,threshold,0.1,2,3.6775896384758333,0.32998796152416754,10,25036.947532867147,100.0
threshold_9,threshold,0.1,2,3.694357188800501,0.31322041119950056,10,25043.69048054613,100.0
threshold_8,threshold,0.1,2,3.654959214225872,0.35261838577412774,10,24872.989800580704,100.0
threshold_11,threshold,0.1,3,3.681203365754419,0.3263742342455812,10,35078.828828946745,100.0
threshold_10,threshold,0.1,3,3.660916509029489,0.3466610909705111,10,35019.697059955615,100.0
threshold_9,threshold,0.1,3,3.70877330806435,0.29880429193565067,10,35170.01040473918,100.0
threshold_8,threshold,0.1,3,3.6716146022167484,0.33596299778325206,10,34887.83360723095,100.0
threshold_14,threshold,0.1,1,3.691068370143502,0.31650922985649704,10,15073.205110430506,100.0
threshold_13,threshold,0.1,1,3.699051545855186,0.30852605414481443,10,15097.154637565558,100.0
threshold_12,threshold,0.1,1,3.6941700019424535,0.3134075980575457,10,15082.51000582736,100.0
threshold_15,threshold,0.1,1,3.6695397532590177,0.3380378467409841,10,15008.619259777053,100.0
threshold_14,threshold,0.1,2,3.629091600761987,0.37848599923801074,10,24960.479912716466,100.0
threshold_13,threshold,0.1,2,3.700499603107057,0.30707799689294335,10,25198.65344688673,100.0
threshold_12,threshold,0.1,2,3.6818514008438297,0.3257261991561699,10,25128.06420835885,100.0
threshold_15,threshold,0.1,2,3.6598953361524695,0.34768226384753065,10,24988.305268234464,100.0
threshold_14,threshold,0.1,3,3.6952939213931244,0.31228367860687545,10,35046.36167689584,100.0
threshold_13,threshold,0.1,3,3.6481975211431847,0.359380078856815,10,35143.24601031628,100.0
threshold_12,threshold,0.1,3,3.6854593440202055,0.32211825597979565,10,35184.44224041946,100.0
threshold_15,threshold,0.1,3,3.691685609958854,0.3158919900411467,10,35063.36209811103,100.0
threshold_19,threshold,0.1,1,3.6835599391131995,0.32401766088680284,10,15050.679817339598,100.0
threshold_18,threshold,0.1,1,3.6699912774578163,0.3375863225421854,10,15009.97383237345,100.0
threshold_17,threshold,0.1,1,3.6584158820773407,0.34916171792265915,10,14975.247646232023,100.0
threshold_16,threshold,0.1,1,3.6728198672848618,0.33475773271513914,10,15018.459601854585,100.0
threshold_19,threshold,0.1,2,3.638905900345023,0.3686716996549755,10,24967.397518374666,100.0
threshold_18,threshold,0.1,2,3.6862921807150566,0.32128541928494414,10,25068.850374518617,100.0
threshold_17,threshold,0.1,2,3.631209411167414,0.3763681888325852,10,24868.875879734267,100.0
threshold_16,threshold,0.1,2,3.728196817737377,0.27938078226262325,10,25203.050055066717,100.0
threshold_19,threshold,0.1,3,3.6783421412349346,0.3292354587650663,10,35002.42394207947,100.0
threshold_18,threshold,0.1,3,3.6527812688814905,0.3547963311185097,10,35027.19418116309,100.0
threshold_17,threshold,0.1,3,3.6865752972127916,0.3210023027872081,10,34928.60177137264,100.0
threshold_16,threshold,0.1,3,3.6358827944270606,0.3716948055729401,10,35110.6984383479,100.0
threshold_23,threshold,0.1,1,3.709958978677941,0.2976186213220582,10,15129.876936033823,100.0
threshold_22,threshold,0.1,1,3.6959790572380014,0.3115985427619995,10,15087.937171714004,100.0
threshold_21,threshold,0.1,1,3.6508513990676907,0.3567262009323094,10,14952.554197203071,100.0
threshold_20,threshold,0.1,1,3.6696810321955518,0.3378965678044488,10,15009.043096586654,100.0
threshold_23,threshold,0.1,2,3.6469466508373194,0.3606309491626791,10,25070.71688854578,100.0
threshold_22,threshold,0.1,2,3.6855741554442454,0.32200344455575297,10,25144.659638046738,100.0
threshold_21,threshold,0.1,2,3.715263531549631,0.2923140684503699,10,25098.344791851967,100.0
threshold_20,threshold,0.1,2,3.702821208417077,0.3047563915829223,10,25117.506721837886,100.0
threshold_23,threshold,0.1,3,3.6891260812293325,0.31845151877067013,10,35138.09513223378,100.0
threshold_22,threshold,0.1,3,3.6636681478238002,0.3439094521762018,10,35135.66408151814,100.0
threshold_21,threshold,0.1,3,3.6667038014122393,0.34087379858776073,10,35098.456196088686,100.0
threshold_20,threshold,0.1,3,3.6566110453182956,0.35096655468170357,10,35087.33985779277,100.0
threshold_27,threshold,0.1,1,3.6580953141448482,0.3494822858551521,10,14974.285942434544,100.0
