run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_0,none,0.8,0.03,1,2.2570764772922183,1.7505011227077825,0,11771.229431876654,50.0
none_3,none,0.8,0.03,1,2.2926813877137624,1.7148962122862381,0,11878.044163141287,50.0
none_2,none,0.8,0.03,1,2.2877492618768165,1.719828338123184,0,11863.24778563045,50.0
none_1,none,0.8,0.03,2,2.296458832906026,1.7111187670939743,0,18680.967459645624,50.0
none_0,none,0.8,0.03,2,2.249755549931774,1.7578220500682264,0,18520.496081671976,50.0
none_3,none,0.8,0.03,2,2.40035522452911,1.607222375470889,0,19079.109836728618,50.0
none_2,none,0.8,0.03,2,2.300844570036968,1.706733029963032,0,18765.781495741354,50.0
none_1,none,0.8,0.03,3,2.321070808346778,1.6865067916532221,0,25644.17988468596,50.0
none_0,none,0.8,0.03,3,2.303392143495852,1.7041854565041477,0,25430.672512159534,50.0
none_3,none,0.8,0.03,3,2.2639289336706914,1.7436486663293087,0,25870.89663774069,50.0
none_2,none,0.8,0.03,3,2.3119567899373683,1.6956208100626315,0,25701.65186555346,50.0
none_5,none,0.8,0.03,1,2.3157029910199727,1.6918746089800274,0,11947.108973059918,50.0
none_4,none,0.8,0.03,1,2.258803719883858,1.7487738801161425,0,11776.411159651576,50.0
none_7,none,0.8,0.03,1,2.254454585628885,1.7531230143711156,0,11763.363756886654,50.0
none_6,none,0.8,0.03,1,2.3264627157814965,1.681114884218503,0,11979.388147344489,50.0
none_5,none,0.8,0.03,2,2.273674804096697,1.7339027959033033,0,18768.13338535001,50.0
none_4,none,0.8,0.03,2,2.2452105453757536,1.7623670546242474,0,18512.042795778838,50.0
none_7,none,0.8,0.03,2,2.3070568660949387,1.7005207339050616,0,18684.53435517147,50.0
none_6,none,0.8,0.03,2,2.2788130271248073,1.7287645728751933,0,18815.82722871891,50.0
none_5,none,0.8,0.03,3,2.2909676754303234,1.716609924569677,0,25641.03641164098,50.0
none_4,none,0.8,0.03,3,2.3547242595740863,1.6528533404259138,0,25576.215574501097,50.0
none_7,none,0.8,0.03,3,2.3068747938193974,1.7007028061806027,0,25605.15873662966,50.0
none_6,none,0.8,0.03,3,2.2940657462195935,1.7135118537804068,0,25698.02446737769,50.0
none_9,none,0.8,0.03,1,2.2964013005577386,1.7111762994422617,0,11889.203901673216,50.0
none_8,none,0.8,0.03,1,2.3470409973339157,1.6605366026660844,0,12041.122992001747,50.0
none_11,none,0.8,0.03,1,2.368357457105278,1.6392201428947215,0,12105.072371315833,50.0
none_10,none,0.8,0.03,1,2.3238480989575847,1.683729501042415,0,11971.544296872755,50.0
none_9,none,0.8,0.03,2,2.2323418380304303,1.7752357619695707,0,18586.22941576451,50.0
none_8,none,0.8,0.03,2,2.291236360496414,1.7163412395035864,0,18914.83207349099,50.0
none_11,none,0.8,0.03,2,2.309041620523135,1.6985359794768646,0,19032.19723288524,50.0
none_10,none,0.8,0.03,2,2.3901263346649317,1.6174512653350672,0,19141.92330086755,50.0
none_9,none,0.8,0.03,3,2.3800956253341967,1.6274819746658031,0,25726.516291767097,50.0
none_8,none,0.8,0.03,3,2.28574408213023,1.7218335178697703,0,25772.06431988168,50.0
none_11,none,0.8,0.03,3,2.289628745693046,1.7179488543069548,0,25901.083469964375,50.0
none_10,none,0.8,0.03,3,2.323259922904405,1.6843176770955948,0,26111.703069580766,50.0
none_13,none,0.8,0.03,1,2.2872997254867857,1.7202778745132141,0,11861.899176460356,50.0
none_12,none,0.8,0.03,1,2.361990653280048,1.6455869467199515,0,12085.971959840143,50.0
none_15,none,0.8,0.03,1,2.2649740980124613,1.7426035019875394,0,11794.922294037384,50.0
none_14,none,0.8,0.03,1,2.2990018392429916,1.7085757607570085,0,11897.005517728976,50.0
none_13,none,0.8,0.03,2,2.2724973450073733,1.735080254992627,0,18679.391211482478,50.0
none_12,none,0.8,0.03,2,2.3101279153387173,1.6974496846612825,0,19016.355705856295,50.0
none_15,none,0.8,0.03,2,2.2477841875059936,1.7597934124940073,0,18538.274856555363,50.0
none_14,none,0.8,0.03,2,2.3450731193890695,1.6625044806109304,0,18932.224875896183,50.0
none_13,none,0.8,0.03,3,2.290706273181056,1.7168713268189442,0,25551.510031025646,50.0
none_12,none,0.8,0.03,3,2.268506859500166,1.739070740499835,0,25821.876284356793,50.0
none_15,none,0.8,0.03,3,2.2560859697368376,1.7514916302631627,0,25306.532765765875,50.0
none_14,none,0.8,0.03,3,2.3394995280376665,1.6680780719623338,0,25950.723460009183,50.0
none_17,none,0.8,0.03,1,2.2664174683638247,1.7411601316361758,0,11799.252405091474,50.0
none_16,none,0.8,0.03,1,2.306581829822834,1.7009957701771663,0,11919.745489468502,50.0
none_19,none,0.8,0.03,1,2.355978855443951,1.651598744556049,0,12067.936566331853,50.0
none_18,none,0.8,0.03,1,2.2572935249057866,1.7502840750942141,0,11771.880574717361,50.0
none_17,none,0.8,0.03,2,2.299869203359432,1.7077083966405677,0,18698.860015169772,50.0
none_16,none,0.8,0.03,2,2.322372657716261,1.6852049422837387,0,18886.863462617286,50.0
none_19,none,0.8,0.03,2,2.2615614155483685,1.7460161844516318,0,18852.62081297696,50.0
none_18,none,0.8,0.03,2,2.2795615796929973,1.7280160203070032,0,18610.565313796353,50.0
none_17,none,0.8,0.03,3,2.2784704686625465,1.729107131337454,0,25534.271421157413,50.0
none_16,none,0.8,0.03,3,2.3110575803495412,1.6965200196504586,0,25820.03620366591,50.0
none_19,none,0.8,0.03,3,2.2481852138045775,1.7593923861954235,0,25597.17645439069,50.0
none_18,none,0.8,0.03,3,2.2800419505273553,1.727535649472645,0,25450.69116537842,50.0
none_21,none,0.8,0.03,1,2.3410057019406936,1.6665718980593063,0,12023.01710582208,50.0
none_20,none,0.8,0.03,1,2.3383111129053837,1.6692664870946163,0,12014.933338716151,50.0
none_23,none,0.8,0.03,1,2.3144232429718063,1.693154357028194,0,11943.26972891542,50.0
none_22,none,0.8,0.03,1,2.30437397646595,1.70320362353405,0,11913.12192939785,50.0
none_21,none,0.8,0.03,2,2.3519370821260863,1.6556405178739135,0,19078.82835220034,50.0
none_20,none,0.8,0.03,2,2.2323418380304303,1.7752357619695707,0,18711.958852807442,50.0
none_23,none,0.8,0.03,2,2.299634003902763,1.7079435960972371,0,18842.171740623708,50.0
none_22,none,0.8,0.03,2,2.3112734924016127,1.696304107598387,0,18846.942406602688,50.0
none_21,none,0.8,0.03,3,2.4013589811044005,1.6062186188955991,0,26282.90529551354,50.0
none_20,none,0.8,0.03,3,2.3097233842878984,1.6978542157121022,0,25641.129005671137,50.0
none_23,none,0.8,0.03,3,2.273315581494815,1.7342620185051851,0,25662.118485108153,50.0
none_22,none,0.8,0.03,3,2.320716705323385,1.6868608946766148,0,25809.092522572842,50.0
none_25,none,0.8,0.03,1,2.2839191275446034,1.7236584724553974,0,11851.75738263381,50.0
none_24,none,0.8,0.03,1,2.293820655023562,1.7137569449764385,0,11881.461965070685,50.0
none_27,none,0.8,0.03,1,2.2640547889937883,1.7435228110062122,0,11792.164366981364,50.0
none_26,none,0.8,0.03,1,2.3418048126133004,1.6657727873866999,0,12025.414437839901,50.0
none_25,none,0.8,0.03,2,2.332385416197304,1.675192183802696,0,18848.91363122572,50.0
none_24,none,0.8,0.03,2,2.3067785274560024,1.7007990725439979,0,18801.79754743869,50.0
none_27,none,0.8,0.03,2,2.2932756917420365,1.7143019082579638,0,18671.991442207473,50.0
none_26,none,0.8,0.03,2,2.3038965039541965,1.7036810960458038,0,18937.10394970249,50.0
none_25,none,0.8,0.03,3,2.2464463505752827,1.761131249424718,0,25588.25268295157,50.0
none_24,none,0.8,0.03,3,2.3315747500316437,1.676002849968356,0,25796.521797533624,50.0
none_27,none,0.8,0.03,3,2.2809817918378203,1.7265958081621804,0,25514.936817720933,50.0
none_26,none,0.8,0.03,3,2.3330024779345786,1.6745751220654208,0,25936.111383506228,50.0
none_29,none,0.8,0.03,1,2.3879098904699103,1.6196677095300889,0,12163.729671409732,50.0
none_28,none,0.8,0.03,1,2.3076849844514156,1.6998926155485847,0,11923.054953354247,50.0
none_31,none,0.8,0.03,1,2.346121360019266,1.6614562399807336,0,12038.3640800578,50.0
none_30,none,0.8,0.03,1,2.2679628152441573,1.739614784755843,0,11803.888445732471,50.0
none_29,none,0.8,0.03,2,2.345039670816648,1.6625379291833513,0,19198.848683859676,50.0
none_28,none,0.8,0.03,2,2.2664336772034663,1.741143922796534,0,18722.355984964648,50.0
none_31,none,0.8,0.03,2,2.2766265076887904,1.7309510923112101,0,18868.24360312417,50.0
none_30,none,0.8,0.03,2,2.2980326967084412,1.7095449032915588,0,18697.986535857795,50.0
none_29,none,0.8,0.03,3,2.3414525289273365,1.6661250710726632,0,26223.206270641684,50.0
none_28,none,0.8,0.03,3,2.384272153075454,1.6233054469245456,0,25875.17244419101,50.0
none_31,none,0.8,0.03,3,2.4229231354480434,1.5846544645519558,0,26137.0130094683,50.0
none_30,none,0.8,0.03,3,2.3200078441043313,1.6875697558956686,0,25658.010068170788,50.0
none_33,none,0.8,0.03,1,2.2440586182007993,1.763518981799201,0,11732.1758546024,50.0
