run_id,strategy,plot_position,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
none_0,none,corner,1,0,0,2.4698008476167455,1.5377767523832537,0,0.0,100.0
none_0,none,edge,1,1,0,2.3283239687415382,1.6792536312584647,0,0.0,100.0
none_0,none,edge,1,2,0,2.328271844783547,1.6793057552164536,0,0.0,100.0
none_0,none,edge,1,3,0,2.3593176363522192,1.6482599636477806,0,0.0,100.0
none_0,none,edge,1,4,0,2.4144587347070807,1.5931188652929191,0,0.0,100.0
none_0,none,edge,1,5,0,2.3818045316716208,1.625773068328379,0,0.0,100.0
none_0,none,edge,1,6,0,2.357689618604297,1.6498879813957035,0,0.0,100.0
none_0,none,edge,1,7,0,2.3419761562883874,1.6656014437116127,0,0.0,100.0
none_0,none,edge,1,8,0,2.3054800375198448,1.702097562480157,0,0.0,100.0
none_0,none,corner,1,9,0,2.567631541311877,1.4399460586881228,0,0.0,100.0
none_0,none,edge,1,0,1,2.3379470461584577,1.6696305538415446,0,0.0,100.0
none_0,none,interior,1,1,1,2.2666719846785726,1.7409056153214286,0,0.0,100.0
none_0,none,interior,1,2,1,2.2553789167824507,1.7521986832175507,0,0.0,100.0
none_0,none,interior,1,3,1,2.263503679157286,1.7440739208427143,0,0.0,100.0
none_0,none,interior,1,4,1,2.294845321003294,1.7127322789967059,0,0.0,100.0
none_0,none,interior,1,5,1,2.275530920660028,1.7320466793399727,0,0.0,100.0
none_0,none,interior,1,6,1,2.2699102649965446,1.7376673350034557,0,0.0,100.0
none_0,none,interior,1,7,1,2.275317305412219,1.7322602945877819,0,0.0,100.0
none_0,none,interior,1,8,1,2.2464391701920743,1.761138429807927,0,0.0,100.0
none_0,none,edge,1,9,1,2.312300018515341,1.6952775814846603,0,0.0,100.0
none_0,none,edge,1,0,2,2.3689765913958944,1.6386010086041054,0,0.0,100.0
none_0,none,interior,1,1,2,2.2591552524313614,1.7484223475686398,0,0.0,100.0
none_0,none,interior,1,2,2,2.3020219181014085,1.7055556818985924,0,0.0,100.0
none_0,none,interior,1,3,2,2.287278284176003,1.7202993158239976,0,0.0,100.0
none_0,none,interior,1,4,2,2.283959113289801,1.7236184867101991,0,0.0,100.0
none_0,none,interior,1,5,2,2.303338892480578,1.704238707519423,0,0.0,100.0
none_0,none,interior,1,6,2,2.3294244530598416,1.678153146940158,0,0.0,100.0
none_0,none,interior,1,7,2,2.3022591171798337,1.705318482820167,0,0.0,100.0
none_0,none,interior,1,8,2,2.2635988932555304,1.7439787067444699,0,0.0,100.0
none_0,none,edge,1,9,2,2.3607138593755645,1.6468637406244362,0,0.0,100.0
none_0,none,edge,1,0,3,2.3922589836848354,1.6153186163151654,0,0.0,100.0
none_0,none,interior,1,1,3,2.2830835617137244,1.724494038286276,0,0.0,100.0
none_0,none,interior,1,2,3,2.3257913685881024,1.681786231411898,0,0.0,100.0
none_0,none,interior,1,3,3,2.2912629712307906,1.7163146287692101,0,0.0,100.0
none_0,none,interior,1,4,3,2.274478157751115,1.733099442248886,0,0.0,100.0
none_0,none,interior,1,5,3,2.313971470355808,1.693606129644192,0,0.0,100.0
none_0,none,interior,1,6,3,2.302725998027401,1.7048516019725997,0,0.0,100.0
none_0,none,interior,1,7,3,2.3138069600157674,1.6937706399842334,0,0.0,100.0
none_0,none,interior,1,8,3,2.3151023235835577,1.6924752764164424,0,0.0,100.0
none_0,none,edge,1,9,3,2.3835521124304244,1.6240254875695754,0,0.0,100.0
none_0,none,edge,1,0,4,2.383835369414169,1.6237422305858298,0,0.0,100.0
none_0,none,interior,1,1,4,2.286517422220228,1.7210601777797727,0,0.0,100.0
none_0,none,interior,1,2,4,2.316726030351595,1.6908515696484052,0,0.0,100.0
none_0,none,interior,1,3,4,2.317568743190051,1.690008856809949,0,0.0,100.0
none_0,none,interior,1,4,4,2.292419534286689,1.7151580657133116,0,0.0,100.0
none_0,none,interior,1,5,4,2.2647795267532698,1.742798073246731,0,0.0,100.0
none_0,none,interior,1,6,4,2.2881770550112033,1.719400544988797,0,0.0,100.0
none_0,none,interior,1,7,4,2.317279117518016,1.690298482481984,0,0.0,100.0
none_0,none,interior,1,8,4,2.292573629870681,1.7150039701293194,0,0.0,100.0
none_0,none,edge,1,9,4,2.432855983443614,1.574721616556385,0,0.0,100.0
none_0,none,edge,1,0,5,2.4025492769821986,1.6050283230178013,0,0.0,100.0
none_0,none,interior,1,1,5,2.2960167924190724,1.7115608075809277,0,0.0,100.0
none_0,none,interior,1,2,5,2.300504991026432,1.7070726089735684,0,0.0,100.0
none_0,none,interior,1,3,5,2.2938513437154717,1.7137262562845288,0,0.0,100.0
none_0,none,interior,1,4,5,2.3031397737594026,1.704437826240598,0,0.0,100.0
none_0,none,interior,1,5,5,2.280769276089229,1.7268083239107714,0,0.0,100.0
none_0,none,interior,1,6,5,2.3275288462761536,1.6800487537238464,0,0.0,100.0
none_0,none,interior,1,7,5,2.3385557906025025,1.6690218093974978,0,0.0,100.0
none_0,none,interior,1,8,5,2.3260718387350714,1.6815057612649293,0,0.0,100.0
none_0,none,edge,1,9,5,2.353759446785982,1.6538181532140184,0,0.0,100.0
none_0,none,edge,1,0,6,2.367772700531173,1.6398048994688261,0,0.0,100.0
none_0,none,interior,1,1,6,2.278955056829162,1.7286225431708386,0,0.0,100.0
none_0,none,interior,1,2,6,2.2935836058295336,1.7139939941704672,0,0.0,100.0
none_0,none,interior,1,3,6,2.283558769805395,1.724018830194605,0,0.0,100.0
none_0,none,interior,1,4,6,2.2984530217013304,1.7091245782986704,0,0.0,100.0
none_0,none,interior,1,5,6,2.2901045219010423,1.7174730780989584,0,0.0,100.0
none_0,none,interior,1,6,6,2.3243949549811256,1.683182645018874,0,0.0,100.0
none_0,none,interior,1,7,6,2.344506023277358,1.6630715767226416,0,0.0,100.0
none_0,none,interior,1,8,6,2.3106694246231068,1.696908175376894,0,0.0,100.0
none_0,none,edge,1,9,6,2.371743007435409,1.6358345925645912,0,0.0,100.0
none_0,none,edge,1,0,7,2.325529200790037,1.6820483992099637,0,0.0,100.0
none_0,none,interior,1,1,7,2.261227444308762,1.7463501556912389,0,0.0,100.0
none_0,none,interior,1,2,7,2.294644518265015,1.7129330817349857,0,0.0,100.0
none_0,none,interior,1,3,7,2.322395437521089,1.6851821624789114,0,0.0,100.0
none_0,none,interior,1,4,7,2.2703485659585882,1.7372290340414125,0,0.0,100.0
none_0,none,interior,1,5,7,2.2956344225046603,1.7119431774953398,0,0.0,100.0
none_0,none,interior,1,6,7,2.3025000500501855,1.7050775499498148,0,0.0,100.0
none_0,none,interior,1,7,7,2.2953879586427712,1.7121896413572288,0,0.0,100.0
none_0,none,interior,1,8,7,2.294092600318446,1.7134849996815544,0,0.0,100.0
none_0,none,edge,1,9,7,2.3482689273909028,1.6593086726090973,0,0.0,100.0
none_0,none,edge,1,0,8,2.2794679041287047,1.7281096958712983,0,0.0,100.0
none_0,none,interior,1,1,8,2.2260371685193956,1.7815404314806054,0,0.0,100.0
none_0,none,interior,1,2,8,2.278132172377838,1.729445427622163,0,0.0,100.0
none_0,none,interior,1,3,8,2.3151519026103813,1.692425697389619,0,0.0,100.0
none_0,none,interior,1,4,8,2.2803372791321186,1.7272403208678817,0,0.0,100.0
none_0,none,interior,1,5,8,2.245551959194379,1.7620256408056219,0,0.0,100.0
none_0,none,interior,1,6,8,2.2573595933109365,1.7502180066890645,0,0.0,100.0
none_0,none,interior,1,7,8,2.2865744946481117,1.7210031053518886,0,0.0,100.0
none_0,none,interior,1,8,8,2.2877298080637436,1.7198477919362571,0,0.0,100.0
none_0,none,edge,1,9,8,2.342740292442187,1.6648373075578147,0,0.0,100.0
none_0,none,corner,1,0,9,2.4824668303316866,1.5251107696683122,0,0.0,100.0
none_0,none,edge,1,1,9,2.3130110391754717,1.6945665608245295,0,0.0,100.0
none_0,none,edge,1,2,9,2.3828590678822574,1.6247185321177426,0,0.0,100.0
none_0,none,edge,1,3,9,2.40446681008437,1.60311078991563,0,0.0,100.0
none_0,none,edge,1,4,9,2.368399719219968,1.6391778807800312,0,0.0,100.0
none_0,none,edge,1,5,9,2.3543343264687984,1.6532432735312015,0,0.0,100.0
none_0,none,edge,1,6,9,2.3389672603565765,1.668610339643424,0,0.0,100.0
none_0,none,edge,1,7,9,2.3591909004634593,1.6483866995365413,0,0.0,100.0
none_0,none,edge,1,8,9,2.3350927575936744,1.6724848424063268,0,0.0,100.0
none_0,none,corner,1,9,9,2.5262218620058188,1.48135573799418,0,0.0,100.0
none_1,none,corner,1,0,0,2.5140235970333515,1.4935540029666465,0,0.0,100.0
none_1,none,edge,1,1,0,2.367166774892477,1.6404108251075238,0,0.0,100.0
none_1,none,edge,1,2,0,2.408097255564524,1.5994803444354753,0,0.0,100.0
none_1,none,edge,1,3,0,2.4076086527095693,1.5999689472904306,0,0.0,100.0
none_1,none,edge,1,4,0,2.371938824128073,1.635638775871927,0,0.0,100.0
none_1,none,edge,1,5,0,2.3288190729225526,1.6787585270774483,0,0.0,100.0
none_1,none,edge,1,6,0,2.3080200833464817,1.6995575166535193,0,0.0,100.0
none_1,none,edge,1,7,0,2.3126929086094794,1.6948846913905211,0,0.0,100.0
none_1,none,edge,1,8,0,2.2960976535679394,1.7114799464320627,0,0.0,100.0
none_1,none,corner,1,9,0,2.4561243914331916,1.551453208566808,0,0.0,100.0
none_1,none,edge,1,0,1,2.3195396149449268,1.6880379850550753,0,0.0,100.0
none_1,none,interior,1,1,1,2.2761849379976393,1.7313926620023616,0,0.0,100.0
none_1,none,interior,1,2,1,2.307655948786206,1.6999216512137942,0,0.0,100.0
none_1,none,interior,1,3,1,2.296601833033772,1.7109757669662284,0,0.0,100.0
none_1,none,interior,1,4,1,2.2710770845482036,1.7365005154517972,0,0.0,100.0
none_1,none,interior,1,5,1,2.253416871145285,1.754160728854716,0,0.0,100.0
none_1,none,interior,1,6,1,2.2432255761205484,1.7643520238794528,0,0.0,100.0
none_1,none,interior,1,7,1,2.232625049129706,1.7749525508702948,0,0.0,100.0
none_1,none,interior,1,8,1,2.2190140099528137,1.7885635900471875,0,0.0,100.0
none_1,none,edge,1,9,1,2.2909513684512213,1.7166262315487795,0,0.0,100.0
none_1,none,edge,1,0,2,2.405797736282672,1.6017798637173277,0,0.0,100.0
none_1,none,interior,1,1,2,2.277271941155363,1.730305658844638,0,0.0,100.0
