run_id,strategy,calendar_interval,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
calendar_3,calendar,1,1,0,0,2.959398263490006,1.0481793365099956,75,1.0,100.0
calendar_3,calendar,1,1,1,0,2.756124502882559,1.2514530971174405,75,1.0,100.0
calendar_3,calendar,1,1,2,0,2.8116947582242147,1.1958828417757847,75,1.0,100.0
calendar_3,calendar,1,1,3,0,2.7799995203572423,1.2275780796427571,75,1.0,100.0
calendar_3,calendar,1,1,4,0,2.8225477250387847,1.1850298749612143,75,1.0,100.0
calendar_3,calendar,1,1,5,0,2.809872912860354,1.1977046871396462,75,1.0,100.0
calendar_3,calendar,1,1,6,0,2.8050641389941053,1.2025134610058954,75,1.0,100.0
calendar_3,calendar,1,1,7,0,2.821010744251182,1.186566855748818,75,1.0,100.0
calendar_3,calendar,1,1,8,0,2.767038983880709,1.2405386161192922,75,1.0,100.0
calendar_3,calendar,1,1,9,0,2.9545857964767435,1.0529918035232557,75,1.0,100.0
calendar_3,calendar,1,1,0,1,2.751167821106244,1.2564097788937565,75,1.0,100.0
calendar_3,calendar,1,1,1,1,2.6797479115978673,1.327829688402131,75,1.0,100.0
calendar_3,calendar,1,1,2,1,2.7090547439816524,1.2985228560183464,75,1.0,100.0
calendar_3,calendar,1,1,3,1,2.7217557822695655,1.2858218177304335,75,1.0,100.0
calendar_3,calendar,1,1,4,1,2.7075028196993767,1.3000747803006218,75,1.0,100.0
calendar_3,calendar,1,1,5,1,2.6937365678758303,1.3138410321241685,75,1.0,100.0
calendar_3,calendar,1,1,6,1,2.7068155631415585,1.30076203685844,75,1.0,100.0
calendar_3,calendar,1,1,7,1,2.706674240870549,1.3009033591294497,75,1.0,100.0
calendar_3,calendar,1,1,8,1,2.7003251127200882,1.3072524872799096,75,1.0,100.0
calendar_3,calendar,1,1,9,1,2.78520886669746,1.2223687333025388,75,1.0,100.0
calendar_3,calendar,1,1,0,2,2.7900401668077617,1.2175374331922388,75,1.0,100.0
calendar_3,calendar,1,1,1,2,2.713613618604624,1.293963981395375,75,1.0,100.0
calendar_3,calendar,1,1,2,2,2.7401134682807737,1.2674641317192252,75,1.0,100.0
calendar_3,calendar,1,1,3,2,2.7423878419924494,1.2651897580075497,75,1.0,100.0
calendar_3,calendar,1,1,4,2,2.753837804995919,1.2537397950040805,75,1.0,100.0
calendar_3,calendar,1,1,5,2,2.7106061595095543,1.2969714404904458,75,1.0,100.0
calendar_3,calendar,1,1,6,2,2.7210775465813337,1.286500053418665,75,1.0,100.0
calendar_3,calendar,1,1,7,2,2.7518176647435086,1.2557599352564912,75,1.0,100.0
calendar_3,calendar,1,1,8,2,2.7352109947004237,1.2723666052995748,75,1.0,100.0
calendar_3,calendar,1,1,9,2,2.859818310296094,1.1477592897039062,75,1.0,100.0
calendar_3,calendar,1,1,0,3,2.8000292869354637,1.207548313064536,75,1.0,100.0
