run_id,strategy,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
none_3,none,1,0,0,2.538741409882414,1.4688361901175853,0,0.0,110.6
none_3,none,1,1,0,2.3308613106760783,1.6767162893239225,0,0.0,110.6
none_3,none,1,2,0,2.392707462770395,1.6148701372296046,0,0.0,110.6
none_3,none,1,3,0,2.3945521110416546,1.6130254889583442,0,0.0,110.6
none_3,none,1,4,0,2.3839502642601356,1.6236273357398647,0,0.0,110.6
none_3,none,1,5,0,2.3528057026933946,1.6547718973066052,0,0.0,110.6
none_3,none,1,6,0,2.351005938638497,1.6565716613615027,0,0.0,110.6
none_3,none,1,7,0,2.3495491405927056,1.6580284594072945,0,0.0,110.6
none_3,none,1,8,0,2.318373979466975,1.689203620533026,0,0.0,110.6
none_3,none,1,9,0,2.4966637804278093,1.5109138195721892,0,0.0,110.6
none_3,none,1,0,1,2.3482279490084874,1.6593496509915133,0,0.0,110.6
none_3,none,1,1,1,2.255594454755149,1.751983145244852,0,0.0,110.6
none_3,none,1,2,1,2.2846653624751565,1.7229122375248442,0,0.0,110.6
none_3,none,1,3,1,2.2748604627136007,1.7327171372863999,0,0.0,110.6
none_3,none,1,4,1,2.3017793025223,1.7057982974777006,0,0.0,110.6
none_3,none,1,5,1,2.291020370149837,1.716557229850163,0,0.0,110.6
none_3,none,1,6,1,2.2647834844843477,1.7427941155156534,0,0.0,110.6
none_3,none,1,7,1,2.259381068486389,1.7481965315136123,0,0.0,110.6
none_3,none,1,8,1,2.23195066791847,1.7756269320815308,0,0.0,110.6
none_3,none,1,9,1,2.2887990672802023,1.7187785327197986,0,0.0,110.6
none_3,none,1,0,2,2.3602640307924614,1.6473135692075385,0,0.0,110.6
none_3,none,1,1,2,2.268422506664501,1.7391550933354998,0,0.0,110.6
none_3,none,1,2,2,2.2777412893125963,1.7298363106874044,0,0.0,110.6
none_3,none,1,3,2,2.2791840255744047,1.7283935744255963,0,0.0,110.6
none_3,none,1,4,2,2.3021017794958016,1.7054758205041989,0,0.0,110.6
none_3,none,1,5,2,2.320504734099329,1.6870728659006715,0,0.0,110.6
none_3,none,1,6,2,2.3091007650937807,1.69847683490622,0,0.0,110.6
none_3,none,1,7,2,2.2817985848595437,1.725779015140457,0,0.0,110.6
none_3,none,1,8,2,2.249892180174794,1.7576854198252068,0,0.0,110.6
none_3,none,1,9,2,2.3067853254028927,1.7007922745971078,0,0.0,110.6
none_3,none,1,0,3,2.3510062981202298,1.656571301879771,0,0.0,110.6
none_3,none,1,1,3,2.2606353352307025,1.7469422647692987,0,0.0,110.6
