run_id,strategy,calendar_interval,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
calendar_0,calendar,7,1,3.6981184819723887,0.3094591180276135,10,15094.355445917166,100.0
calendar_1,calendar,7,1,3.6985789656327874,0.30899863436721403,10,15095.736896898363,100.0
calendar_2,calendar,7,1,3.6701360556790945,0.3374415443209049,10,15010.408167037283,100.0
calendar_3,calendar,7,1,3.674024440975758,0.3335531590242415,10,15022.073322927274,100.0
calendar_0,calendar,7,2,3.6733288227446526,0.33424877725534885,10,25114.341914151126,100.0
calendar_1,calendar,7,2,3.674382549466478,0.3331950505335229,10,25118.8845452978,100.0
calendar_2,calendar,7,2,3.6599268172375345,0.34765078276246625,10,24990.18861874989,100.0
calendar_3,calendar,7,2,3.651000117346287,0.3565774826537115,10,24975.073674966137,100.0
calendar_0,calendar,7,3,3.6635590622844987,0.34401853771550156,10,35105.019101004626,100.0
calendar_1,calendar,7,3,3.661720206583144,0.3458573934168557,10,35104.04516504723,100.0
calendar_2,calendar,7,3,3.666553819018027,0.34102378098197456,10,34989.85007580397,100.0
calendar_3,calendar,7,3,3.649639767718481,0.35793783228152054,10,34923.992978121576,100.0
calendar_6,calendar,7,1,3.663067221684207,0.3445103783157938,10,14989.20166505262,100.0
calendar_7,calendar,7,1,3.705753442681039,0.30182415731896006,10,15117.260328043118,100.0
calendar_4,calendar,7,1,3.6817912965364434,0.3257863034635575,10,15045.373889609331,100.0
calendar_5,calendar,7,1,3.6703228934481458,0.33725470655185413,10,15010.968680344437,100.0
calendar_6,calendar,7,2,3.66559242489292,0.3419851751070821,10,24985.97893973138,100.0
calendar_7,calendar,7,2,3.669111444259996,0.33846615574000377,10,25124.594660823106,100.0
calendar_4,calendar,7,2,3.6501851656527617,0.3573924343472384,10,24995.929386567615,100.0
calendar_5,calendar,7,2,3.657491019657848,0.3500865803421535,10,24983.441739317983,100.0
calendar_6,calendar,7,3,3.65379843688972,0.3537791631102796,10,34947.37425040054,100.0
calendar_7,calendar,7,3,3.673240791599881,0.3343368084001188,10,35144.31703562275,100.0
calendar_4,calendar,7,3,3.6763987915019647,0.3311788084980335,10,35025.12576107351,100.0
calendar_5,calendar,7,3,3.727179777329468,0.28039782267053115,10,35164.981071306385,100.0
calendar_10,calendar,7,1,3.684603151635892,0.3229744483641088,10,15053.809454907676,100.0
calendar_11,calendar,7,1,3.675136852935314,0.33244074706468657,10,15025.410558805943,100.0
calendar_8,calendar,7,1,3.678739168271111,0.32883843172888855,10,15036.217504813332,100.0
calendar_9,calendar,7,1,3.7022819301072993,0.3052956698927012,10,15106.845790321899,100.0
calendar_10,calendar,7,2,3.698301103794356,0.30927649620564385,10,25148.712766290744,100.0
calendar_11,calendar,7,2,3.670070204004416,0.3375073959955842,10,25035.62117081919,100.0
calendar_8,calendar,7,2,3.6716397370427174,0.33593786295728345,10,25051.136715941484,100.0
calendar_9,calendar,7,2,3.67829887603903,0.32927872396097035,10,25141.74241843899,100.0
calendar_10,calendar,7,3,3.6761096373198603,0.33146796268013995,10,35177.04167825032,100.0
calendar_11,calendar,7,3,3.648772983848693,0.35880461615130677,10,34981.94012236527,100.0
calendar_8,calendar,7,3,3.7144586931412307,0.29311890685876846,10,35194.512795365175,100.0
calendar_9,calendar,7,3,3.6742359131523403,0.33334168684766063,10,35164.45015789601,100.0
calendar_14,calendar,7,1,3.689219207782664,0.31835839221733614,10,15067.657623347992,100.0
calendar_15,calendar,7,1,3.6431486710525083,0.36442892894749335,10,14929.446013157525,100.0
calendar_12,calendar,7,1,3.697537688116653,0.3100399118833463,10,15092.61306434996,100.0
calendar_13,calendar,7,1,3.681604567510736,0.325973032489262,10,15044.813702532207,100.0
calendar_14,calendar,7,2,3.6568437069404314,0.35073389305956826,10,25038.188744169285,100.0
calendar_15,calendar,7,2,3.6768914636293157,0.33068613637068367,10,24960.120404045472,100.0
calendar_12,calendar,7,2,3.665938694445231,0.34163890555476983,10,25090.429147685652,100.0
calendar_13,calendar,7,2,3.6546274824998397,0.3529501175001601,10,25008.696150031727,100.0
calendar_14,calendar,7,3,3.668075921330727,0.33950167866927333,10,35042.41650816146,100.0
calendar_15,calendar,7,3,3.6773450960282834,0.33023250397171744,10,34992.15569213032,100.0
calendar_12,calendar,7,3,3.628135957546727,0.3794416424532738,10,34974.83702032584,100.0
calendar_13,calendar,7,3,3.6851356363165344,0.32244196368346706,10,35064.10305898133,100.0
calendar_16,calendar,7,1,3.66979654700458,0.33778105299541916,10,15009.38964101374,100.0
calendar_17,calendar,7,1,3.633302723171173,0.374274876828827,10,14899.90816951352,100.0
calendar_18,calendar,7,1,3.703155471221969,0.30442212877802866,10,15109.466413665908,100.0
calendar_19,calendar,7,1,3.662765994922639,0.34481160507736003,10,14988.297984767918,100.0
calendar_16,calendar,7,2,3.7129196648953555,0.2946579351046422,10,25148.148635699807,100.0
calendar_17,calendar,7,2,3.6548382661819407,0.3527393338180596,10,24864.42296805934,100.0
calendar_18,calendar,7,2,3.649352255322856,0.35822534467714356,10,25057.523179634474,100.0
calendar_19,calendar,7,2,3.6436848115918616,0.36389278840813993,10,24919.352419543502,100.0
calendar_16,calendar,7,3,3.6545777040500877,0.3529998959499119,10,35111.88174785007,100.0
calendar_17,calendar,7,3,3.6447661665850797,0.3628114334149221,10,34798.72146781458,100.0
calendar_18,calendar,7,3,3.7216809746938377,0.28589662530616333,10,35222.56610371599,100.0
calendar_19,calendar,7,3,3.6852808501696566,0.32229674983034234,10,34975.19497005247,100.0
calendar_22,calendar,7,1,3.676178469607108,0.33139913039289176,10,15028.535408821324,100.0
calendar_23,calendar,7,1,3.716270327989604,0.2913072720103962,10,15148.810983968813,100.0
calendar_20,calendar,7,1,3.7172054515389052,0.2903721484610955,10,15151.616354616715,100.0
calendar_21,calendar,7,1,3.703026234354897,0.30455136564510255,10,15109.078703064692,100.0
calendar_22,calendar,7,2,3.689306479762273,0.318271120237727,10,25096.454848108144,100.0
calendar_23,calendar,7,2,3.6431374759212805,0.36444012407871945,10,25078.223411732655,100.0
calendar_20,calendar,7,2,3.66832616312473,0.33925143687526865,10,25156.594843990904,100.0
calendar_21,calendar,7,2,3.7037281026418705,0.30384949735812977,10,25220.263010990304,100.0
calendar_22,calendar,7,3,3.635642221547459,0.37193537845254143,10,35003.38151275052,100.0
