run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_0,none,0.8,0.03,1,2.2706293541074998,1.7369482458925007,0,11811.8880623225,150.0
none_1,none,0.8,0.03,1,2.4182789017066524,1.5892986982933466,0,12254.836705119957,150.0
none_2,none,0.8,0.03,2,2.2323418380304303,1.7752357619695707,0,18672.44953101834,150.0
none_3,none,0.8,0.03,2,2.2484694083361885,1.7591081916638123,0,18648.85937851977,150.0
none_0,none,0.8,0.03,2,2.2690613434829725,1.738516256517028,0,18619.072092771417,150.0
none_1,none,0.8,0.03,2,2.2956805471270956,1.7118970528729045,0,19141.878346501242,150.0
none_2,none,0.8,0.03,3,2.3536032268172336,1.6539743731827663,0,25733.259211470042,150.0
none_3,none,0.8,0.03,3,2.3661294010956655,1.6414481989043341,0,25747.24758180677,150.0
none_0,none,0.8,0.03,3,2.329649875634399,1.6779277243656006,0,25608.021719674616,150.0
none_1,none,0.8,0.03,3,2.309462448553097,1.6981151514469033,0,26070.26569216053,150.0
none_4,none,0.8,0.03,1,2.280752780561348,1.7268248194386522,0,11842.258341684044,150.0
none_5,none,0.8,0.03,1,2.315277281481778,1.6923003185182226,0,11945.831844445333,150.0
none_6,none,0.8,0.03,1,2.3045140149428707,1.7030635850571292,0,11913.542044828613,150.0
none_7,none,0.8,0.03,1,2.2912248234555572,1.7163527765444428,0,11873.674470366672,150.0
none_4,none,0.8,0.03,2,2.3877770471773885,1.6198005528226112,0,19005.58948321621,150.0
none_5,none,0.8,0.03,2,2.2994937439182896,1.7080838560817109,0,18844.3130762002,150.0
none_6,none,0.8,0.03,2,2.3024358929893927,1.7051417070106076,0,18820.84972379679,150.0
none_7,none,0.8,0.03,2,2.2839072847962956,1.7236703152037047,0,18725.39632475556,150.0
none_4,none,0.8,0.03,3,2.2481852138045775,1.7593923861954235,0,25750.14512462994,150.0
none_5,none,0.8,0.03,3,2.3590749701419416,1.648502629858058,0,25921.537986626026,150.0
none_6,none,0.8,0.03,3,2.3416973760160973,1.6658802239839023,0,25845.94185184508,150.0
