run_id,plot_strategy,plot_pesticide,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
threshold_0,calendar,etofenprox,1,3,5,3.010199963225483,0.9973776367745164,5,0.0525,110.6
threshold_0,none,etofenprox,1,4,5,2.5285879666664384,1.4789896333335606,0,0.0,110.6
threshold_0,threshold,etofenprox,1,5,5,3.207431766871873,0.8001458331281259,10,0.195,110.6
threshold_0,threshold,etofenprox,1,6,5,3.2612391185342546,0.7463384814657448,10,0.195,110.6
threshold_0,calendar,etofenprox,1,7,5,2.9082269889646426,1.0993506110353557,5,0.0525,110.6
threshold_0,none,neonicotinoid,1,8,5,2.3318828691391373,1.6756947308608636,0,0.0,100.0
threshold_0,threshold,neonicotinoid,1,9,5,3.285411245394518,0.722166354605482,9,0.26249999999999996,100.0
threshold_0,calendar,etofenprox,1,0,6,3.245934532171268,0.7616430678287336,5,0.0525,110.6
threshold_0,threshold,etofenprox,1,1,6,3.2848355219726075,0.7227420780273923,10,0.195,110.6
threshold_0,calendar,etofenprox,1,2,6,3.2393512463856053,0.7682263536143943,5,0.0525,110.6
threshold_0,threshold,etofenprox,1,3,6,3.2398987830668124,0.7676788169331868,10,0.195,110.6
threshold_0,none,etofenprox,1,4,6,2.4475197353947085,1.5600578646052907,0,0.0,110.6
threshold_0,calendar,etofenprox,1,5,6,2.8931511295015926,1.1144264704984073,5,0.0525,110.6
threshold_0,threshold,neonicotinoid,1,6,6,3.282344187221619,0.7252334127783818,10,0.32499999999999996,100.0
threshold_0,threshold,neonicotinoid,1,7,6,3.247993189148139,0.759584410851862,10,0.32499999999999996,100.0
threshold_0,threshold,etofenprox,1,8,6,3.081505217838512,0.926072382161488,10,0.195,110.6
threshold_0,none,neonicotinoid,1,9,6,2.620265527782619,1.387312072217382,0,0.0,100.0
threshold_0,threshold,neonicotinoid,1,0,7,3.5079949735721203,0.4995826264278791,8,0.19999999999999998,100.0
threshold_0,calendar,neonicotinoid,1,1,7,3.188458161077847,0.8191194389221538,5,0.0875,100.0
threshold_0,calendar,etofenprox,1,2,7,3.2043557742146223,0.8032218257853775,5,0.0525,110.6
threshold_0,calendar,neonicotinoid,1,3,7,3.130484484331491,0.8770931156685101,5,0.0875,100.0
threshold_0,calendar,neonicotinoid,1,4,7,3.023715060347339,0.9838625396526606,5,0.0875,100.0
threshold_0,none,etofenprox,1,5,7,2.4378555526850967,1.5697220473149045,0,0.0,110.6
threshold_0,none,neonicotinoid,1,6,7,2.4747964646955034,1.532781135304496,0,0.0,100.0
threshold_0,calendar,neonicotinoid,1,7,7,3.034509343656773,0.9730682563432269,5,0.0875,100.0
threshold_0,calendar,etofenprox,1,8,7,2.787140766531101,1.2204368334688993,5,0.0525,110.6
threshold_0,calendar,etofenprox,1,9,7,3.01839615882932,0.9891814411706791,5,0.0525,110.6
threshold_0,threshold,neonicotinoid,1,0,8,3.4139222707534045,0.5936553292465975,9,0.26249999999999996,100.0
threshold_0,threshold,etofenprox,1,1,8,3.2399157991404715,0.7676618008595288,10,0.195,110.6
threshold_0,calendar,neonicotinoid,1,2,8,3.0789961550755516,0.928581444924448,5,0.0875,100.0
threshold_0,calendar,etofenprox,1,3,8,3.129285229130511,0.8782923708694902,5,0.0525,110.6
threshold_0,threshold,neonicotinoid,1,4,8,3.2986940092257897,0.7088835907742091,10,0.32499999999999996,100.0
threshold_0,threshold,neonicotinoid,1,5,8,3.2556631973394263,0.7519144026605737,10,0.32499999999999996,100.0
threshold_0,calendar,neonicotinoid,1,6,8,2.9921585243603017,1.0154190756396984,5,0.0875,100.0
