run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_0,none,0.9,0.03,1,2.336194114498515,1.6713834855014846,0,12008.582343495546,100.0
none_3,none,0.9,0.03,1,2.3075997521485103,1.6999778478514898,0,11922.79925644553,100.0
none_2,none,0.9,0.03,1,2.323245079138331,1.6843325208616684,0,11969.735237414992,100.0
none_1,none,0.9,0.03,1,2.3014507326971203,1.70612686730288,0,11904.352198091361,100.0
none_0,none,0.9,0.03,2,2.3201298212987016,1.6874477787012985,0,18968.971807391652,100.0
none_3,none,0.9,0.03,2,2.261684201486031,1.7458933985139695,0,18707.851860903625,100.0
none_2,none,0.9,0.03,2,2.334308201649592,1.673269398350408,0,18972.65984236377,100.0
none_1,none,0.9,0.03,2,2.3034015186517367,1.7041760813482631,0,18814.55675404657,100.0
none_0,none,0.9,0.03,3,2.340200056742744,1.6673775432572555,0,25989.571977619882,100.0
none_3,none,0.9,0.03,3,2.279888782623226,1.7276888173767742,0,25547.518208773305,100.0
none_2,none,0.9,0.03,3,2.2702593489803187,1.7373182510196816,0,25783.437889304725,100.0
none_1,none,0.9,0.03,3,2.2983207485592048,1.7092568514407955,0,25709.518999724183,100.0
none_4,none,0.9,0.03,1,2.268546947658221,1.7390306523417798,0,11805.640842974663,100.0
none_7,none,0.9,0.03,1,2.30470466673487,1.7028729332651305,0,11914.11400020461,100.0
none_6,none,0.9,0.03,1,2.3111538448084175,1.6964237551915826,0,11933.461534425252,100.0
none_5,none,0.9,0.03,1,2.3373223579146365,1.670255242085363,0,12011.967073743908,100.0
none_4,none,0.9,0.03,2,2.2486204707098656,1.7589571292901351,0,18551.50225510426,100.0
none_7,none,0.9,0.03,2,2.2669242937974223,1.7406533062025784,0,18714.886881596878,100.0
none_6,none,0.9,0.03,2,2.324040136024933,1.6835374639750662,0,18905.58194250005,100.0
none_5,none,0.9,0.03,2,2.268562689339628,1.739014910660373,0,18817.655141762792,100.0
