run_id,strategy,calendar_interval,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction
calendar_2,calendar,7,1,0,0,3.549045198393429,0.45853240160657166,10,0.26
calendar_2,calendar,7,1,1,0,3.4729415735072333,0.5346360264927674,10,0.26
calendar_2,calendar,7,1,2,0,3.5193499506287567,0.4882276493712427,10,0.26
calendar_2,calendar,7,1,3,0,3.5077503375977006,0.49982726240229924,10,0.26
calendar_2,calendar,7,1,4,0,3.549092645921541,0.4584849540784597,10,0.26
calendar_2,calendar,7,1,5,0,3.521803078016556,0.48577452198344334,10,0.26
calendar_2,calendar,7,1,6,0,3.54449774892482,0.46307985107518085,10,0.26
calendar_2,calendar,7,1,7,0,3.538805989049054,0.468771610950945,10,0.26
calendar_2,calendar,7,1,8,0,3.4630791281783533,0.5444984718216473,10,0.26
calendar_2,calendar,7,1,9,0,3.516196100324036,0.49138149967596423,10,0.26
calendar_2,calendar,7,1,0,1,3.438312188486561,0.5692654115134379,10,0.26
calendar_2,calendar,7,1,1,1,3.3766444423524775,0.6309331576475226,10,0.26
calendar_2,calendar,7,1,2,1,3.4077866721729944,0.5997909278270056,10,0.26
calendar_2,calendar,7,1,3,1,3.409714796640781,0.5978628033592175,10,0.26
calendar_2,calendar,7,1,4,1,3.4429275020076155,0.5646500979923855,10,0.26
calendar_2,calendar,7,1,5,1,3.4531485466718763,0.5544290533281235,10,0.26
calendar_2,calendar,7,1,6,1,3.4338439312782327,0.5737336687217678,10,0.26
calendar_2,calendar,7,1,7,1,3.4102088740152,0.5973687259847996,10,0.26
calendar_2,calendar,7,1,8,1,3.352851116135657,0.6547264838643436,10,0.26
calendar_2,calendar,7,1,9,1,3.444396545775323,0.5631810542246772,10,0.26
calendar_2,calendar,7,1,0,2,3.5384145677230623,0.46916303227693784,10,0.26
calendar_2,calendar,7,1,1,2,3.4178556690315127,0.5897219309684876,10,0.26
calendar_2,calendar,7,1,2,2,3.452718596774541,0.5548590032254606,10,0.26
calendar_2,calendar,7,1,3,2,3.4537948394474918,0.5537827605525076,10,0.26
calendar_2,calendar,7,1,4,2,3.4726551979640914,0.5349224020359085,10,0.26
calendar_2,calendar,7,1,5,2,3.487628751637345,0.5199488483626548,10,0.26
calendar_2,calendar,7,1,6,2,3.475543753982359,0.5320338460176413,10,0.26
calendar_2,calendar,7,1,7,2,3.4681111801046987,0.5394664198953006,10,0.26
calendar_2,calendar,7,1,8,2,3.4062653831783316,0.6013122168216696,10,0.26
calendar_2,calendar,7,1,9,2,3.498443204625336,0.5091343953746632,10,0.26
calendar_2,calendar,7,1,0,3,3.527440169369281,0.48013743063071856,10,0.26
calendar_2,calendar,7,1,1,3,3.4351241121650715,0.5724534878349298,10,0.26
calendar_2,calendar,7,1,2,3,3.4210323733657053,0.5865452266342949,10,0.26
calendar_2,calendar,7,1,3,3,3.4528335875260776,0.5547440124739208,10,0.26
calendar_2,calendar,7,1,4,3,3.45528160110338,0.5522959988966187,10,0.26
calendar_2,calendar,7,1,5,3,3.4455783442649834,0.5619992557350174,10,0.26
calendar_2,calendar,7,1,6,3,3.483337227301674,0.5242403726983258,10,0.26
calendar_2,calendar,7,1,7,3,3.423036924207139,0.5845406757928606,10,0.26
calendar_2,calendar,7,1,8,3,3.415044447617331,0.5925331523826669,10,0.26
calendar_2,calendar,7,1,9,3,3.4957352810701283,0.5118423189298719,10,0.26
calendar_2,calendar,7,1,0,4,3.5139668980581553,0.4936107019418447,10,0.26
calendar_2,calendar,7,1,1,4,3.422272184585647,0.5853054154143529,10,0.26
calendar_2,calendar,7,1,2,4,3.435577957468753,0.571999642531247,10,0.26
calendar_2,calendar,7,1,3,4,3.4287790474200706,0.5787985525799284,10,0.26
calendar_2,calendar,7,1,4,4,3.474913467395887,0.5326641326041124,10,0.26
calendar_2,calendar,7,1,5,4,3.4853936952530336,0.5221839047469646,10,0.26
calendar_2,calendar,7,1,6,4,3.4722501404558352,0.535327459544165,10,0.26
calendar_2,calendar,7,1,7,4,3.4705188317835614,0.5370587682164382,10,0.26
calendar_2,calendar,7,1,8,4,3.393251214011194,0.6143263859888058,10,0.26
calendar_2,calendar,7,1,9,4,3.5227224399857557,0.48485516001424395,10,0.26
calendar_2,calendar,7,1,0,5,3.5184634979162004,0.48911410208379935,10,0.26
calendar_2,calendar,7,1,1,5,3.4127356693152144,0.5948419306847855,10,0.26
calendar_2,calendar,7,1,2,5,3.467852482469738,0.53972511753026,10,0.26
calendar_2,calendar,7,1,3,5,3.4546712670292834,0.5529063329707166,10,0.26
calendar_2,calendar,7,1,4,5,3.483793658837131,0.5237839411628675,10,0.26
calendar_2,calendar,7,1,5,5,3.4657440963062762,0.541833503693724,10,0.26
calendar_2,calendar,7,1,6,5,3.477579404929667,0.5299981950703331,10,0.26
calendar_2,calendar,7,1,7,5,3.4221491903790504,0.5854284096209494,10,0.26
calendar_2,calendar,7,1,8,5,3.4244839558043534,0.5830936441956474,10,0.26
calendar_2,calendar,7,1,9,5,3.475776887890658,0.5318007121093411,10,0.26
calendar_2,calendar,7,1,0,6,3.4912859017146958,0.5162916982853047,10,0.26
calendar_2,calendar,7,1,1,6,3.421614572616229,0.58596302738377,10,0.26
calendar_2,calendar,7,1,2,6,3.431353623370018,0.5762239766299824,10,0.26
calendar_2,calendar,7,1,3,6,3.459491261707345,0.5480863382926541,10,0.26
calendar_2,calendar,7,1,4,6,3.463944494995999,0.5436331050040009,10,0.26
calendar_2,calendar,7,1,5,6,3.494405918521684,0.5131716814783169,10,0.26
calendar_2,calendar,7,1,6,6,3.4041318924172566,0.6034457075827434,10,0.26
calendar_2,calendar,7,1,7,6,3.407992188356179,0.5995854116438213,10,0.26
calendar_2,calendar,7,1,8,6,3.3901143895210333,0.6174632104789661,10,0.26
calendar_2,calendar,7,1,9,6,3.5579016686921268,0.4496759313078724,10,0.26
calendar_2,calendar,7,1,0,7,3.5139198043250333,0.4936577956749665,10,0.26
calendar_2,calendar,7,1,1,7,3.388268528781874,0.619309071218127,10,0.26
calendar_2,calendar,7,1,2,7,3.430662177010375,0.576915422989625,10,0.26
calendar_2,calendar,7,1,3,7,3.449838220351216,0.5577393796487841,10,0.26
calendar_2,calendar,7,1,4,7,3.419793464810839,0.5877841351891611,10,0.26
calendar_2,calendar,7,1,5,7,3.4920291674193153,0.5155484325806856,10,0.26
calendar_2,calendar,7,1,6,7,3.422434207008686,0.5851433929913139,10,0.26
calendar_2,calendar,7,1,7,7,3.4714437893080867,0.5361338106919132,10,0.26
