run_id,strategy,pesticide_threshold,season,grain_tha,pest_loss_tha,spray_count,end_money
threshold_1,threshold,0.1,1,3.55225217251691,0.4553254274830906,10,14656.75651755073
threshold_0,threshold,0.1,1,3.535587522822013,0.4719900771779907,10,14606.762568466038
threshold_3,threshold,0.1,1,3.5717416892470557,0.4358359107529453,10,14715.225067741167
threshold_2,threshold,0.1,1,3.5680272887464275,0.439550311253573,10,14704.081866239283
threshold_1,threshold,0.1,2,3.5375909244098205,0.46998667559018,10,24269.529290780192
threshold_0,threshold,0.1,2,3.532967866335766,0.47460973366423376,10,24205.666167473333
threshold_3,threshold,0.1,2,3.5518496699373374,0.45572793006266366,10,24370.77407755318
threshold_2,threshold,0.1,2,3.513415116017776,0.4941624839822239,10,24244.32721429261
threshold_1,threshold,0.1,3,3.588426100179205,0.4191514998207957,10,34034.8075913178
threshold_0,threshold,0.1,3,3.456360460038805,0.5512171399611948,10,33574.74754758975
threshold_3,threshold,0.1,3,3.48910842587398,0.5184691741260213,10,33838.099355175116
threshold_2,threshold,0.1,3,3.5510500355222976,0.45652756447770265,10,33897.4773208595
threshold_5,threshold,0.1,1,3.4807778572627313,0.5267997427372688,10,14442.333571788195
threshold_4,threshold,0.1,1,3.495143598427361,0.5124340015726384,10,14485.430795282084
threshold_7,threshold,0.1,1,3.563228601544371,0.44434899845562925,10,14689.685804633113
threshold_6,threshold,0.1,1,3.5313516977167416,0.4762259022832588,10,14594.055093150226
threshold_5,threshold,0.1,2,3.521273115752695,0.48630448424730455,10,24006.15291904628
threshold_4,threshold,0.1,2,3.4696485805359356,0.5379290194640646,10,23894.37653688989
threshold_7,threshold,0.1,2,3.482256361626168,0.5253212383738329,10,24136.454889511617
threshold_6,threshold,0.1,2,3.495235232722718,0.5123423672772823,10,24079.760791318382
threshold_5,threshold,0.1,3,3.552226540618559,0.45535105938144066,10,33662.83254090196
threshold_4,threshold,0.1,3,3.562528637475698,0.4450489625243025,10,33581.96244931698
threshold_7,threshold,0.1,3,3.5224810361650776,0.48509656383492256,10,33703.89799800685
threshold_6,threshold,0.1,3,3.5437083842456185,0.4638692157543812,10,33710.88594405523
threshold_9,threshold,0.1,1,3.4579271524974535,0.5496504475025465,10,14373.781457492361
threshold_8,threshold,0.1,1,3.5525437397655595,0.4550338602344427,10,14657.631219296678
threshold_11,threshold,0.1,1,3.507794656629145,0.49978294337085566,10,14523.383969887434
threshold_10,threshold,0.1,1,3.483481773137948,0.5240958268620526,10,14450.445319413844
threshold_9,threshold,0.1,2,3.536496505372993,0.47108109462700726,10,23983.27097361134
threshold_8,threshold,0.1,2,3.5502125475637554,0.45736505243624487,10,24308.268861987945
threshold_11,threshold,0.1,2,3.4859304830421487,0.5216471169578523,10,23981.17541901388
threshold_10,threshold,0.1,2,3.4808243203690497,0.52675327963095,10,23892.918280520993
threshold_9,threshold,0.1,3,3.542032269116313,0.4655453308836899,10,33609.36778096028
threshold_8,threshold,0.1,3,3.502723795548242,0.504853804451758,10,33816.44024863267
threshold_11,threshold,0.1,3,3.570233972002427,0.4373436279975719,10,33691.87733502116
threshold_10,threshold,0.1,3,3.512480728145769,0.49509687185423096,10,33430.3604649583
threshold_13,threshold,0.1,1,3.524898409562792,0.4826791904372083,10,14574.695228688375
threshold_12,threshold,0.1,1,3.5148985403299666,0.4926790596700324,10,14544.6956209899
threshold_15,threshold,0.1,1,3.500713002199763,0.5068645978002386,10,14502.13900659929
threshold_14,threshold,0.1,1,3.5049923529676015,0.5025852470323978,10,14514.977058902805
threshold_13,threshold,0.1,2,3.530779103226466,0.47679849677353503,10,24167.032538367774
threshold_12,threshold,0.1,2,3.5351223070321476,0.4724552929678547,10,24150.062542086343
threshold_15,threshold,0.1,2,3.482142992691853,0.5254346073081476,10,23948.567984674846
threshold_14,threshold,0.1,2,3.4591154103041295,0.5484621896958719,10,23892.32328981519
threshold_13,threshold,0.1,3,3.5331899141581036,0.47438768584189717,10,33766.60228084208
threshold_12,threshold,0.1,3,3.5684644073239005,0.4391131926760987,10,33855.455764058046
threshold_15,threshold,0.1,3,3.5384298961318392,0.469147703868159,10,33563.857673070364
threshold_14,threshold,0.1,3,3.5289891236477247,0.47858847635227264,10,33479.290660758365
threshold_17,threshold,0.1,1,3.575534043122047,0.43204355687795437,10,14726.602129366142
threshold_16,threshold,0.1,1,3.558067491027432,0.4495101089725687,10,14674.202473082296
threshold_19,threshold,0.1,1,3.4868108139672636,0.5207667860327374,10,14460.43244190179
threshold_18,threshold,0.1,1,3.5426131535601755,0.4649644464398269,10,14627.839460680527
threshold_17,threshold,0.1,2,3.546123421529783,0.4614541784702154,10,24364.97239395549
threshold_16,threshold,0.1,2,3.56927323671718,0.43830436328281863,10,24382.022183233836
threshold_19,threshold,0.1,2,3.4806285935061214,0.5269490064938782,10,23902.318222420152
threshold_18,threshold,0.1,2,3.5181569549940015,0.48942064500599897,10,24182.310325662533
threshold_17,threshold,0.1,3,3.5201504254230445,0.48742717457695556,10,33925.42367022463
threshold_16,threshold,0.1,3,3.466061773350268,0.5415158266497339,10,33780.20750328464
threshold_19,threshold,0.1,3,3.461977306399948,0.5456002936000522,10,33288.250141619996
threshold_18,threshold,0.1,3,3.5486111322606435,0.45896646773935473,10,33828.14372244447
threshold_21,threshold,0.1,1,3.4997402583449726,0.5078373416550277,10,14499.220775034917
threshold_20,threshold,0.1,1,3.5832548145007888,0.4243227854992101,10,14749.764443502367
threshold_23,threshold,0.1,1,3.4840258372444963,0.5235517627555033,10,14452.077511733489
threshold_22,threshold,0.1,1,3.5015005582986953,0.5060770417013053,10,14504.501674896086
threshold_21,threshold,0.1,2,3.5595094313803854,0.44806816861961357,10,24177.749069176076
threshold_20,threshold,0.1,2,3.532010530528627,0.4755670694713742,10,24345.79603508825
threshold_23,threshold,0.1,2,3.4633092690681275,0.5442683309318723,10,23842.00531893787
threshold_22,threshold,0.1,2,3.5138628530262963,0.4937147469737043,10,24046.090233974974
threshold_21,threshold,0.1,3,3.501138192152948,0.5064394078470515,10,33681.16364563492
threshold_20,threshold,0.1,3,3.578361181871333,0.4292164181286674,10,34080.87958070225
threshold_23,threshold,0.1,3,3.537551120717403,0.47002647928259683,10,33454.65868109008
threshold_22,threshold,0.1,3,3.5081851682658116,0.49939243173418923,10,33570.64573877241
threshold_25,threshold,0.1,1,3.547424463092702,0.4601531369072969,10,14642.273389278105
threshold_24,threshold,0.1,1,3.524377978800056,0.48319962119994453,10,14573.133936400169
threshold_27,threshold,0.1,1,3.481524689904386,0.5260529100956134,10,14444.574069713157
threshold_26,threshold,0.1,1,3.512952791905093,0.4946248080949067,10,14538.85837571528
threshold_25,threshold,0.1,2,3.5772961244119945,0.4302814755880054,10,24374.161762514086
threshold_24,threshold,0.1,2,3.5486057921264478,0.45897180787355174,10,24218.951312779514
threshold_27,threshold,0.1,2,3.514330250210422,0.493247349789579,10,23987.56482034442
threshold_26,threshold,0.1,2,3.6194043057462895,0.3881732942537102,10,24397.071292954148
threshold_25,threshold,0.1,3,3.4970515865236833,0.5105260134763173,10,33865.31652208514
threshold_24,threshold,0.1,3,3.495401925676386,0.5121756743236119,10,33705.15708980867
threshold_27,threshold,0.1,3,3.545254318410186,0.46232328158981456,10,33623.32777557498
threshold_26,threshold,0.1,3,3.4964188218467487,0.5111587781532516,10,33886.32775849439
threshold_29,threshold,0.1,1,3.4789062956900487,0.5286713043099512,10,14436.718887070147
threshold_28,threshold,0.1,1,3.486359489680838,0.5212181103191635,10,14459.078469042513
threshold_31,threshold,0.1,1,3.4533727438762605,0.5542048561237397,10,14360.118231628781
threshold_30,threshold,0.1,1,3.487750340035343,0.5198272599646563,10,14463.251020106029
threshold_29,threshold,0.1,2,3.5199113951756056,0.487666204824395,10,23996.453072596963
threshold_28,threshold,0.1,2,3.5422190705115355,0.4653585294884646,10,24085.73568057712
threshold_31,threshold,0.1,2,3.481392010269337,0.5261855897306641,10,23804.294262436793
threshold_30,threshold,0.1,2,3.5323544135486706,0.47522318645132927,10,24060.314260752042
threshold_29,threshold,0.1,3,3.5143408340760733,0.4932367659239268,10,33539.475574825185
threshold_28,threshold,0.1,3,3.546910239993137,0.4606673600068629,10,33726.46640055653
threshold_31,threshold,0.1,3,3.5012971254880374,0.5062804745119636,10,33308.185638900904
threshold_30,threshold,0.1,3,3.5505470351342767,0.45703056486572374,10,33711.95536615487
threshold_33,threshold,0.1,1,3.5312712083143136,0.476306391685687,10,14593.81362494294
threshold_32,threshold,0.1,1,3.472946200950314,0.5346313990496857,10,14418.838602850941
threshold_35,threshold,0.1,1,3.517538046207783,0.49003955379221864,10,14552.614138623348
threshold_34,threshold,0.1,1,3.5229365205711587,0.48464107942884194,10,14568.809561713477
threshold_33,threshold,0.1,2,3.534656411763138,0.4729211882368613,10,24197.782860232353
