run_id,strategy,calendar_interval,season,grain_tha,pest_loss_tha,spray_count,end_money
calendar_2,calendar,7,1,3.5250472625304745,0.4825303374695252,10,14575.141787591423
calendar_3,calendar,7,1,3.5204675804660472,0.48711001953395183,10,14561.402741398142
calendar_0,calendar,7,1,3.5867160148195074,0.4208615851804916,10,14760.148044458523
calendar_1,calendar,7,1,3.5085679785005968,0.49900962149940564,10,14525.70393550179
calendar_2,calendar,7,2,3.4888400837712306,0.5187375162287686,10,24041.662038905117
calendar_3,calendar,7,2,3.524130684071309,0.483446915928691,10,24133.79479361207
calendar_0,calendar,7,2,3.5102927165257602,0.4972848834742374,10,24291.026194035803
calendar_1,calendar,7,2,3.5200391676177816,0.4875384323822171,10,24085.821438355135
calendar_2,calendar,7,3,3.5032342626316764,0.5043433373683243,10,33551.36482680014
calendar_3,calendar,7,3,3.466478004601457,0.541099595398543,10,33533.22880741644
calendar_0,calendar,7,3,3.524682807854617,0.4828947921453835,10,33865.074617599654
calendar_1,calendar,7,3,3.506422731331544,0.5011548686684555,10,33605.089632349765
calendar_6,calendar,7,1,3.457959776875698,0.5496178231242999,10,14373.879330627095
calendar_7,calendar,7,1,3.4976294053432366,0.509948194656763,10,14492.88821602971
calendar_4,calendar,7,1,3.520251693729971,0.4873259062700287,10,14560.755081189913
calendar_5,calendar,7,1,3.4961799833839935,0.5113976166160081,10,14488.53995015198
calendar_6,calendar,7,2,3.525081619780536,0.48249598021946327,10,23949.1241899687
calendar_7,calendar,7,2,3.5457293846127858,0.46184821538721355,10,24130.076369868068
calendar_4,calendar,7,2,3.5288831733640165,0.4786944266359835,10,24147.40460128196
calendar_5,calendar,7,2,3.5101959546266404,0.4973816453733608,10,24019.1278140319
calendar_6,calendar,7,3,3.536122826660584,0.47145477333941543,10,33557.49266995046
calendar_7,calendar,7,3,3.615343704229503,0.39223389577049733,10,33976.107482556574
calendar_4,calendar,7,3,3.546458340664492,0.46111925933550885,10,33786.77962327543
calendar_5,calendar,7,3,3.5677779965245,0.4397996034755011,10,33722.4618036054
calendar_10,calendar,7,1,3.497102954030966,0.510474645969032,10,14491.3088620929
calendar_11,calendar,7,1,3.4790956144668406,0.528481985533159,10,14437.286843400521
calendar_8,calendar,7,1,3.522365233364001,0.4852123666359994,10,14567.095700092004
calendar_9,calendar,7,1,3.544802260698263,0.4627753393017362,10,14634.40678209479
calendar_10,calendar,7,2,3.528582538181829,0.4789950618181723,10,24077.056476638387
calendar_11,calendar,7,2,3.477399537228996,0.5301780627710047,10,23869.48545508751
