run_id,strategy,pesticide_threshold,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction
threshold_1,threshold,0.1,1,3,6,3.466334136643996,0.5412434633560043,10,0.26
threshold_1,threshold,0.1,1,4,6,3.503344645724244,0.5042329542757557,10,0.26
threshold_1,threshold,0.1,1,5,6,3.4546729246259877,0.5529046753740137,10,0.26
threshold_1,threshold,0.1,1,6,6,3.4435981200240326,0.5639794799759666,10,0.26
threshold_1,threshold,0.1,1,7,6,3.4453226644914907,0.5622549355085102,10,0.26
threshold_1,threshold,0.1,1,8,6,3.413634436626473,0.593943163373527,10,0.26
threshold_1,threshold,0.1,1,9,6,3.4926961484069534,0.5148814515930469,10,0.26
threshold_1,threshold,0.1,1,0,7,3.5048009717490034,0.5027766282509972,10,0.26
threshold_1,threshold,0.1,1,1,7,3.4045081423614203,0.6030694576385794,10,0.26
threshold_1,threshold,0.1,1,2,7,3.4683291518759454,0.539248448124054,10,0.26
threshold_1,threshold,0.1,1,3,7,3.447087224223963,0.5604903757760366,10,0.26
threshold_1,threshold,0.1,1,4,7,3.424990505582633,0.5825870944173661,10,0.26
threshold_1,threshold,0.1,1,5,7,3.4420443800106817,0.5655332199893178,10,0.26
threshold_1,threshold,0.1,1,6,7,3.443413091542355,0.5641645084576434,10,0.26
threshold_1,threshold,0.1,1,7,7,3.4385795549639813,0.568998045036019,10,0.26
threshold_1,threshold,0.1,1,8,7,3.4120406453335868,0.5955369546664122,10,0.26
threshold_1,threshold,0.1,1,9,7,3.5100729861949698,0.49750461380502986,10,0.26
threshold_1,threshold,0.1,1,0,8,3.4584061716443677,0.5491714283556326,10,0.26
threshold_1,threshold,0.1,1,1,8,3.3450395492541887,0.6625380507458105,10,0.26
threshold_1,threshold,0.1,1,2,8,3.393256138811332,0.6143214611886696,10,0.26
threshold_1,threshold,0.1,1,3,8,3.3747292024201734,0.6328483975798275,10,0.26
threshold_1,threshold,0.1,1,4,8,3.3763019695405148,0.6312756304594843,10,0.26
threshold_1,threshold,0.1,1,5,8,3.4329257714381662,0.5746518285618339,10,0.26
threshold_1,threshold,0.1,1,6,8,3.40910009050876,0.5984775094912396,10,0.26
threshold_1,threshold,0.1,1,7,8,3.3994588932449377,0.6081187067550643,10,0.26
threshold_1,threshold,0.1,1,8,8,3.3599009242359474,0.6476766757640533,10,0.26
threshold_1,threshold,0.1,1,9,8,3.480650082098076,0.5269275179019242,10,0.26
threshold_1,threshold,0.1,1,0,9,3.528232376612587,0.4793452233874136,10,0.26
threshold_1,threshold,0.1,1,1,9,3.447203163084377,0.5603744369156235,10,0.26
threshold_1,threshold,0.1,1,2,9,3.4619932960511846,0.5455843039488153,10,0.26
threshold_1,threshold,0.1,1,3,9,3.49868839341581,0.5088892065841892,10,0.26
threshold_1,threshold,0.1,1,4,9,3.472182170330438,0.5353954296695614,10,0.26
threshold_1,threshold,0.1,1,5,9,3.5253852727694888,0.48219232723051214,10,0.26
threshold_1,threshold,0.1,1,6,9,3.5050944275834754,0.5024831724165247,10,0.26
threshold_1,threshold,0.1,1,7,9,3.5264500344415968,0.4811275655584024,10,0.26
threshold_1,threshold,0.1,1,8,9,3.462894035004457,0.5446835649955443,10,0.26
threshold_1,threshold,0.1,1,9,9,3.5800354006676365,0.42754219933236337,10,0.26
threshold_0,threshold,0.1,1,0,0,3.5821977894025117,0.4253798105974877,10,0.26
threshold_0,threshold,0.1,1,1,0,3.481312627674191,0.5262649723258102,10,0.26
threshold_0,threshold,0.1,1,2,0,3.5147035667810687,0.4928740332189315,10,0.26
threshold_0,threshold,0.1,1,3,0,3.4780225236672355,0.5295550763327638,10,0.26
threshold_0,threshold,0.1,1,4,0,3.4734753799317177,0.5341022200682816,10,0.26
threshold_0,threshold,0.1,1,5,0,3.4955580395132126,0.5120195604867874,10,0.26
threshold_0,threshold,0.1,1,6,0,3.5117244831310326,0.4958531168689659,10,0.26
threshold_0,threshold,0.1,1,7,0,3.5224464007245513,0.4851311992754486,10,0.26
threshold_0,threshold,0.1,1,8,0,3.4765093385671775,0.5310682614328216,10,0.26
threshold_0,threshold,0.1,1,9,0,3.5595112631410455,0.44806633685895564,10,0.26
threshold_0,threshold,0.1,1,0,1,3.469751395776689,0.5378262042233101,10,0.26
threshold_0,threshold,0.1,1,1,1,3.3736272844550683,0.6339503155449326,10,0.26
threshold_0,threshold,0.1,1,2,1,3.400655720678882,0.6069218793211187,10,0.26
threshold_0,threshold,0.1,1,3,1,3.4108465878990097,0.59673101210099,10,0.26
threshold_0,threshold,0.1,1,4,1,3.410485876673354,0.5970917233266467,10,0.26
threshold_0,threshold,0.1,1,5,1,3.432212344723201,0.575365255276799,10,0.26
threshold_0,threshold,0.1,1,6,1,3.3925985352436316,0.6149790647563685,10,0.26
threshold_0,threshold,0.1,1,7,1,3.4253658776711298,0.5822117223288701,10,0.26
threshold_0,threshold,0.1,1,8,1,3.3609372702598366,0.6466403297401639,10,0.26
threshold_0,threshold,0.1,1,9,1,3.4678932949354455,0.5396843050645532,10,0.26
threshold_0,threshold,0.1,1,0,2,3.487237091893523,0.5203405081064776,10,0.26
threshold_0,threshold,0.1,1,1,2,3.434055536772007,0.5735220632279926,10,0.26
threshold_0,threshold,0.1,1,2,2,3.429377907213591,0.5781996927864084,10,0.26
threshold_0,threshold,0.1,1,3,2,3.462455741614974,0.5451218583850258,10,0.26
threshold_0,threshold,0.1,1,4,2,3.462098900555894,0.5454786994441069,10,0.26
threshold_0,threshold,0.1,1,5,2,3.437024970443448,0.5705526295565518,10,0.26
threshold_0,threshold,0.1,1,6,2,3.4956693161528385,0.5119082838471607,10,0.26
threshold_0,threshold,0.1,1,7,2,3.445638012511691,0.5619395874883096,10,0.26
threshold_0,threshold,0.1,1,8,2,3.4305388789128317,0.5770387210871688,10,0.26
threshold_0,threshold,0.1,1,9,2,3.4979604877065156,0.5096171122934842,10,0.26
threshold_0,threshold,0.1,1,0,3,3.498854794239556,0.5087228057604445,10,0.26
threshold_0,threshold,0.1,1,1,3,3.3741706312968685,0.6334069687031332,10,0.26
threshold_0,threshold,0.1,1,2,3,3.4761209899849366,0.5314566100150637,10,0.26
threshold_0,threshold,0.1,1,3,3,3.4368823235781645,0.5706952764218357,10,0.26
threshold_0,threshold,0.1,1,4,3,3.4792335822646296,0.5283440177353698,10,0.26
threshold_0,threshold,0.1,1,5,3,3.445111608992871,0.5624659910071265,10,0.26
threshold_0,threshold,0.1,1,6,3,3.4591998753509636,0.5483777246490368,10,0.26
threshold_0,threshold,0.1,1,7,3,3.4601091805919504,0.5474684194080491,10,0.26
threshold_0,threshold,0.1,1,8,3,3.4093845889786762,0.5981930110213225,10,0.26
threshold_0,threshold,0.1,1,9,3,3.531198416490158,0.4763791835098401,10,0.26
threshold_0,threshold,0.1,1,0,4,3.4871756158931073,0.5204019841068923,10,0.26
threshold_0,threshold,0.1,1,1,4,3.403131782659069,0.6044458173409312,10,0.26
threshold_0,threshold,0.1,1,2,4,3.4731418139397974,0.5344357860602025,10,0.26
threshold_0,threshold,0.1,1,3,4,3.4477290971434895,0.5598485028565107,10,0.26
threshold_0,threshold,0.1,1,4,4,3.458720655407021,0.5488569445929795,10,0.26
threshold_0,threshold,0.1,1,5,4,3.4627830878706796,0.5447945121293213,10,0.26
threshold_0,threshold,0.1,1,6,4,3.490578650877235,0.5169989491227643,10,0.26
threshold_0,threshold,0.1,1,7,4,3.4520292843600062,0.5555483156399956,10,0.26
threshold_0,threshold,0.1,1,8,4,3.4211572294046917,0.5864203705953094,10,0.26
threshold_0,threshold,0.1,1,9,4,3.493917577960969,0.5136600220390313,10,0.26
threshold_0,threshold,0.1,1,0,5,3.4862239431954762,0.5213536568045245,10,0.26
threshold_0,threshold,0.1,1,1,5,3.4495709116007407,0.5580066883992584,10,0.26
threshold_0,threshold,0.1,1,2,5,3.458778435044291,0.5487991649557086,10,0.26
threshold_0,threshold,0.1,1,3,5,3.466409012044772,0.5411685879552289,10,0.26
threshold_0,threshold,0.1,1,4,5,3.465687302648501,0.5418902973514997,10,0.26
threshold_0,threshold,0.1,1,5,5,3.475652427660046,0.5319251723399532,10,0.26
threshold_0,threshold,0.1,1,6,5,3.4686335832274966,0.5389440167725035,10,0.26
threshold_0,threshold,0.1,1,7,5,3.475895685407869,0.5316819145921291,10,0.26
threshold_0,threshold,0.1,1,8,5,3.4049855751330846,0.6025920248669149,10,0.26
threshold_0,threshold,0.1,1,9,5,3.523503831831978,0.4840737681680223,10,0.26
threshold_0,threshold,0.1,1,0,6,3.502194909329441,0.5053826906705602,10,0.26
threshold_0,threshold,0.1,1,1,6,3.3889177169768887,0.6186598830231116,10,0.26
threshold_0,threshold,0.1,1,2,6,3.437121532493921,0.5704560675060788,10,0.26
threshold_0,threshold,0.1,1,3,6,3.4977533045259865,0.5098242954740132,10,0.26
threshold_0,threshold,0.1,1,4,6,3.444118836436572,0.563458763563429,10,0.26
threshold_0,threshold,0.1,1,5,6,3.457969241166735,0.5496083588332639,10,0.26
threshold_0,threshold,0.1,1,6,6,3.507534768945726,0.5000428310542732,10,0.26
