run_id,strategy,season,grain_tha,pest_loss_tha,spray_count,end_money
none_2,none,1,2.15630810603437,1.851269493965632,0,11468.924318103109
none_3,none,1,2.1783665972086173,1.829211002791384,0,11535.099791625853
none_0,none,1,2.2138287591586625,1.7937488408413387,0,11641.486277475988
none_1,none,1,2.170130924600845,1.8374466753991558,0,11510.392773802534
none_2,none,2,2.193201133165612,1.814376466834389,0,18048.527717599944
none_3,none,2,2.250910986008129,1.7566666139918716,0,18287.83274965024
none_0,none,2,2.1507662199706252,1.8568113800293764,0,18093.784937387863
none_1,none,2,2.1718950577524314,1.83568254224757,0,18026.077947059828
none_2,none,3,2.205876308254912,1.8017012917450888,0,24666.15664236468
none_3,none,3,2.1764353801806844,1.831142219819317,0,24817.13889019229
none_0,none,3,2.240051474361438,1.7675261256385628,0,24813.939360472177
none_1,none,3,2.2253165473391587,1.782261052660842,0,24702.027589077305
none_6,none,1,2.1987480699564905,1.8088295300435104,0,11596.244209869472
none_7,none,1,2.2626243961800414,1.7449532038199596,0,11787.873188540125
none_4,none,1,2.3224417183150723,1.6851358816849282,0,11967.325154945218
none_5,none,1,2.1791983529445127,1.8283792470554887,0,11537.595058833538
none_6,none,2,2.2316921181173157,1.775885481882685,0,18291.32056422142
none_7,none,2,2.1766608567391863,1.8309167432608149,0,18317.855758757683
none_4,none,2,2.216197900255976,1.7913796997440248,0,18615.918855713146
none_5,none,2,2.160131132823325,1.8474464671766762,0,18017.988457303512
none_6,none,3,2.1718059460764048,1.8357716539235966,0,24806.738402450632
none_7,none,3,2.168099766615417,1.8394778333845838,0,24822.155058603934
none_4,none,3,2.2020264735397252,1.805551126460276,0,25221.99827633232
none_5,none,3,2.209556498988724,1.7980211010112772,0,24646.657954269685
none_10,none,1,2.1724232409749185,1.8351543590250827,0,11517.269722924755
none_11,none,1,2.197644228591337,1.8099333714086643,0,11592.93268577401
none_8,none,1,2.1898839480558143,1.8176936519441866,0,11569.651844167443
none_9,none,1,2.1815688920343868,1.8260087079656149,0,11544.70667610316
none_10,none,2,2.1788099082269863,1.8287676917730147,0,18053.699447605715
none_11,none,2,2.210330368923165,1.797247231076836,0,18223.923792543505
none_8,none,2,2.194698912260158,1.8128786877398433,0,18153.74858094792
none_9,none,2,2.229435914088103,1.7781416859118975,0,18233.01441836747
none_10,none,3,2.238601008372624,1.7689765916273767,0,24769.502472723587
none_11,none,3,2.188471596230857,1.819106003769144,0,24789.338581236076
none_8,none,3,2.2379652262467564,1.7696123737532443,0,24867.64425968819
none_9,none,3,2.152228296057462,1.855349303942539,0,24689.699306539856
none_14,none,1,2.165419278824337,1.8421583211756647,0,11496.25783647301
none_15,none,1,2.188916600749088,1.818660999250913,0,11566.749802247265
none_12,none,1,2.1828991139900458,1.8246784860099556,0,11548.697341970137
none_13,none,1,2.256809414744746,1.7507681852552546,0,11770.428244234237
none_14,none,2,2.159843236702048,1.8477343632979533,0,17975.787546579155
none_15,none,2,2.225053441386645,1.7825241586133564,0,18241.9101264072
none_12,none,2,2.1671972212888373,1.840380378711164,0,18050.28900583665
none_13,none,2,2.249630798849845,1.7579468011501556,0,18519.32064078377
none_14,none,3,2.152228296057462,1.855349303942539,0,24432.47243475154
none_15,none,3,2.186366949182537,1.8212106508174644,0,24801.010973954813
none_12,none,3,2.242530200454881,1.7650473995451197,0,24777.879607201292
none_13,none,3,2.1619514436318457,1.8456261563681557,0,25005.17497167931
none_18,none,1,2.160131132823325,1.8474464671766762,0,11480.393398469976
none_19,none,1,2.181977266244429,1.8256003337555726,0,11545.931798733287
none_16,none,1,2.1814013348955004,1.8261762651045013,0,11544.2040046865
none_17,none,1,2.2493938213648383,1.7581837786351624,0,11748.181464094516
none_18,none,2,2.1722039791816865,1.8353736208183147,0,17997.005336015034
none_19,none,2,2.217912346746909,1.7896652532530917,0,18199.668838974016
none_16,none,2,2.1582506825863126,1.849326917413689,0,18018.95605244544
none_17,none,2,2.179904660465387,1.827672939534614,0,18287.895445490678
none_18,none,3,2.1831634296185602,1.8244141703814414,0,24546.495624870717
none_19,none,3,2.2104224246707442,1.7971551753292567,0,24830.93611298625
none_16,none,3,2.237718928114689,1.7698586718853115,0,24732.112836789507
none_17,none,3,2.1815688920343868,1.8260087079656149,0,24832.602121593838
none_22,none,1,2.1672486690225843,1.8403289309774173,0,11501.746007067752
none_23,none,1,2.1998354368131565,1.8077421631868444,0,11599.506310439469
none_20,none,1,2.1897085746197873,1.8178690253802137,0,11569.12572385936
none_21,none,1,2.1908993266175854,1.8166782733824156,0,11572.697979852757
none_22,none,2,2.1507662199706252,1.8568113800293764,0,17954.04466697963
none_23,none,2,2.165735145202,1.8418424547980012,0,18096.71174604547
none_20,none,2,2.1831665431736518,1.8244110568263492,0,18118.625353380317
none_21,none,2,2.195665570545818,1.8119120294541826,0,18159.69469149021
none_22,none,3,2.205164070363124,1.8024135296368773,0,24569.536878069
none_23,none,3,2.182146388549302,1.8254312114506996,0,24643.150911693374
none_20,none,3,2.214366749081693,1.7932108509183082,0,24761.725600625396
none_21,none,3,2.221307008701284,1.7862705912987167,0,24823.615717594064
none_26,none,1,2.2186987521721684,1.7888788478278321,0,11656.096256516506
none_27,none,1,2.2088871417944027,1.7986904582055983,0,11626.661425383209
none_24,none,1,2.2106562449779874,1.7969213550220136,0,11631.968734933962
none_25,none,1,2.2128248780288224,1.7947527219711783,0,11638.474634086468
none_26,none,2,2.215823042799031,1.79175455720097,0,18303.5653849136
none_27,none,2,2.2201124876908302,1.7874651123091705,0,18286.9988884557
none_24,none,2,2.1748192099261057,1.8327583900738953,0,18156.42636471228
none_25,none,2,2.1507662199706252,1.8568113800293764,0,18090.773293998343
none_26,none,3,2.152228296057462,1.855349303942539,0,24760.250273085985
none_27,none,3,2.1582506825863126,1.849326917413689,0,24761.750936214637
none_24,none,3,2.181902724166708,1.825674875833293,0,24702.1345372124
none_25,none,3,2.2035073011468422,1.8040702988531587,0,24701.29519743887
none_30,none,1,2.1911706507066246,1.8164069492933763,0,11573.511952119874
none_31,none,1,2.1929087498429163,1.8146688501570845,0,11578.726249528749
none_28,none,1,2.1507662199706252,1.8568113800293764,0,11452.298659911876
none_29,none,1,2.220529367108624,1.7870482328913773,0,11661.588101325871
none_30,none,2,2.2154668465058736,1.7921107534941274,0,18219.912491637493
none_31,none,2,2.1745635910309473,1.8330140089690543,0,18102.41702262159
none_28,none,2,2.186801856668876,1.8207757433311254,0,18012.704229918505
none_29,none,2,2.189608175123467,1.8179694248765341,0,18230.41262669627
none_30,none,3,2.203658463602112,1.803919136397889,0,24830.88788244383
none_31,none,3,2.1988294116317735,1.808748188368228,0,24698.90525751691
none_28,none,3,2.206227481845044,1.801350118154957,0,24631.386675453636
none_29,none,3,2.15630810603437,1.851269493965632,0,24699.33694479938
