run_id,strategy,pesticide_threshold,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction
threshold_3,threshold,0.1,1,0,0,3.54888578063043,0.45869181936957054,10,0.32499999999999996
threshold_3,threshold,0.1,1,1,0,3.429740993672098,0.5778366063279016,10,0.32499999999999996
threshold_3,threshold,0.1,1,2,0,3.5046623556236796,0.5029152443763205,10,0.32499999999999996
threshold_3,threshold,0.1,1,3,0,3.487106404713066,0.5204711952869326,10,0.32499999999999996
threshold_3,threshold,0.1,1,4,0,3.51438557577563,0.4931920242243705,10,0.32499999999999996
threshold_3,threshold,0.1,1,5,0,3.5118083229953205,0.49576927700468015,10,0.32499999999999996
threshold_3,threshold,0.1,1,6,0,3.4820560897384683,0.5255215102615326,10,0.32499999999999996
threshold_3,threshold,0.1,1,7,0,3.505445557764902,0.502132042235097,10,0.32499999999999996
threshold_3,threshold,0.1,1,8,0,3.459547004273876,0.5480305957261248,10,0.32499999999999996
threshold_3,threshold,0.1,1,9,0,3.558751875150781,0.44882572484921957,10,0.32499999999999996
threshold_3,threshold,0.1,1,0,1,3.484348559369576,0.5232290406304239,10,0.32499999999999996
threshold_3,threshold,0.1,1,1,1,3.340583883357159,0.6669937166428417,10,0.32499999999999996
threshold_3,threshold,0.1,1,2,1,3.354064970640039,0.6535126293599604,10,0.32499999999999996
threshold_3,threshold,0.1,1,3,1,3.410104641465054,0.5974729585349474,10,0.32499999999999996
threshold_3,threshold,0.1,1,4,1,3.4039015152620578,0.6036760847379432,10,0.32499999999999996
threshold_3,threshold,0.1,1,5,1,3.375061421091616,0.6325161789083853,10,0.32499999999999996
threshold_3,threshold,0.1,1,6,1,3.3775215162963734,0.6300560837036266,10,0.32499999999999996
threshold_3,threshold,0.1,1,7,1,3.367104368709539,0.640473231290461,10,0.32499999999999996
threshold_3,threshold,0.1,1,8,1,3.316049760833773,0.6915278391662258,10,0.32499999999999996
threshold_3,threshold,0.1,1,9,1,3.4257659386092683,0.5818116613907323,10,0.32499999999999996
threshold_3,threshold,0.1,1,0,2,3.4798475628795837,0.5277300371204151,10,0.32499999999999996
threshold_3,threshold,0.1,1,1,2,3.3680892257608863,0.6394883742391139,10,0.32499999999999996
threshold_3,threshold,0.1,1,2,2,3.4392497983481456,0.5683278016518538,10,0.32499999999999996
threshold_3,threshold,0.1,1,3,2,3.44463322937568,0.5629443706243203,10,0.32499999999999996
threshold_3,threshold,0.1,1,4,2,3.4171479480790694,0.5904296519209317,10,0.32499999999999996
threshold_3,threshold,0.1,1,5,2,3.4486077277395237,0.5589698722604757,10,0.32499999999999996
threshold_3,threshold,0.1,1,6,2,3.4350386313897525,0.5725389686102473,10,0.32499999999999996
threshold_3,threshold,0.1,1,7,2,3.411498752292846,0.5960788477071549,10,0.32499999999999996
threshold_3,threshold,0.1,1,8,2,3.4089200578543326,0.5986575421456667,10,0.32499999999999996
threshold_3,threshold,0.1,1,9,2,3.465488673601283,0.542088926398717,10,0.32499999999999996
threshold_3,threshold,0.1,1,0,3,3.497567605927198,0.5100099940728017,10,0.32499999999999996
threshold_3,threshold,0.1,1,1,3,3.390965097244895,0.6166125027551056,10,0.32499999999999996
threshold_3,threshold,0.1,1,2,3,3.427599515508029,0.5799780844919712,10,0.32499999999999996
threshold_3,threshold,0.1,1,3,3,3.4212236886002536,0.5863539113997466,10,0.32499999999999996
threshold_3,threshold,0.1,1,4,3,3.420372295374197,0.587205304625802,10,0.32499999999999996
threshold_3,threshold,0.1,1,5,3,3.445543109921964,0.5620344900780352,10,0.32499999999999996
threshold_3,threshold,0.1,1,6,3,3.443905003744666,0.5636725962553334,10,0.32499999999999996
threshold_3,threshold,0.1,1,7,3,3.460034341409931,0.5475432585900692,10,0.32499999999999996
threshold_3,threshold,0.1,1,8,3,3.35409029209353,0.6534873079064702,10,0.32499999999999996
threshold_3,threshold,0.1,1,9,3,3.5177004373566096,0.48987716264339,10,0.32499999999999996
