run_id,strategy,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction
none_3,none,1,0,0,2.2236011630158403,1.7839764369841609,0,0.0
none_3,none,1,1,0,2.193635662283732,1.8139419377162695,0,0.0
none_3,none,1,2,0,2.210472462060492,1.7971051379395095,0,0.0
none_3,none,1,3,0,2.2284452677030475,1.7791323322969539,0,0.0
none_3,none,1,4,0,2.2355163696927542,1.772061230307247,0,0.0
none_3,none,1,5,0,2.2295003740042114,1.7780772259957898,0,0.0
none_3,none,1,6,0,2.250957006405931,1.7566205935940697,0,0.0
none_3,none,1,7,0,2.2482051508349317,1.759372449165069,0,0.0
none_3,none,1,8,0,2.2050259723841625,1.8025516276158393,0,0.0
none_3,none,1,9,0,2.2809491497577308,1.72662845024227,0,0.0
none_3,none,1,0,1,2.1805640439389284,1.8270135560610723,0,0.0
none_3,none,1,1,1,2.1566793910756905,1.850898208924311,0,0.0
none_3,none,1,2,1,2.1735642507835142,1.834013349216487,0,0.0
none_3,none,1,3,1,2.183074550411741,1.8245030495882604,0,0.0
none_3,none,1,4,1,2.1601748708052635,1.847402729194738,0,0.0
none_3,none,1,5,1,2.211605708024062,1.795971891975939,0,0.0
none_3,none,1,6,1,2.214570068462292,1.7930075315377088,0,0.0
none_3,none,1,7,1,2.1922032870793453,1.815374312920656,0,0.0
none_3,none,1,8,1,2.1639289926869014,1.8436486073130995,0,0.0
none_3,none,1,9,1,2.2109213823747416,1.7966562176252594,0,0.0
none_3,none,1,0,2,2.215144591781788,1.7924330082182127,0,0.0
none_3,none,1,1,2,2.1943730424756236,1.8132045575243774,0,0.0
none_3,none,1,2,2,2.198978610728631,1.8085989892713699,0,0.0
none_3,none,1,3,2,2.2096325372935737,1.7979450627064273,0,0.0
none_3,none,1,4,2,2.2118394330735107,1.79573816692649,0,0.0
none_3,none,1,5,2,2.2135863567918737,1.7939912432081273,0,0.0
none_3,none,1,6,2,2.180667078543532,1.8269105214564696,0,0.0
none_3,none,1,7,2,2.177780041804741,1.8297975581952606,0,0.0
none_3,none,1,8,2,2.157208405993606,1.8503691940063955,0,0.0
none_3,none,1,9,2,2.208654962828949,1.7989226371710518,0,0.0
none_3,none,1,0,3,2.213723369436743,1.7938542305632588,0,0.0
none_3,none,1,1,3,2.1915970783126015,1.8159805216873992,0,0.0
none_3,none,1,2,3,2.1931537276376494,1.8144238723623516,0,0.0
none_3,none,1,3,3,2.1928972952434664,1.8146803047565347,0,0.0
none_3,none,1,4,3,2.220499147929605,1.7870784520703962,0,0.0
none_3,none,1,5,3,2.1992189663103687,1.808358633689632,0,0.0
none_3,none,1,6,3,2.2016978248383485,1.8058797751616524,0,0.0
none_3,none,1,7,3,2.1759120480987373,1.8316655519012637,0,0.0
none_3,none,1,8,3,2.147279421061365,1.8602981789386368,0,0.0
none_3,none,1,9,3,2.198383270210495,1.8091943297895066,0,0.0
none_3,none,1,0,4,2.2287692858992996,1.7788083141007016,0,0.0
none_3,none,1,1,4,2.170691195498916,1.8368864045010853,0,0.0
none_3,none,1,2,4,2.197025281718911,1.81055231828109,0,0.0
