run_id,strategy,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction
none_1,none,1,0,0,2.261045371502115,1.7465322284978855,0,0.0
none_1,none,1,1,0,2.216477750597957,1.7910998494020443,0,0.0
none_1,none,1,2,0,2.226743765641317,1.7808338343586843,0,0.0
none_1,none,1,3,0,2.2256874187639393,1.7818901812360615,0,0.0
none_1,none,1,4,0,2.2071526562476573,1.8004249437523439,0,0.0
none_1,none,1,5,0,2.2263744177633096,1.7812031822366916,0,0.0
none_1,none,1,6,0,2.2261313165113665,1.7814462834886344,0,0.0
none_1,none,1,7,0,2.207864755886738,1.7997128441132637,0,0.0
none_1,none,1,8,0,2.2246080296655486,1.782969570334452,0,0.0
none_1,none,1,9,0,2.2688097114917247,1.7387678885082758,0,0.0
none_1,none,1,0,1,2.2439395684244197,1.7636380315755813,0,0.0
none_1,none,1,1,1,2.1840401336941584,1.8235374663058428,0,0.0
none_1,none,1,2,1,2.1902679515972263,1.8173096484027746,0,0.0
none_1,none,1,3,1,2.1993638017062,1.8082137982938014,0,0.0
none_1,none,1,4,1,2.1936702155121917,1.8139073844878093,0,0.0
none_1,none,1,5,1,2.1543251117722124,1.853252488227789,0,0.0
none_1,none,1,6,1,2.164994428353084,1.842583171646917,0,0.0
none_1,none,1,7,1,2.180274736395532,1.8273028636044695,0,0.0
none_1,none,1,8,1,2.1700607819562157,1.8375168180437857,0,0.0
none_1,none,1,9,1,2.221230983642248,1.7863466163577537,0,0.0
none_1,none,1,0,2,2.2381048802965204,1.7694727197034805,0,0.0
none_1,none,1,1,2,2.2087148429227934,1.7988627570772078,0,0.0
none_1,none,1,2,2,2.2241377933945286,1.7834398066054726,0,0.0
none_1,none,1,3,2,2.2182829469972827,1.789294653002718,0,0.0
none_1,none,1,4,2,2.1907540372764127,1.8168235627235882,0,0.0
none_1,none,1,5,2,2.224344107831279,1.7832334921687214,0,0.0
none_1,none,1,6,2,2.2037531889093107,1.8038244110906905,0,0.0
none_1,none,1,7,2,2.195184202798995,1.8123933972010053,0,0.0
none_1,none,1,8,2,2.1542658278869724,1.853311772113029,0,0.0
none_1,none,1,9,2,2.252952419460363,1.754625180539638,0,0.0
none_1,none,1,0,3,2.204926787235793,1.8026508127642082,0,0.0
none_1,none,1,1,3,2.181445835011774,1.8261317649882274,0,0.0
none_1,none,1,2,3,2.2090229002798365,1.7985546997201647,0,0.0
none_1,none,1,3,3,2.2114965961767563,1.7960810038232444,0,0.0
none_1,none,1,4,3,2.1954793075677195,1.8120982924322813,0,0.0
none_1,none,1,5,3,2.194125079552012,1.8134525204479892,0,0.0
none_1,none,1,6,3,2.198364812752686,1.8092127872473152,0,0.0
none_1,none,1,7,3,2.172822248155632,1.8347553518443696,0,0.0
none_1,none,1,8,3,2.18483337019072,1.8227442298092809,0,0.0
none_1,none,1,9,3,2.1969895639587627,1.8105880360412383,0,0.0
none_1,none,1,0,4,2.226275536422583,1.781302063577418,0,0.0
none_1,none,1,1,4,2.1862645254426427,1.8213130745573585,0,0.0
none_1,none,1,2,4,2.2057351789284216,1.8018424210715793,0,0.0
none_1,none,1,3,4,2.2225129609034777,1.7850646390965232,0,0.0
none_1,none,1,4,4,2.2066458762581775,1.8009317237418236,0,0.0
none_1,none,1,5,4,2.1782557649520915,1.8293218350479092,0,0.0
none_1,none,1,6,4,2.1936023761244745,1.8139752238755271,0,0.0
none_1,none,1,7,4,2.1877439848172564,1.8198336151827446,0,0.0
none_1,none,1,8,4,2.157225577891612,1.85035202210839,0,0.0
none_1,none,1,9,4,2.221262785871825,1.7863148141281764,0,0.0
none_1,none,1,0,5,2.233173944958031,1.7744036550419702,0,0.0
none_1,none,1,1,5,2.1820006212352543,1.8255769787647467,0,0.0
none_1,none,1,2,5,2.1974387098814705,1.8101388901185305,0,0.0
none_1,none,1,3,5,2.199105809187181,1.8084717908128198,0,0.0
none_1,none,1,4,5,2.1964231713312548,1.8111544286687462,0,0.0
none_1,none,1,5,5,2.2092841839376582,1.7982934160623427,0,0.0
none_1,none,1,6,5,2.1991220208547264,1.8084555791452745,0,0.0
none_1,none,1,7,5,2.191360848051739,1.8162167519482624,0,0.0
none_1,none,1,8,5,2.1680986088859346,1.839478991114067,0,0.0
none_1,none,1,9,5,2.2412986509624258,1.766278949037575,0,0.0
none_1,none,1,0,6,2.21946681368894,1.7881107863110608,0,0.0
none_1,none,1,1,6,2.2117470819377405,1.795830518062261,0,0.0
none_1,none,1,2,6,2.2179700512796456,1.7896075487203555,0,0.0
none_1,none,1,3,6,2.2170622813072187,1.790515318692782,0,0.0
none_1,none,1,4,6,2.19101309301997,1.8165645069800311,0,0.0
none_1,none,1,5,6,2.1992307578442665,1.8083468421557347,0,0.0
none_1,none,1,6,6,2.170397621056028,1.837179978943973,0,0.0
none_1,none,1,7,6,2.1806837728637074,1.8268938271362938,0,0.0
none_1,none,1,8,6,2.19042799401326,1.8171496059867414,0,0.0
none_1,none,1,9,6,2.251139162703611,1.7564384372963902,0,0.0
none_1,none,1,0,7,2.212883653786532,1.7946939462134688,0,0.0
none_1,none,1,1,7,2.189980548122089,1.8175970518779119,0,0.0
none_1,none,1,2,7,2.2081785181366596,1.7993990818633416,0,0.0
none_1,none,1,3,7,2.2205018979857387,1.7870757020142616,0,0.0
none_1,none,1,4,7,2.1933192498790532,1.814258350120948,0,0.0
none_1,none,1,5,7,2.2020980045519467,1.805479595448054,0,0.0
none_1,none,1,6,7,2.1725913543045543,1.8349862456954469,0,0.0
none_1,none,1,7,7,2.185321059582266,1.8222565404177358,0,0.0
none_1,none,1,8,7,2.1752351711805793,1.832342428819422,0,0.0
none_1,none,1,9,7,2.23471827098413,1.7728593290158714,0,0.0
none_1,none,1,0,8,2.198094459283095,1.8094831407169065,0,0.0
none_1,none,1,1,8,2.174944706650987,1.8326328933490144,0,0.0
none_1,none,1,2,8,2.1912676424743127,1.816309957525688,0,0.0
none_1,none,1,3,8,2.1811025884204174,1.826475011579584,0,0.0
none_1,none,1,4,8,2.2039287445803324,1.8036488554196686,0,0.0
none_1,none,1,5,8,2.174661291640191,1.8329163083598101,0,0.0
none_1,none,1,6,8,2.1775694804072385,1.8300081195927629,0,0.0
none_1,none,1,7,8,2.1729592560439417,1.8346183439560593,0,0.0
none_1,none,1,8,8,2.173794697347434,1.8337829026525672,0,0.0
none_1,none,1,9,8,2.2273297544150568,1.7802478455849442,0,0.0
none_1,none,1,0,9,2.2856015140750903,1.7219760859249105,0,0.0
none_1,none,1,1,9,2.2120043802324294,1.7955732197675716,0,0.0
none_1,none,1,2,9,2.225448581219838,1.7821290187801628,0,0.0
none_1,none,1,3,9,2.2541814002806095,1.753396199719391,0,0.0
none_1,none,1,4,9,2.224681082613046,1.7828965173869549,0,0.0
none_1,none,1,5,9,2.2080004549882033,1.7995771450117979,0,0.0
none_1,none,1,6,9,2.2011979805122084,1.8063796194877926,0,0.0
none_1,none,1,7,9,2.239849111260625,1.7677284887393756,0,0.0
none_1,none,1,8,9,2.2133343272013,1.7942432727987008,0,0.0
none_1,none,1,9,9,2.257001796698429,1.750575803301572,0,0.0
none_2,none,1,0,0,2.2719499292948377,1.735627670705163,0,0.0
none_2,none,1,1,0,2.1994579721488186,1.8081196278511829,0,0.0
none_2,none,1,2,0,2.2440148221242846,1.7635627778757161,0,0.0
none_2,none,1,3,0,2.2126520164136996,1.7949255835863014,0,0.0
none_2,none,1,4,0,2.228660380521978,1.778917219478023,0,0.0
none_2,none,1,5,0,2.209722376396246,1.7978552236037553,0,0.0
none_2,none,1,6,0,2.2045733155901575,1.8030042844098435,0,0.0
none_2,none,1,7,0,2.2249406198488852,1.7826369801511155,0,0.0
none_2,none,1,8,0,2.2227965746538887,1.784781025346113,0,0.0
none_2,none,1,9,0,2.260857476710992,1.7467201232890086,0,0.0
none_2,none,1,0,1,2.194490360266266,1.8130872397337354,0,0.0
none_2,none,1,1,1,2.1603292494452098,1.8472483505547919,0,0.0
none_2,none,1,2,1,2.1589779790074766,1.8485996209925248,0,0.0
none_2,none,1,3,1,2.177006884503438,1.8305707154965631,0,0.0
none_2,none,1,4,1,2.1769669903207207,1.83061060967928,0,0.0
none_2,none,1,5,1,2.155119630340446,1.8524579696595558,0,0.0
none_2,none,1,6,1,2.1699892288067053,1.837588371193296,0,0.0
none_2,none,1,7,1,2.1767784825822054,1.8307991174177953,0,0.0
none_2,none,1,8,1,2.143472585246706,1.864105014753296,0,0.0
none_2,none,1,9,1,2.183619513914058,1.8239580860859437,0,0.0
none_2,none,1,0,2,2.215204539644819,1.7923730603551826,0,0.0
none_2,none,1,1,2,2.188159336579861,1.8194182634201397,0,0.0
none_2,none,1,2,2,2.1954436961074184,1.8121339038925828,0,0.0
none_2,none,1,3,2,2.1852771062454095,1.8223004937545921,0,0.0
none_2,none,1,4,2,2.2083218370415953,1.7992557629584054,0,0.0
none_2,none,1,5,2,2.1796650226952483,1.827912577304753,0,0.0
none_2,none,1,6,2,2.195699860575615,1.8118777394243861,0,0.0
none_2,none,1,7,2,2.180733536737628,1.8268440632623735,0,0.0
none_2,none,1,8,2,2.166019346769904,1.8415582532300976,0,0.0
none_2,none,1,9,2,2.1989126344165904,1.808664965583411,0,0.0
none_2,none,1,0,3,2.212516532108756,1.7950610678912449,0,0.0
none_2,none,1,1,3,2.1851572444714757,1.8224203555285252,0,0.0
none_2,none,1,2,3,2.203391710859491,1.8041858891405098,0,0.0
none_2,none,1,3,3,2.219538293952429,1.7880393060475717,0,0.0
none_2,none,1,4,3,2.2252811334527096,1.7822964665472913,0,0.0
none_2,none,1,5,3,2.184793585789295,1.8227840142107061,0,0.0
none_2,none,1,6,3,2.240443397974599,1.7671342020254013,0,0.0
none_2,none,1,7,3,2.2398629196511646,1.767714680348836,0,0.0
