cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass,cumulative_pest_exposure,days_above_threshold
187,3,none,1.0,0.5,0,35,189.7898301155472,19.95974311972969,26
188,3,none,1.0,0.5,0,36,194.6282301155472,20.95974311972969,27
189,3,none,1.0,0.5,0,37,199.46663011554722,21.95974311972969,28
190,3,none,1.0,0.5,0,38,204.30503011554723,22.95974311972969,29
191,3,none,1.0,0.5,0,39,209.14343011554723,23.95974311972969,30
192,3,none,1.0,0.5,0,40,213.98183011554724,24.95974311972969,31
193,3,none,1.0,0.5,0,41,218.82023011554725,25.95974311972969,32
194,3,none,1.0,0.5,0,42,223.65863011554725,26.95974311972969,33
195,3,none,1.0,0.5,0,43,228.49703011554726,27.95974311972969,34
196,3,none,1.0,0.5,0,44,233.33543011554727,28.95974311972969,35
197,3,none,1.0,0.5,0,45,238.17383011554728,29.95974311972969,36
198,3,none,1.0,0.5,0,46,243.01223011554728,30.95974311972969,37
199,3,none,1.0,0.5,0,47,247.8506301155473,31.95974311972969,38
200,3,none,1.0,0.5,0,48,252.6890301155473,32.959743119729694,39
201,3,none,1.0,0.5,0,49,257.5274301155473,33.959743119729694,40
202,3,none,1.0,0.5,0,50,262.3658301155473,34.959743119729694,41
203,3,none,1.0,0.5,0,51,267.20423011554726,35.959743119729694,42
204,3,none,1.0,0.5,0,52,273.42503011554726,36.959743119729694,43
205,3,none,1.0,0.5,0,53,279.64583011554726,37.959743119729694,44
206,3,none,1.0,0.5,0,54,285.86663011554725,38.959743119729694,45
207,3,none,1.0,0.5,0,55,292.08743011554725,39.959743119729694,46
208,3,none,1.0,0.5,0,56,298.30823011554725,40.959743119729694,47
209,3,none,1.0,0.5,0,57,304.52903011554724,41.959743119729694,48
210,3,none,1.0,0.5,0,58,310.74983011554724,42.959743119729694,49
211,3,none,1.0,0.5,0,59,316.97063011554724,43.959743119729694,50
212,3,none,1.0,0.5,0,60,323.19143011554723,44.959743119729694,51
213,3,none,1.0,0.5,0,61,329.41223011554723,45.959743119729694,52
214,3,none,1.0,0.5,0,62,335.63303011554723,46.959743119729694,53
215,3,none,1.0,0.5,0,63,341.8538301155472,47.959743119729694,54
