cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass,cumulative_pest_exposure,days_above_threshold
24,1,calendar,0.42465037353145146,0.6178146638216937,1,10,161.9112614901573,5.8370455686323695,10
25,1,calendar,0.4686799725721835,0.5781880246850348,1,11,167.50627136742943,6.305725541204553,11
26,1,calendar,0.5141642215060234,0.537252200644579,1,12,172.7051534626269,6.819889762710576,12
27,1,calendar,0.5611511790561394,0.5,1,13,177.5435534626269,7.381040941766716,13
28,1,calendar,0.6096904917097962,0.5,1,14,182.3819534626269,7.990731433476512,14
29,1,calendar,0.15596668923498086,0.8596299796885172,2,1,190.70042085007674,8.146698122711493,14
30,1,calendar,0.19111951671392616,0.8279924349574664,2,2,198.71273804467316,8.337817639425419,14
31,1,calendar,0.22743372330712086,0.7953096490235912,2,3,206.40879045634466,8.565251362732539,14
32,1,calendar,0.22743372330712086,0.7953096490235912,2,4,214.10484286801614,8.79268508603966,14
33,1,calendar,0.26494767865774155,0.7615470892080326,2,5,221.47418174086442,9.0576327646974,14
34,1,calendar,0.30370102006523597,0.7266690819412875,2,6,228.50601311299388,9.361333784762637,15
35,1,calendar,0.3437346943661512,0.6906387750704639,2,7,235.18918641159576,9.705068479128789,16
36,1,calendar,0.38509100119862016,0.6534180989212419,2,8,241.51218267123684,10.09015948032741,17
37,1,calendar,0.4278136376962202,0.6149677260734018,2,9,247.46310236290392,10.51797311802363,18
38,1,calendar,0.4719477446584279,0.5752470298074148,2,10,253.0296528209443,10.989920862682057,19
39,1,calendar,0.517539954246453,0.5342140411781923,2,11,258.19913525461743,11.50746081692851,20
40,1,calendar,0.5646384392548474,0.5,2,12,263.0375352546174,12.072099256183359,21
41,1,calendar,0.613292964010949,0.5,2,13,267.8759352546174,12.685392220194307,22
42,1,calendar,0.6635549369559428,0.5,2,14,272.71433525461737,13.348947157150251,23
43,1,calendar,0.13271098739118853,0.8805601113479303,3,1,281.235339340109,13.48165814454144,23
44,1,calendar,0.1670954929926186,0.8496140563066432,3,2,289.4568846401771,13.648753637534059,23
45,1,calendar,0.20261599389010873,0.8176456054989021,3,3,297.3690776354689,13.851369631424168,23
46,1,calendar,0.23931002109625013,0.7846209810133749,3,4,304.96169794453914,14.090679652520418,23
47,1,calendar,0.27721634557322805,0.7505052889840947,3,5,312.22418752498044,14.367895998093646,23
48,1,calendar,0.3163750191982764,0.7152624827215512,3,6,319.14563951778035,14.684271017291922,24
49,1,calendar,0.35682741708254906,0.6788553246257059,3,7,325.7147867231184,15.04109843437447,25
50,1,calendar,0.3986162812881223,0.6412453468406899,3,8,331.91998969542635,15.439714715662593,26
51,1,calendar,0.44178576598931935,0.6023928106096126,3,9,337.74922444513345,15.881500481651912,27
52,1,calendar,0.48638148412607446,0.659532961111748,3,10,345.95486973410135,16.367881965777986,28
53,1,calendar,0.48638148412607446,0.659532961111748,3,11,354.16051502306925,16.85426344990406,29
54,1,calendar,0.5324505555986316,0.6272846110809579,3,12,361.9649392402941,17.386714005502693,30
55,1,calendar,0.5800416570544993,0.5939708400618505,3,13,369.3548868440076,17.96675566255719,31
56,1,calendar,0.6292050733202659,0.559556448675814,3,14,376.3166643558526,18.595960735877455,32
57,1,calendar,0.15999855010652414,0.8880010149254332,4,1,387.36481778314885,18.75595928598398,32
58,1,calendar,0.1952845822049435,0.8633007924565396,4,2,398.10566092257613,18.951243868188925,32
59,1,calendar,0.2317363942318304,0.8377845240377187,4,3,408.52904085684384,19.182980262420756,32
60,1,calendar,0.26939250122446157,0.811425249142877,4,4,418.62446923657984,19.45237276364522,32
61,1,calendar,0.3082926906799154,0.7841951165240593,4,5,428.3811111983256,19.760665454325135,33
62,1,calendar,0.34847806459459846,0.7560653547837811,4,6,437.78777391640347,20.109143518919733,34
63,1,calendar,0.38999108289267476,0.7270062419751278,4,7,446.8328947765612,20.499134601812408,35
64,1,calendar,0.38999108289267476,0.7270062419751278,4,8,455.87801563671894,20.889125684705082,36
65,1,calendar,0.4328756082892829,0.6969870741975019,4,9,464.5496500190546,21.322001292994365,37
66,1,calendar,0.4771769526359442,0.6659761331548391,4,10,472.83545867731385,21.79917824563031,38
67,1,calendar,0.5229419247971305,0.6339406526420086,4,11,480.72269470122467,22.32212017042744,39
68,1,calendar,0.5702188801085781,0.6008467839239953,4,12,488.19819004809347,22.892339050536016,40
69,1,calendar,0.6190577714696054,0.5666595599712763,4,13,495.2483416294321,23.511396822005622,41
70,1,calendar,0.6695102021234183,0.5313428585136073,4,14,501.859096937915,24.18090702412904,42
71,1,calendar,0.13390204042468362,0.9062685717027215,5,1,513.1345279996116,24.314809064553724,42
72,1,calendar,0.16832589603623432,0.8821718727746359,5,2,524.1101575719244,24.483134960589958,42
73,1,calendar,0.20388704698947943,0.8572790671073645,5,3,534.7760808132474,24.687022007579436,42
74,1,calendar,0.20388704698947943,0.8572790671073645,5,4,545.4420040545704,24.890909054568915,42
75,1,calendar,0.24062306724791785,0.9037507731008328,5,5,556.0614371388144,25.131532121816832,42
77,2,calendar,0.0,1.0,0,1,2.7648,0.0,0
78,2,calendar,0.03,0.994,0,2,5.5130112,0.03,0
79,2,calendar,0.06099114,0.987801772,0,3,8.244085539225601,0.09099114,0
80,2,calendar,0.09300616528332,0.916294451245012,0,4,17.110883685033333,0.18399730528331998,0
81,2,calendar,0.12607890297195032,0.8865289873252447,0,5,25.689647389582262,0.31007620825527027,0
