run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money
none_2,none,0.9,0.03,1,2.2188896870400003,1.7886879129600006,0,11656.669061120001
none_1,none,0.9,0.03,1,2.19438415872,1.8131934412800008,0,11583.152476160001
none_3,none,0.9,0.03,1,2.2522514227199997,1.7553261772800006,0,11756.754268159999
none_0,none,0.9,0.03,1,2.22980898816,1.7777686118400007,0,11689.42696448
none_2,none,0.9,0.03,2,2.22643759104,1.781140008960001,0,18335.98183424
none_1,none,0.9,0.03,2,2.2816594943999995,1.7259181056000006,0,18428.13095936
none_3,none,0.9,0.03,2,2.2170853785599998,1.790492221440001,0,18408.01040384
none_0,none,0.9,0.03,2,2.2821914419199993,1.725386158080001,0,18536.001290239998
none_2,none,0.9,0.03,3,2.2011772723200003,1.806400327680001,0,24939.5136512
none_1,none,0.9,0.03,3,2.23111729152,1.776460308480001,0,25121.482833920003
none_3,none,0.9,0.03,3,2.24002381824,1.7675537817600009,0,25128.08185856
none_0,none,0.9,0.03,3,2.23681056768,1.7707670323200007,0,25246.43299328
none_6,none,0.9,0.03,1,2.2767066316799993,1.7308709683200008,0,11830.119895039998
none_5,none,0.9,0.03,1,2.2699135180799996,1.7376640819200007,0,11809.74055424
none_7,none,0.9,0.03,1,2.2776698879999997,1.7299077120000008,0,11833.009664
none_4,none,0.9,0.03,1,2.24628498432,1.7612926156800006,0,11738.854952959999
none_6,none,0.9,0.03,2,2.2209527808,1.786624819200001,0,18492.97823744
none_5,none,0.9,0.03,2,2.2229655552000005,1.784612044800001,0,18478.63721984
none_7,none,0.9,0.03,2,2.27153092608,1.7360466739200007,0,18647.60244224
none_4,none,0.9,0.03,2,2.3049286041599997,1.7026489958400006,0,18653.640765439995
none_6,none,0.9,0.03,3,2.23527942144,1.7722981785600007,0,25198.816501759997
none_5,none,0.9,0.03,3,2.28219144192,1.725386158080001,0,25325.2115456
none_7,none,0.9,0.03,3,2.2053394022400004,1.8022381977600008,0,25263.62064896
none_4,none,0.9,0.03,3,2.2141596671999997,1.7934179328000008,0,25296.119767039992
none_8,none,0.9,0.03,1,2.2249783296,1.7825992704000007,0,11674.9349888
none_10,none,0.9,0.03,1,2.2761890611199997,1.7313885388800005,0,11828.567183359999
none_9,none,0.9,0.03,1,2.2018817433600004,1.8056958566400008,0,11605.645230080001
none_11,none,0.9,0.03,1,2.24817555456,1.7594020454400008,0,11744.52666368
none_8,none,0.9,0.03,2,2.2263872716799997,1.7811903283200008,0,18354.09680384
none_10,none,0.9,0.03,2,2.1917172326400003,1.8158603673600007,0,18403.71888128
none_9,none,0.9,0.03,2,2.2120965734399998,1.795481026560001,0,18241.9349504
none_11,none,0.9,0.03,2,2.2924422143999994,1.7151353856000007,0,18621.85330688
none_8,none,0.9,0.03,3,2.2340070604799998,1.773570539520001,0,25056.117985279998
none_10,none,0.9,0.03,3,2.22024830976,1.787329290240001,0,25064.463810560002
none_9,none,0.9,0.03,3,2.2229655552000005,1.784612044800001,0,24910.831616
none_11,none,0.9,0.03,3,2.2394415513599997,1.7681360486400006,0,25340.177960959998
none_14,none,0.9,0.03,1,2.22432417792,1.783253422080001,0,11672.97253376
none_13,none,0.9,0.03,1,2.246939136,1.7606384640000008,0,11740.817407999999
none_12,none,0.9,0.03,1,2.25404135424,1.7535362457600008,0,11762.124062719999
none_14,none,0.9,0.03,2,2.3032752537599994,1.7043023462400007,0,18582.798295039996
none_13,none,0.9,0.03,2,2.2073162342400003,1.8002613657600008,0,18362.76611072
none_12,none,0.9,0.03,2,2.2400597606399995,1.767517839360001,0,18482.303344639997
none_14,none,0.9,0.03,3,2.25588160512,1.7516959948800008,0,25350.443110399996
none_13,none,0.9,0.03,3,2.22231140352,1.785266196480001,0,25029.70032128
none_12,none,0.9,0.03,3,2.22709174272,1.7804858572800006,0,25163.578572799997
calendar_18,calendar,0.9,0.03,1,3.278824588088526,0.7287530119114753,5,14336.473764265578
calendar_17,calendar,0.9,0.03,1,3.2908678697336837,0.7167097302663166,5,14372.60360920105
calendar_16,calendar,0.9,0.03,1,3.311240137069364,0.6963374629306369,5,14433.720411208093
calendar_15,calendar,0.9,0.03,1,3.389443625366323,0.6181339746336767,5,14668.33087609897
calendar_18,calendar,0.9,0.03,2,3.257630885810995,0.7499467141890049,5,23609.366421698563
calendar_17,calendar,0.9,0.03,2,3.305319355437466,0.7022582445625344,5,23788.561675513447
calendar_16,calendar,0.9,0.03,2,3.2729383370391565,0.7346392629608448,5,23752.535422325564
calendar_15,calendar,0.9,0.03,2,3.3293387264237584,0.678238873576243,5,24156.347055370243
calendar_18,calendar,0.9,0.03,3,3.3363232268341263,0.6712543731658753,5,33118.33610220094
calendar_17,calendar,0.9,0.03,3,3.3471564617207816,0.6604211382792192,5,33330.03106067579
