none_0,none,1,2.1717138903288253,1.8358637096711763,0,11515.141670986475
none_3,none,1,2.1937833294747056,1.8137942705252956,0,11581.349988424117
none_1,none,1,2.157770182121207,1.8498074178787947,0,11473.31054636362
none_2,none,1,2.1637135383549055,1.8438640616450956,0,11491.140615064716
none_0,none,2,2.160131132823325,1.8474464671766762,0,17995.53506945645
none_3,none,2,2.1582506825863126,1.849326917413689,0,18056.102036183056
none_1,none,2,2.226759181856076,1.780818418143925,0,18153.588091931848
none_2,none,2,2.1791983529445127,1.8283792470554887,0,18028.735673898256
none_0,none,3,2.186634378366143,1.8209432216338581,0,24555.43820455488
none_3,none,3,2.2075015597153156,1.8000760402846856,0,24678.606715329002
none_1,none,3,2.1911706507066246,1.8164069492933763,0,24727.100044051724
none_2,none,3,2.2197416521885267,1.7878359478114743,0,24687.960630463836
none_7,none,1,2.2152710392148847,1.792306560785116,0,11645.813117644655
none_5,none,1,2.1946594195579414,1.8129181804420598,0,11583.978258673824
none_6,none,1,2.251406184310667,1.7561714156893338,0,11754.218552932001
none_4,none,1,2.204450745149526,1.803126854850475,0,11613.35223544858
none_7,none,2,2.152228296057462,1.855349303942539,0,18102.49800581704
none_5,none,2,2.1963765850354076,1.8112010149645934,0,18173.108013780045
none_6,none,2,2.1898839480558143,1.8176936519441866,0,18323.870397099447
none_4,none,2,2.2441536998761884,1.7634239001238121,0,18345.813335077146
none_7,none,3,2.196705667656224,1.8108719323437772,0,24692.615008785713
none_5,none,3,2.238913274078538,1.7686643259214625,0,24889.84783601566
none_6,none,3,2.179290408692092,1.8282871913079093,0,24861.741623175723
none_4,none,3,2.186712744992849,1.8208648550071522,0,24905.951570055695
none_11,none,1,2.20625174793253,1.8013258520674709,0,11618.75524379759
none_9,none,1,2.2121952346783913,1.7953823653216099,0,11636.585704035173
none_10,none,1,2.189927826675993,1.817649773324008,0,11569.783480027978
none_8,none,1,2.1938274529335353,1.813750147066466,0,11581.482358800606
none_11,none,2,2.2570176459838818,1.7505599540161187,0,18389.808181749235
none_9,none,2,2.2557158268551945,1.7518617731448063,0,18403.73318460076
none_10,none,2,2.188110193433764,1.8194674065662373,0,18134.11406032927
none_8,none,2,2.2039786384794238,1.803598961520577,0,18193.418274238877
none_11,none,3,2.1507662199706252,1.8568113800293764,0,24842.10684166111
none_9,none,3,2.2061019336531738,1.8014756663468277,0,25022.03898556028
none_10,none,3,2.1924575584870545,1.8151200415129463,0,24711.486735790433
none_8,none,3,2.193590619926996,1.8139869800730055,0,24774.190134019864
none_13,none,1,2.1582506825863126,1.849326917413689,0,11474.752047758939
none_14,none,1,2.168668848514008,1.8389087514859932,0,11506.006545542024
none_12,none,1,2.1731759664156622,1.8344016335843387,0,11519.527899246987
none_13,none,2,2.239870620357688,1.7677069796423128,0,18194.363908832005
none_14,none,2,2.1582506825863126,1.849326917413689,0,17980.75859330096
none_12,none,2,2.1507662199706252,1.8568113800293764,0,17971.826559158864
none_13,none,3,2.1619514436318457,1.8456261563681557,0,24680.218239727543
none_14,none,3,2.169435906247533,1.8381416937524682,0,24489.06631204356
none_12,none,3,2.1778974562675217,1.8296801437324797,0,24505.518927961428
calendar_15,calendar,1,3.0576366698546464,0.9499409301453552,5,13422.910009563939
calendar_16,calendar,1,2.9638878405073354,1.0436897594926635,5,13141.663521522007
calendar_17,calendar,1,3.0853463773357626,0.9222312226642381,5,13506.039132007289
calendar_18,calendar,1,2.9377203828060234,1.069857217193978,5,13063.16114841807
calendar_15,calendar,2,3.03255096087316,0.9750266391268401,5,21770.562892183418
calendar_16,calendar,2,2.9056317226236246,1.1019458773763742,5,21108.55868939288
calendar_17,calendar,2,2.9198058534512974,1.0877717465487025,5,21515.45669236118
calendar_18,calendar,2,3.1205117046191213,0.8870658953808777,5,21674.696262275436
calendar_15,calendar,3,3.121958200851438,0.8856193991485628,5,30386.43749473773
calendar_16,calendar,3,3.085998595919077,0.9215790040809235,5,29616.554477150115
calendar_17,calendar,3,3.0131355036762257,0.9944420963237746,5,29804.863203389854
calendar_18,calendar,3,2.9842160855124633,1.023361514487537,5,29877.344518812824
calendar_21,calendar,1,3.0117578691192337,0.9958197308807653,5,13285.273607357702
calendar_22,calendar,1,2.939057672297845,1.0685199277021546,5,13067.173016893536
calendar_19,calendar,1,2.990869853914802,1.0167077460851985,5,13222.609561744406
calendar_20,calendar,1,3.0842935966656433,0.923284003334358,5,13502.88078999693
calendar_21,calendar,2,2.9334542969633195,1.07412330303668,5,21335.63649824766
calendar_22,calendar,2,2.989738131580655,1.0178394684193446,5,21286.3874116355
calendar_19,calendar,2,3.024258436467311,0.9833191635326891,5,21545.384871146336
calendar_20,calendar,2,3.0767655909241434,0.9308120090758581,5,21983.17756276936
calendar_21,calendar,3,3.0200759712699354,0.9875016287300646,5,29645.864412057465
calendar_22,calendar,3,3.0364157945455275,0.9711618054544714,5,29645.634795272083
calendar_19,calendar,3,2.990121755129743,1.0174558448702573,5,29765.750136535564
calendar_20,calendar,3,2.975053083157008,1.0325245168429913,5,30158.336812240384
calendar_25,calendar,1,2.9961574775536226,1.0114201224463772,5,13238.472432660868
calendar_26,calendar,1,2.9180586481655495,1.0895189518344506,5,13004.175944496648
calendar_23,calendar,1,2.9862322563993424,1.0213453436006592,5,13208.696769198028
calendar_24,calendar,1,3.0220088115705694,0.9855687884294314,5,13316.026434711708
calendar_25,calendar,2,3.064885938877723,0.9426916611222761,5,21683.130249294038
calendar_26,calendar,2,2.971792334900049,1.0357852650999508,5,21169.552949196797
calendar_23,calendar,2,3.0287240850329034,0.9788535149670975,5,21544.86902429674
calendar_24,calendar,2,2.9973326424084354,1.0102449575915642,5,21558.024361937016
calendar_25,calendar,3,2.975211551972291,1.032366048027709,5,29858.764905210912
calendar_26,calendar,3,3.2405655935601447,0.767012006439854,5,30141.249729877232
calendar_23,calendar,3,3.0978341842702806,0.9097434157297188,5,30088.37157710758
calendar_24,calendar,3,3.050814702595894,0.9567628974041053,5,29960.4684697247
calendar_29,calendar,1,2.947993198205152,1.0595844017948486,5,13093.979594615457
calendar_27,calendar,1,3.1074590426613224,0.9001185573386782,5,13572.377127983968
calendar_28,calendar,1,2.9675202563194127,1.0400573436805882,5,13152.560768958238
calendar_29,calendar,2,3.0194828192089815,0.9880947807910192,5,21402.4280522424
calendar_27,calendar,2,2.9970332542149545,1.0105443457850463,5,21813.47689062883
calendar_28,calendar,2,2.998956549024133,1.0086210509758662,5,21399.430416030635
calendar_29,calendar,3,2.9650680848154565,1.0425095151845456,5,29547.63230668877
calendar_27,calendar,3,3.1116875570574445,0.8958900429425558,5,30398.53956180116
calendar_28,calendar,3,3.0221696164374636,0.9854079835625368,5,29715.939265343026
