run_id,strategy,season,grain_tha,pest_loss_tha,spray_count,end_money
none_2,none,1,2.1810583362438543,1.8265192637561467,0,11543.175008731563
none_1,none,1,2.2089466096031236,1.7986309903968771,0,11626.83982880937
none_0,none,1,2.1764353801806844,1.831142219819317,0,11529.306140542052
none_3,none,1,2.165419278824337,1.8421583211756647,0,11496.25783647301
none_2,none,2,2.251769371189265,1.7558082288107357,0,18298.48312229936
none_1,none,2,2.2076112031631703,1.7999663968368307,0,18249.67343829888
none_0,none,2,2.1702161112342795,1.8373614887657221,0,18039.954474244892
none_3,none,2,2.1715930006876825,1.8359845993123187,0,18011.036838536056
none_2,none,3,2.1967977234038036,1.8107798765961978,0,24888.87629251077
none_1,none,3,2.1692702758696782,1.8383073241303232,0,24757.484265907915
none_0,none,3,2.218342951304081,1.7892346486959192,0,24694.983328157134
none_3,none,3,2.2224952710291057,1.785082328970895,0,24678.522651623374
none_7,none,1,2.192661560687025,1.814916039312976,0,11577.984682061075
none_6,none,1,2.1940559396730785,1.8135216603269229,0,11582.167819019236
none_5,none,1,2.2157713533595267,1.791806246640474,0,11647.314060078581
none_4,none,1,2.186166926201968,1.8214106737980331,0,11558.500778605903
none_7,none,2,2.1813462323651316,1.82623136763487,0,18122.023379156468
none_6,none,2,2.159843236702048,1.8477343632979533,0,18061.69752912538
none_5,none,2,2.2310496277419585,1.7765279722580425,0,18340.462943304457
none_4,none,2,2.1880964544529804,1.8194811455470208,0,18122.790141964844
none_7,none,3,2.1928262320238896,1.8147513679761111,0,24700.502075228138
none_6,none,3,2.208788262366126,1.7987893376338753,0,24688.062316223757
none_5,none,3,2.197875956280993,1.8097016437190083,0,24934.090812147435
none_4,none,3,2.1899941355977948,1.8175834644022064,0,24692.77254875823
none_10,none,1,2.188945936939679,1.818631663060322,0,11566.837810819037
none_9,none,1,2.219244599418032,1.788333000581969,0,11657.733798254096
none_8,none,1,2.1582506825863126,1.849326917413689,0,11474.752047758939
none_11,none,1,2.2268167471482636,1.7807608528517371,0,11680.45024144479
none_10,none,2,2.1914731059278263,1.816104494072175,0,18141.257128602516
none_9,none,2,2.219777081989973,1.7878005180100278,0,18317.065044224015
none_8,none,2,2.212734535719131,1.79484306428087,0,18112.95565491633
none_11,none,2,2.1734433955992687,1.8341342044007325,0,18200.780428242597
none_10,none,3,2.230136460980862,1.777441139019139,0,24831.666511545103
none_9,none,3,2.1986355472712407,1.8089420527287603,0,24912.971686037738
none_8,none,3,2.271055494279277,1.7365221057207234,0,24926.122137754162
none_11,none,3,2.2222131435511296,1.7853644564488713,0,24867.419858895984
none_14,none,1,2.205015504853329,1.802562095146672,0,11615.046514559986
none_13,none,1,2.228709878944513,1.7788677210554877,0,11686.129636833539
none_12,none,1,2.1882855668697907,1.8192920331302105,0,11564.856700609373
none_14,none,2,2.2053610939344517,1.8022165060655497,0,18231.12979636334
none_13,none,2,2.2012328852540715,1.8063447147459297,0,18289.828292595754
none_12,none,2,2.1507662199706252,1.8568113800293764,0,18017.155360521247
none_14,none,3,2.2326660840151997,1.7749115159848015,0,24929.12804840894
none_13,none,3,2.175341076744083,1.8322365232559181,0,24815.851522828
none_12,none,3,2.229378134154232,1.7781994658457694,0,24705.289762983943
calendar_18,calendar,1,3.0514683638008093,0.9561092361991916,5,13654.405091402428
calendar_17,calendar,1,3.1274572931540834,0.8801203068459179,5,13882.371879462251
calendar_16,calendar,1,3.010873881622059,0.9967037183779405,5,13532.621644866178
calendar_15,calendar,1,3.1412093655448157,0.8663682344551856,5,13923.628096634448
calendar_18,calendar,2,2.9546231966172507,1.0529544033827487,5,22018.27468125418
calendar_17,calendar,2,2.9209130157440133,1.0866645842559866,5,22145.11092669429
calendar_16,calendar,2,3.0558492787155003,0.9517283212844988,5,22200.16948101268
calendar_15,calendar,2,3.020819706586784,0.986757893413218,5,22486.0872163948
calendar_18,calendar,3,3.0324281031194555,0.9751494968805434,5,30615.558990612546
calendar_17,calendar,3,3.027520944031118,0.9800566559688815,5,30727.673758787645
calendar_16,calendar,3,3.0496697604434924,0.9579078395565083,5,30849.178762343156
calendar_15,calendar,3,3.0823446605269327,0.9252329394730674,5,31233.121197975597
calendar_22,calendar,1,3.00295738493288,1.0046202150671197,5,13508.87215479864
calendar_21,calendar,1,3.122988402356147,0.8845891976438531,5,13868.96520706844
calendar_20,calendar,1,2.975533106445733,1.0320444935542674,5,13426.5993193372
calendar_19,calendar,1,3.05586058156432,0.9517170184356804,5,13667.58174469296
calendar_22,calendar,2,2.981085226480324,1.0264923735196758,5,21952.12783423961
calendar_21,calendar,2,2.9609565282190307,1.0466210717809694,5,22251.83479172553
calendar_20,calendar,2,2.936440435794866,1.0711371642051355,5,21735.920626721796
calendar_19,calendar,2,3.0027097038545465,1.004867896145454,5,22175.7108562566
calendar_22,calendar,3,3.0779067199880865,0.9296708800119131,5,30685.84799420387
calendar_21,calendar,3,3.1106533075232847,0.8969242924767145,5,31083.794714295385
calendar_20,calendar,3,2.983854519611899,1.0237230803881003,5,30187.484185557492
calendar_19,calendar,3,3.079185384000401,0.9283922159995998,5,30913.267008257804
calendar_26,calendar,1,3.0053987135118696,1.0021788864881311,5,13516.196140535609
calendar_25,calendar,1,2.9342714173066873,1.0733061826933137,5,13302.814251920061
calendar_24,calendar,1,2.9107648437523754,1.0968127562476238,5,13232.294531257126
calendar_23,calendar,1,2.989565644836601,1.0180119551634013,5,13468.696934509802
calendar_26,calendar,2,2.9296870360172886,1.0778905639827112,5,21805.257248587477
calendar_25,calendar,2,2.8805336198827054,1.127043980117296,5,21444.415111568178
calendar_24,calendar,2,3.082364787533986,0.9252128124660146,5,21979.388893859083
calendar_23,calendar,2,3.05645184810956,0.9511257518904399,5,22138.052478838483
calendar_26,calendar,3,3.0220197548227072,0.9855578451772934,5,30371.3165130556
calendar_25,calendar,3,2.91928451766452,1.0882930823354797,5,29702.268664561736
calendar_24,calendar,3,3.087863551083185,0.9197140489168173,5,30742.97954710864
calendar_23,calendar,3,2.9386456631790914,1.0689319368209087,5,30453.98946837576
calendar_29,calendar,1,3.0104964397970906,0.9970811602029086,5,13531.489319391272
calendar_28,calendar,1,3.0071727778220567,1.0004048221779442,5,13521.51833346617
calendar_27,calendar,1,2.915494156275419,1.09208344372458,5,13246.482468826258
calendar_29,calendar,2,2.911145992170196,1.096431607829805,5,21764.92729590186
calendar_28,calendar,2,3.086779849027574,0.9207977509724269,5,22281.857880548894
calendar_27,calendar,2,3.046464404454379,0.9611131955456208,5,21885.875682189395
calendar_29,calendar,3,3.0957118948657745,0.9118657051342267,5,30552.062980499184
calendar_28,calendar,3,3.0564814667037785,0.9510961332962226,5,30951.30228066023
calendar_27,calendar,3,2.8898787659138674,1.1176988340861322,5,30055.511979930998
threshold_30,threshold,1,3.3796294929649515,0.6279481070350507,8,14338.888478894854
threshold_33,threshold,1,3.3877088235100583,0.6198687764899427,8,14363.126470530175
threshold_32,threshold,1,3.382406429494196,0.6251711705058047,8,14347.219288482587
threshold_31,threshold,1,3.412002426320636,0.5955751736793655,8,14436.007278961908
threshold_30,threshold,2,3.385652091869344,0.6219255081306571,8,23695.844754502887
threshold_33,threshold,2,3.4009503220144954,0.6066272779855055,9,23665.97743657366
threshold_32,threshold,2,3.3812326695262853,0.626344930473716,9,23590.917297061445
threshold_31,threshold,2,3.3769424849805376,0.6306351150194633,8,23766.83473390352
threshold_30,threshold,3,3.4064678353556896,0.6011097646443121,8,33115.248260569955
threshold_33,threshold,3,3.3785569707326757,0.6290206292673266,8,33001.64834877169
threshold_32,threshold,3,3.4153038315578175,0.5922737684421832,8,33036.82879173489
threshold_31,threshold,3,3.389274375666147,0.6183032243338542,8,33134.65786090196
threshold_34,threshold,1,3.3956802332495544,0.6118973667504457,8,14387.040699748663
threshold_37,threshold,1,3.3882762087402165,0.6193013912597825,7,14464.82862622065
threshold_36,threshold,1,3.401693641771542,0.6058839582284578,7,14505.080925314625
threshold_35,threshold,1,3.3929339086982733,0.6146436913017272,8,14378.80172609482
threshold_34,threshold,2,3.3974469578360873,0.6101306421639133,8,23779.381573256924
threshold_37,threshold,2,3.3837500388582074,0.6238275611417938,8,23816.07874279527
threshold_36,threshold,2,3.374891618489243,0.6326859815107576,9,23729.755780782354
threshold_35,threshold,2,3.3821054396793127,0.6254721603206884,8,23725.11804513276
threshold_34,threshold,3,3.3965423446371688,0.6110352553628328,8,33169.008607168435
threshold_37,threshold,3,3.36481285009011,0.6427647499098909,7,33210.5172930656
threshold_36,threshold,3,3.4077311417743745,0.5998464582256263,8,33152.94920610548
threshold_35,threshold,3,3.388795617869916,0.6187819821300851,8,33091.50489874251
threshold_41,threshold,1,3.393932735497021,0.6136448645029798,8,14381.798206491063
threshold_40,threshold,1,3.3820427213003494,0.6255348786996515,8,14346.128163901049
threshold_39,threshold,1,3.3781758025257838,0.6294017974742172,9,14234.52740757735
threshold_38,threshold,1,3.399453329722736,0.6081242702772646,7,14498.359989168208
threshold_41,threshold,2,3.37458160776061,0.6329959922393913,9,23605.543029772893
threshold_40,threshold,2,3.401475203928024,0.6061023960719766,8,23750.55377568512
threshold_39,threshold,2,3.395208060414443,0.6123695395855573,8,23620.151588820678
threshold_38,threshold,2,3.36544372658329,0.6421338734167101,9,23694.691168918078
threshold_41,threshold,3,3.3878969395230207,0.6196806604769802,8,32969.23384834196
threshold_40,threshold,3,3.3689920414969636,0.6385855585030372,8,33057.529900176014
threshold_39,threshold,3,3.4004404766017062,0.6071371233982944,8,33021.473018625795
threshold_38,threshold,3,3.4012288697199007,0.6063487302801017,8,33098.37777807778
threshold_42,threshold,1,3.4026416528692294,0.6049359471307705,8,14407.924958607688
threshold_44,threshold,1,3.401044194165526,0.6065334058344742,8,14403.132582496579
threshold_43,threshold,1,3.409800284522652,0.5977773154773476,7,14529.400853567955
threshold_42,threshold,2,3.4027267540681847,0.6048508459318165,8,23816.105220812242
threshold_44,threshold,2,3.4363993172962535,0.5711782827037464,7,24012.33053438534
