run_id,strategy,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
none_0,none,1,0,0,2.278086561795505,1.7294910382044955,0,0.0,100.0
none_0,none,1,1,0,2.194074226657061,1.8135033733429404,0,0.0,100.0
none_0,none,1,2,0,2.2233683505254476,1.7842092494745536,0,0.0,100.0
none_0,none,1,3,0,2.2555114057362355,1.7520661942637652,0,0.0,100.0
none_0,none,1,4,0,2.2344744315198244,1.773103168480177,0,0.0,100.0
none_0,none,1,5,0,2.2469394561164835,1.7606381438835175,0,0.0,100.0
none_0,none,1,6,0,2.216234920894558,1.7913426791054432,0,0.0,100.0
none_0,none,1,7,0,2.2570500141162877,1.7505275858837135,0,0.0,100.0
none_0,none,1,8,0,2.1969289126501286,1.810648687349873,0,0.0,100.0
none_0,none,1,9,0,2.271389776499161,1.7361878235008397,0,0.0,100.0
none_0,none,1,0,1,2.2065577558720295,1.8010198441279712,0,0.0,100.0
none_0,none,1,1,1,2.159220491646979,1.8483571083530228,0,0.0,100.0
none_0,none,1,2,1,2.1689314041627603,1.838646195837241,0,0.0,100.0
none_0,none,1,3,1,2.1958955932529944,1.8116820067470067,0,0.0,100.0
none_0,none,1,4,1,2.1859052703718005,1.821672329628201,0,0.0,100.0
none_0,none,1,5,1,2.1837292100457333,1.823848389954268,0,0.0,100.0
none_0,none,1,6,1,2.167035098621452,1.8405425013785492,0,0.0,100.0
none_0,none,1,7,1,2.1724919324059506,1.8350856675940508,0,0.0,100.0
none_0,none,1,8,1,2.1715972967125916,1.8359803032874096,0,0.0,100.0
none_0,none,1,9,1,2.1836923744682526,1.823885225531749,0,0.0,100.0
none_0,none,1,0,2,2.2153752877253146,1.7922023122746862,0,0.0,100.0
none_0,none,1,1,2,2.1907489523132804,1.8168286476867204,0,0.0,100.0
none_0,none,1,2,2,2.203576627103705,1.804000972896296,0,0.0,100.0
none_0,none,1,3,2,2.1864739438819014,1.8211036561180998,0,0.0,100.0
none_0,none,1,4,2,2.2233769413675946,1.7842006586324062,0,0.0,100.0
none_0,none,1,5,2,2.192975242063664,1.814602357936337,0,0.0,100.0
none_0,none,1,6,2,2.18357464186819,1.8240029581318118,0,0.0,100.0
none_0,none,1,7,2,2.164912868696602,1.8426647313033993,0,0.0,100.0
none_0,none,1,8,2,2.188144198090293,1.8194334019097078,0,0.0,100.0
none_0,none,1,9,2,2.2263529094165744,1.7812246905834266,0,0.0,100.0
none_0,none,1,0,3,2.244722041102446,1.762855558897555,0,0.0,100.0
none_0,none,1,1,3,2.1959646847718326,1.8116129152281688,0,0.0,100.0
none_0,none,1,2,3,2.193285695895634,1.8142919041043672,0,0.0,100.0
none_0,none,1,3,3,2.206654574212614,1.8009230257873874,0,0.0,100.0
none_0,none,1,4,3,2.2065266127528878,1.801050987247113,0,0.0,100.0
none_0,none,1,5,3,2.193090958287169,1.8144866417128322,0,0.0,100.0
none_0,none,1,6,3,2.212609631169196,1.794967968830805,0,0.0,100.0
none_0,none,1,7,3,2.19851443960327,1.8090631603967307,0,0.0,100.0
