run_id,strategy,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
none_1,none,1,0,3,2.192595503610817,1.8149820963891847,0,0.0,100.0
none_1,none,1,1,3,2.1804336189685714,1.8271439810314298,0,0.0,100.0
none_1,none,1,2,3,2.2051132694250803,1.802464330574921,0,0.0,100.0
none_1,none,1,3,3,2.172897114785526,1.8346804852144758,0,0.0,100.0
none_1,none,1,4,3,2.195186612629607,1.8123909873703938,0,0.0,100.0
none_1,none,1,5,3,2.1751865084739923,1.8323910915260089,0,0.0,100.0
none_1,none,1,6,3,2.2157982789590394,1.7917793210409614,0,0.0,100.0
none_1,none,1,7,3,2.183246051229366,1.8243315487706346,0,0.0,100.0
none_1,none,1,8,3,2.195698478096131,1.8118791219038703,0,0.0,100.0
none_1,none,1,9,3,2.2049967643397457,1.8025808356602548,0,0.0,100.0
none_1,none,1,0,4,2.2304584645335934,1.7771191354664069,0,0.0,100.0
none_1,none,1,1,4,2.1557026641259824,1.851874935874019,0,0.0,100.0
none_1,none,1,2,4,2.204388170522848,1.803189429477153,0,0.0,100.0
none_1,none,1,3,4,2.1884452439631796,1.819132356036821,0,0.0,100.0
none_1,none,1,4,4,2.2077312725985725,1.7998463274014287,0,0.0,100.0
none_1,none,1,5,4,2.189018176500159,1.8185594234998421,0,0.0,100.0
none_1,none,1,6,4,2.1885012679375793,1.819076332062422,0,0.0,100.0
none_1,none,1,7,4,2.228035218110137,1.7795423818898641,0,0.0,100.0
none_1,none,1,8,4,2.1788922677195033,1.8286853322804981,0,0.0,100.0
none_1,none,1,9,4,2.243235056402074,1.7643425435979267,0,0.0,100.0
none_1,none,1,0,5,2.242884539300888,1.764693060699113,0,0.0,100.0
none_1,none,1,1,5,2.18371501981679,1.8238625801832116,0,0.0,100.0
none_1,none,1,2,5,2.191102667888798,1.816474932111203,0,0.0,100.0
none_1,none,1,3,5,2.207755028559725,1.7998225714402762,0,0.0,100.0
none_1,none,1,4,5,2.188363585304794,1.8192140146952074,0,0.0,100.0
none_1,none,1,5,5,2.180591700219455,1.8269858997805464,0,0.0,100.0
none_1,none,1,6,5,2.20202696899717,1.8055506310028306,0,0.0,100.0
none_1,none,1,7,5,2.1827987923194367,1.8247788076805644,0,0.0,100.0
none_1,none,1,8,5,2.173465840447145,1.8341117595528564,0,0.0,100.0
none_1,none,1,9,5,2.2019895645663174,1.805588035433684,0,0.0,100.0
none_1,none,1,0,6,2.2081842092673813,1.7993933907326198,0,0.0,100.0
none_1,none,1,1,6,2.171854554697177,1.8357230453028246,0,0.0,100.0
none_1,none,1,2,6,2.1736306895794186,1.8339469104205826,0,0.0,100.0
none_1,none,1,3,6,2.19147575057788,1.8161018494221208,0,0.0,100.0
none_1,none,1,4,6,2.210905607129122,1.7966719928708792,0,0.0,100.0
none_1,none,1,5,6,2.1804430425445593,1.827134557455442,0,0.0,100.0
none_1,none,1,6,6,2.20151835080555,1.8060592491944512,0,0.0,100.0
none_1,none,1,7,6,2.1872150629518528,1.8203625370481487,0,0.0,100.0
none_1,none,1,8,6,2.1902828503583,1.817294749641701,0,0.0,100.0
none_1,none,1,9,6,2.227019697198125,1.7805579028018763,0,0.0,100.0
none_1,none,1,0,7,2.1999448594908384,1.8076327405091623,0,0.0,100.0
none_1,none,1,1,7,2.147511967385767,1.8600656326142346,0,0.0,100.0
none_1,none,1,2,7,2.1996967711953026,1.8078808288046986,0,0.0,100.0
none_1,none,1,3,7,2.2131451124297916,1.7944324875702091,0,0.0,100.0
none_1,none,1,4,7,2.2128445668125827,1.794733033187418,0,0.0,100.0
none_1,none,1,5,7,2.2163477187546463,1.7912298812453549,0,0.0,100.0
none_1,none,1,6,7,2.160120007513703,1.8474575924862986,0,0.0,100.0
none_1,none,1,7,7,2.1599698551004445,1.8476077448995574,0,0.0,100.0
none_1,none,1,8,7,2.165743369715597,1.8418342302844044,0,0.0,100.0
none_1,none,1,9,7,2.217589232935648,1.7899883670643528,0,0.0,100.0
none_1,none,1,0,8,2.219874569905289,1.787703030094712,0,0.0,100.0
none_1,none,1,1,8,2.138002896776487,1.8695747032235144,0,0.0,100.0
none_1,none,1,2,8,2.177066322094363,1.830511277905638,0,0.0,100.0
none_1,none,1,3,8,2.1672412951028353,1.8403363048971662,0,0.0,100.0
none_1,none,1,4,8,2.196749948996099,1.8108276510039019,0,0.0,100.0
none_1,none,1,5,8,2.1555758512412733,1.8520017487587281,0,0.0,100.0
none_1,none,1,6,8,2.163658432263334,1.8439191677366678,0,0.0,100.0
none_1,none,1,7,8,2.149410247358856,1.8581673526411455,0,0.0,100.0
none_1,none,1,8,8,2.1645352417975903,1.8430423582024107,0,0.0,100.0
none_1,none,1,9,8,2.180094456745785,1.8274831432542165,0,0.0,100.0
none_1,none,1,0,9,2.273166128037352,1.7344114719626489,0,0.0,100.0
none_1,none,1,1,9,2.1895620365554507,1.81801556344455,0,0.0,100.0
none_1,none,1,2,9,2.197945140015256,1.8096324599847449,0,0.0,100.0
none_1,none,1,3,9,2.2198438624485033,1.787733737551498,0,0.0,100.0
none_1,none,1,4,9,2.2298355926343127,1.7777420073656882,0,0.0,100.0
none_1,none,1,5,9,2.2332339646165464,1.7743436353834547,0,0.0,100.0
none_1,none,1,6,9,2.2205910293162545,1.7869865706837464,0,0.0,100.0
none_1,none,1,7,9,2.213709852029925,1.7938677479700764,0,0.0,100.0
none_1,none,1,8,9,2.204905216194227,1.8026723838057743,0,0.0,100.0
none_1,none,1,9,9,2.2614237804999022,1.7461538195000983,0,0.0,100.0
none_0,none,1,0,0,2.282365854599703,1.7252117454002973,0,0.0,100.0
none_0,none,1,1,0,2.211404519600169,1.7961730803998317,0,0.0,100.0
none_0,none,1,2,0,2.203120455053963,1.8044571449460378,0,0.0,100.0
none_0,none,1,3,0,2.1805755781981975,1.827002021801804,0,0.0,100.0
none_0,none,1,4,0,2.1805554940879457,1.827022105912056,0,0.0,100.0
none_0,none,1,5,0,2.2114516575922982,1.7961259424077032,0,0.0,100.0
none_0,none,1,6,0,2.2104794832129366,1.7970981167870645,0,0.0,100.0
none_0,none,1,7,0,2.254993304240622,1.752584295759379,0,0.0,100.0
none_0,none,1,8,0,2.199669138941962,1.8079084610580392,0,0.0,100.0
none_0,none,1,9,0,2.3096268569048433,1.6979507430951568,0,0.0,100.0
none_0,none,1,0,1,2.2028619372199016,1.8047156627800995,0,0.0,100.0
none_0,none,1,1,1,2.149448600966299,1.8581289990337027,0,0.0,100.0
none_0,none,1,2,1,2.1582672948323274,1.849310305167674,0,0.0,100.0
none_0,none,1,3,1,2.1711575485928676,1.8364200514071334,0,0.0,100.0
none_0,none,1,4,1,2.1618459312548732,1.845731668745128,0,0.0,100.0
none_0,none,1,5,1,2.175943554203241,1.8316340457967608,0,0.0,100.0
none_0,none,1,6,1,2.173995391014246,1.8335822089857552,0,0.0,100.0
none_0,none,1,7,1,2.1923054962057744,1.8152721037942265,0,0.0,100.0
none_0,none,1,8,1,2.186645085000505,1.8209325149994964,0,0.0,100.0
none_0,none,1,9,1,2.2418583961413896,1.7657192038586116,0,0.0,100.0
none_0,none,1,0,2,2.205564021317553,1.8020135786824483,0,0.0,100.0
none_0,none,1,1,2,2.1640509376095913,1.8435266623904099,0,0.0,100.0
none_0,none,1,2,2,2.1787383462062464,1.8288392537937546,0,0.0,100.0
none_0,none,1,3,2,2.198899331077796,1.8086782689222054,0,0.0,100.0
none_0,none,1,4,2,2.196515476349708,1.811062123650293,0,0.0,100.0
none_0,none,1,5,2,2.1718482536218695,1.8357293463781321,0,0.0,100.0
none_0,none,1,6,2,2.194155264288647,1.8134223357113544,0,0.0,100.0
none_0,none,1,7,2,2.2226404756458606,1.7849371243541405,0,0.0,100.0
none_0,none,1,8,2,2.2000865535150465,1.8074910464849543,0,0.0,100.0
none_0,none,1,9,2,2.2336030519832035,1.7739745480167974,0,0.0,100.0
none_0,none,1,0,3,2.2427709370925153,1.7648066629074854,0,0.0,100.0
none_0,none,1,1,3,2.175876994175466,1.8317006058245355,0,0.0,100.0
none_0,none,1,2,3,2.1900843491278326,1.8174932508721688,0,0.0,100.0
none_0,none,1,3,3,2.1832914312990375,1.8242861687009637,0,0.0,100.0
none_0,none,1,4,3,2.184886040476583,1.8226915595234183,0,0.0,100.0
none_0,none,1,5,3,2.1726235393239204,1.8349540606760812,0,0.0,100.0
none_0,none,1,6,3,2.1882024060395247,1.8193751939604768,0,0.0,100.0
none_0,none,1,7,3,2.1885144907492897,1.819063109250712,0,0.0,100.0
none_0,none,1,8,3,2.182925155030935,1.824652444969066,0,0.0,100.0
none_0,none,1,9,3,2.268157309688032,1.7394202903119682,0,0.0,100.0
none_0,none,1,0,4,2.2411603103644824,1.7664172896355186,0,0.0,100.0
none_0,none,1,1,4,2.196503736556301,1.8110738634437002,0,0.0,100.0
none_0,none,1,2,4,2.1934373814582653,1.814140218541736,0,0.0,100.0
none_0,none,1,3,4,2.1775392282533126,1.8300383717466886,0,0.0,100.0
none_0,none,1,4,4,2.190323451588052,1.8172541484119493,0,0.0,100.0
none_0,none,1,5,4,2.1810375738252867,1.8265400261747147,0,0.0,100.0
none_0,none,1,6,4,2.180387665379876,1.827189934620125,0,0.0,100.0
none_0,none,1,7,4,2.2208294397754518,1.7867481602245494,0,0.0,100.0
none_0,none,1,8,4,2.178942467148252,1.8286351328517498,0,0.0,100.0
none_0,none,1,9,4,2.2223565564133656,1.7852210435866354,0,0.0,100.0
none_0,none,1,0,5,2.2077492117840856,1.7998283882159158,0,0.0,100.0
none_0,none,1,1,5,2.1954608954695845,1.8121167045304167,0,0.0,100.0
none_0,none,1,2,5,2.2008123286394383,1.8067652713605626,0,0.0,100.0
none_0,none,1,3,5,2.195376941039439,1.8122006589605621,0,0.0,100.0
none_0,none,1,4,5,2.1841906563068343,1.8233869436931667,0,0.0,100.0
none_0,none,1,5,5,2.1861463920432618,1.8214312079567396,0,0.0,100.0
none_0,none,1,6,5,2.1867959899847453,1.8207816100152558,0,0.0,100.0
none_0,none,1,7,5,2.1949918304484695,1.8125857695515317,0,0.0,100.0
none_0,none,1,8,5,2.180832983818337,1.8267446161816645,0,0.0,100.0
none_0,none,1,9,5,2.264482114014441,1.7430954859855596,0,0.0,100.0
none_0,none,1,0,6,2.245659553077078,1.761918046922923,0,0.0,100.0
none_0,none,1,1,6,2.1886644251593985,1.8189131748406027,0,0.0,100.0
none_0,none,1,2,6,2.2270017007000456,1.7805758992999552,0,0.0,100.0
none_0,none,1,3,6,2.202918183257944,1.8046594167420573,0,0.0,100.0
none_0,none,1,4,6,2.199655580042187,1.8079220199578137,0,0.0,100.0
none_0,none,1,5,6,2.207045560372142,1.8005320396278588,0,0.0,100.0
none_0,none,1,6,6,2.203724879209108,1.8038527207908928,0,0.0,100.0
none_0,none,1,7,6,2.18793364011743,1.8196439598825713,0,0.0,100.0
none_0,none,1,8,6,2.182101815056897,1.8254757849431045,0,0.0,100.0
none_0,none,1,9,6,2.2517616808598375,1.755815919140163,0,0.0,100.0
none_0,none,1,0,7,2.2355908998997296,1.7719867001002714,0,0.0,100.0
none_0,none,1,1,7,2.183533794118009,1.824043805881993,0,0.0,100.0
none_0,none,1,2,7,2.2240802182318102,1.7834973817681907,0,0.0,100.0
none_0,none,1,3,7,2.206094996645596,1.8014826033544051,0,0.0,100.0
none_0,none,1,4,7,2.1946420974608722,1.812935502539129,0,0.0,100.0
none_0,none,1,5,7,2.2009508368845565,1.8066267631154447,0,0.0,100.0
none_0,none,1,6,7,2.200984947990643,1.8065926520093585,0,0.0,100.0
none_0,none,1,7,7,2.185742370339539,1.8218352296604625,0,0.0,100.0
none_0,none,1,8,7,2.194704062419472,1.812873537580529,0,0.0,100.0
none_0,none,1,9,7,2.253777985848128,1.7537996141518728,0,0.0,100.0
none_0,none,1,0,8,2.2385053474402996,1.7690722525597014,0,0.0,100.0
none_0,none,1,1,8,2.1781484891525666,1.8294291108474343,0,0.0,100.0
none_0,none,1,2,8,2.2075165785999107,1.8000610214000903,0,0.0,100.0
none_0,none,1,3,8,2.219013868172412,1.7885637318275889,0,0.0,100.0
none_0,none,1,4,8,2.163568931631248,1.8440086683687538,0,0.0,100.0
none_0,none,1,5,8,2.156017460041219,1.8515601399587822,0,0.0,100.0
none_0,none,1,6,8,2.202121051601411,1.8054565483985903,0,0.0,100.0
none_0,none,1,7,8,2.1662482246323296,1.8413293753676718,0,0.0,100.0
none_0,none,1,8,8,2.167165422177201,1.8404121778228006,0,0.0,100.0
none_0,none,1,9,8,2.1956671260897065,1.811910473910295,0,0.0,100.0
none_0,none,1,0,9,2.2717480954106315,1.7358295045893692,0,0.0,100.0
none_0,none,1,1,9,2.2198058935372313,1.78777170646277,0,0.0,100.0
none_0,none,1,2,9,2.2498195395242058,1.7577580604757956,0,0.0,100.0
none_0,none,1,3,9,2.2324181937103833,1.7751594062896177,0,0.0,100.0
none_0,none,1,4,9,2.206258140864666,1.801319459135335,0,0.0,100.0
none_0,none,1,5,9,2.211842998159395,1.795734601840606,0,0.0,100.0
none_0,none,1,6,9,2.242050545767216,1.765527054232785,0,0.0,100.0
none_0,none,1,7,9,2.2156604884742364,1.7919171115257644,0,0.0,100.0
none_0,none,1,8,9,2.2034894652743438,1.8040881347256579,0,0.0,100.0
none_0,none,1,9,9,2.2584507049143947,1.7491268950856065,0,0.0,100.0
none_3,none,1,0,0,2.3119404085276325,1.6956371914723678,0,0.0,100.0
none_3,none,1,1,0,2.20731239464795,1.8002652053520516,0,0.0,100.0
none_3,none,1,2,0,2.206418924670127,1.8011586753298745,0,0.0,100.0
none_3,none,1,3,0,2.240749588199004,1.7668280118009971,0,0.0,100.0
none_3,none,1,4,0,2.2315595449753474,1.7760180550246534,0,0.0,100.0
none_3,none,1,5,0,2.240945306719213,1.7666322932807879,0,0.0,100.0
none_3,none,1,6,0,2.2477503337186637,1.7598272662813372,0,0.0,100.0
none_3,none,1,7,0,2.236303993441537,1.7712736065584642,0,0.0,100.0
none_3,none,1,8,0,2.2032717952971757,1.804305804702826,0,0.0,100.0
none_3,none,1,9,0,2.2668795101665578,1.7406980898334425,0,0.0,100.0
none_3,none,1,0,1,2.226101296851068,1.7814763031489336,0,0.0,100.0
none_3,none,1,1,1,2.1823280116392136,1.8252495883607875,0,0.0,100.0
none_3,none,1,2,1,2.1900821773483887,1.8174954226516125,0,0.0,100.0
none_3,none,1,3,1,2.155400963278755,1.8521766367212464,0,0.0,100.0
none_3,none,1,4,1,2.1672341919247917,1.8403434080752095,0,0.0,100.0
none_3,none,1,5,1,2.172186919630744,1.8353906803692577,0,0.0,100.0
none_3,none,1,6,1,2.176403477128748,1.8311741228712533,0,0.0,100.0
none_3,none,1,7,1,2.163079785784131,1.8444978142158703,0,0.0,100.0
none_3,none,1,8,1,2.139606737362825,1.8679708626371767,0,0.0,100.0
none_3,none,1,9,1,2.2010263814784783,1.8065512185215233,0,0.0,100.0
none_3,none,1,0,2,2.2177910027846672,1.7897865972153337,0,0.0,100.0
none_3,none,1,1,2,2.210148982473793,1.7974286175262078,0,0.0,100.0
none_3,none,1,2,2,2.20693166002579,1.8006459399742107,0,0.0,100.0
none_3,none,1,3,2,2.2049065470549443,1.8026710529450565,0,0.0,100.0
none_3,none,1,4,2,2.1759841695284807,1.831593430471521,0,0.0,100.0
none_3,none,1,5,2,2.206666946076614,1.800910653923387,0,0.0,100.0
none_3,none,1,6,2,2.1976426946217433,1.8099349053782579,0,0.0,100.0
none_3,none,1,7,2,2.1900963955576995,1.8174812044423012,0,0.0,100.0
none_3,none,1,8,2,2.1687439188521735,1.8388336811478276,0,0.0,100.0
none_3,none,1,9,2,2.212381661305901,1.7951959386941,0,0.0,100.0
none_3,none,1,0,3,2.2535352233921775,1.7540423766078233,0,0.0,100.0
none_3,none,1,1,3,2.1817748954489287,1.8258027045510727,0,0.0,100.0
none_3,none,1,2,3,2.2311067581334876,1.776470841866513,0,0.0,100.0
none_3,none,1,3,3,2.172854977739444,1.834722622260557,0,0.0,100.0
none_3,none,1,4,3,2.193990536882442,1.813587063117559,0,0.0,100.0
none_3,none,1,5,3,2.217765480368137,1.7898121196318642,0,0.0,100.0
none_3,none,1,6,3,2.2132367945996085,1.7943408054003922,0,0.0,100.0
none_3,none,1,7,3,2.19280772449836,1.8147698755016408,0,0.0,100.0
none_3,none,1,8,3,2.197585887446606,1.8099917125533949,0,0.0,100.0
none_3,none,1,9,3,2.218668831047413,1.788908768952588,0,0.0,100.0
none_3,none,1,0,4,2.2378589083311016,1.7697186916688998,0,0.0,100.0
none_3,none,1,1,4,2.196786257312428,1.8107913426875728,0,0.0,100.0
none_3,none,1,2,4,2.19142937759512,1.8161482224048808,0,0.0,100.0
none_3,none,1,3,4,2.206154805470763,1.8014227945292378,0,0.0,100.0
none_3,none,1,4,4,2.236031721966358,1.7715458780336435,0,0.0,100.0
none_3,none,1,5,4,2.1826314213179674,1.8249461786820342,0,0.0,100.0
none_3,none,1,6,4,2.2444597956008367,1.7631178043991642,0,0.0,100.0
none_3,none,1,7,4,2.199060996593301,1.8085166034067002,0,0.0,100.0
none_3,none,1,8,4,2.1674792967070657,1.8400983032929359,0,0.0,100.0
none_3,none,1,9,4,2.2599586813984347,1.7476189186015656,0,0.0,100.0
none_3,none,1,0,5,2.245318929569908,1.762258670430093,0,0.0,100.0
none_3,none,1,1,5,2.1729440664483595,1.8346335335516417,0,0.0,100.0
none_3,none,1,2,5,2.214149023177288,1.793428576822713,0,0.0,100.0
none_3,none,1,3,5,2.1885757077017223,1.8190018922982787,0,0.0,100.0
none_3,none,1,4,5,2.19524521834756,1.812332381652441,0,0.0,100.0
none_3,none,1,5,5,2.210668367006801,1.7969092329932,0,0.0,100.0
none_3,none,1,6,5,2.1898120846849625,1.8177655153150383,0,0.0,100.0
none_3,none,1,7,5,2.1847895847488523,1.822788015251149,0,0.0,100.0
none_3,none,1,8,5,2.1851946185554096,1.8223829814445918,0,0.0,100.0
none_3,none,1,9,5,2.239176100216695,1.7684014997833057,0,0.0,100.0
none_3,none,1,0,6,2.256676420066638,1.7509011799333627,0,0.0,100.0
none_3,none,1,1,6,2.177916193870905,1.8296614061290963,0,0.0,100.0
none_3,none,1,2,6,2.2039113895513576,1.8036662104486427,0,0.0,100.0
none_3,none,1,3,6,2.203504207432846,1.8040733925671548,0,0.0,100.0
none_3,none,1,4,6,2.211100521250431,1.7964770787495699,0,0.0,100.0
none_3,none,1,5,6,2.2288112467673016,1.7787663532326994,0,0.0,100.0
none_3,none,1,6,6,2.2180814010127525,1.789496198987248,0,0.0,100.0
none_3,none,1,7,6,2.216470424957756,1.7911071750422451,0,0.0,100.0
none_3,none,1,8,6,2.1974915213999724,1.8100860786000286,0,0.0,100.0
none_3,none,1,9,6,2.2424739771759947,1.765103622824006,0,0.0,100.0
none_3,none,1,0,7,2.238325719778326,1.7692518802216746,0,0.0,100.0
none_3,none,1,1,7,2.1917084154107673,1.815869184589234,0,0.0,100.0
none_3,none,1,2,7,2.163859465213602,1.8437181347863996,0,0.0,100.0
none_3,none,1,3,7,2.170676230070747,1.8369013699292547,0,0.0,100.0
none_3,none,1,4,7,2.182709726642502,1.8248678733574988,0,0.0,100.0
none_3,none,1,5,7,2.2057543518007416,1.801823248199259,0,0.0,100.0
none_3,none,1,6,7,2.2198916140520533,1.7876859859479475,0,0.0,100.0
none_3,none,1,7,7,2.194583762590802,1.8129938374091996,0,0.0,100.0
none_3,none,1,8,7,2.1630103924481037,1.844567207551898,0,0.0,100.0
none_3,none,1,9,7,2.232206546006068,1.775371053993933,0,0.0,100.0
none_3,none,1,0,8,2.2296467394566544,1.777930860543347,0,0.0,100.0
none_3,none,1,1,8,2.170856739807933,1.8367208601920686,0,0.0,100.0
none_3,none,1,2,8,2.160152713683345,1.8474248863166562,0,0.0,100.0
none_3,none,1,3,8,2.1642951076308545,1.843282492369147,0,0.0,100.0
none_3,none,1,4,8,2.158059305894276,1.8495182941057258,0,0.0,100.0
none_3,none,1,5,8,2.189170780816171,1.81840681918383,0,0.0,100.0
none_3,none,1,6,8,2.1806235346940435,1.8269540653059577,0,0.0,100.0
none_3,none,1,7,8,2.194568548854404,1.8130090511455967,0,0.0,100.0
none_3,none,1,8,8,2.170930012005183,1.8366475879948183,0,0.0,100.0
none_3,none,1,9,8,2.2174465881760055,1.790131011823996,0,0.0,100.0
none_3,none,1,0,9,2.2941582274372827,1.713419372562718,0,0.0,100.0
none_3,none,1,1,9,2.2042426151616743,1.8033349848383267,0,0.0,100.0
none_3,none,1,2,9,2.2091199050533734,1.7984576949466275,0,0.0,100.0
none_3,none,1,3,9,2.219891308936799,1.7876862910632019,0,0.0,100.0
none_3,none,1,4,9,2.252432010858443,1.7551455891415577,0,0.0,100.0
none_3,none,1,5,9,2.24233184695334,1.765245753046661,0,0.0,100.0
none_3,none,1,6,9,2.201769301457308,1.8058082985426933,0,0.0,100.0
none_3,none,1,7,9,2.2110886091912785,1.7964889908087227,0,0.0,100.0
none_3,none,1,8,9,2.214746138462178,1.7928314615378234,0,0.0,100.0
none_3,none,1,9,9,2.259486151045443,1.7480914489545576,0,0.0,100.0
none_2,none,1,0,0,2.2121482161038255,1.7954293838961757,0,0.0,100.0
none_2,none,1,1,0,2.1798498496765535,1.8277277503234481,0,0.0,100.0
none_2,none,1,2,0,2.2107224653133266,1.7968551346866748,0,0.0,100.0
none_2,none,1,3,0,2.2504939367197534,1.7570836632802473,0,0.0,100.0
none_2,none,1,4,0,2.228847487255173,1.7787301127448276,0,0.0,100.0
