run_id,strategy,calendar_interval,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
calendar_0,calendar,7,1,0,0,3.582629722304564,0.4249478776954364,10,0.26,100.0
calendar_0,calendar,7,1,1,0,3.5056043688582474,0.501973231141752,10,0.26,100.0
calendar_0,calendar,7,1,2,0,3.510006509470003,0.4975710905299976,10,0.26,100.0
calendar_0,calendar,7,1,3,0,3.5347254752729014,0.47285212472709875,10,0.26,100.0
calendar_0,calendar,7,1,4,0,3.529898505429017,0.4776790945709821,10,0.26,100.0
calendar_0,calendar,7,1,5,0,3.534628664374001,0.4729489356260008,10,0.26,100.0
calendar_0,calendar,7,1,6,0,3.522231353666672,0.48534624633332757,10,0.26,100.0
calendar_0,calendar,7,1,7,0,3.492031880157001,0.5155457198430002,10,0.26,100.0
calendar_0,calendar,7,1,8,0,3.4969679435514474,0.5106096564485544,10,0.26,100.0
calendar_0,calendar,7,1,9,0,3.5802858379025118,0.42729176209749,10,0.26,100.0
calendar_0,calendar,7,1,0,1,3.4592794518959966,0.5482981481040031,10,0.26,100.0
calendar_0,calendar,7,1,1,1,3.31979024943477,0.6877873505652304,10,0.26,100.0
calendar_0,calendar,7,1,2,1,3.3817425411930224,0.6258350588069792,10,0.26,100.0
calendar_0,calendar,7,1,3,1,3.4217532419974637,0.5858243580025358,10,0.26,100.0
calendar_0,calendar,7,1,4,1,3.3833478995914734,0.6242297004085277,10,0.26,100.0
calendar_0,calendar,7,1,5,1,3.4430871234244904,0.5644904765755089,10,0.26,100.0
calendar_0,calendar,7,1,6,1,3.385924467058649,0.6216531329413508,10,0.26,100.0
calendar_0,calendar,7,1,7,1,3.400164806615919,0.6074127933840803,10,0.26,100.0
calendar_0,calendar,7,1,8,1,3.3609597443858172,0.6466178556141836,10,0.26,100.0
calendar_0,calendar,7,1,9,1,3.4757038145512062,0.531873785448794,10,0.26,100.0
calendar_0,calendar,7,1,0,2,3.499321442709974,0.5082561572900255,10,0.26,100.0
calendar_0,calendar,7,1,1,2,3.4209131507028214,0.5866644492971782,10,0.26,100.0
calendar_0,calendar,7,1,2,2,3.4521825037771494,0.5553950962228518,10,0.26,100.0
calendar_0,calendar,7,1,3,2,3.4371246965057716,0.5704529034942281,10,0.26,100.0
calendar_0,calendar,7,1,4,2,3.413295949076801,0.5942816509231991,10,0.26,100.0
calendar_0,calendar,7,1,5,2,3.459902390735495,0.5476752092645045,10,0.26,100.0
calendar_0,calendar,7,1,6,2,3.448168949796342,0.5594086502036593,10,0.26,100.0
calendar_0,calendar,7,1,7,2,3.449447640588575,0.5581299594114241,10,0.26,100.0
calendar_0,calendar,7,1,8,2,3.397123404791189,0.6104541952088105,10,0.26,100.0
calendar_0,calendar,7,1,9,2,3.470318525539624,0.5372590744603768,10,0.26,100.0
calendar_0,calendar,7,1,0,3,3.523294198342244,0.4842834016577564,10,0.26,100.0
calendar_0,calendar,7,1,1,3,3.4162490135893155,0.5913285864106854,10,0.26,100.0
calendar_0,calendar,7,1,2,3,3.4719732859501056,0.5356043140498942,10,0.26,100.0
calendar_0,calendar,7,1,3,3,3.465613315488095,0.541964284511904,10,0.26,100.0
calendar_0,calendar,7,1,4,3,3.4344125143365973,0.5731650856634043,10,0.26,100.0
calendar_0,calendar,7,1,5,3,3.4585514793886865,0.5490261206113126,10,0.26,100.0
calendar_0,calendar,7,1,6,3,3.4996788745757494,0.50789872542425,10,0.26,100.0
calendar_0,calendar,7,1,7,3,3.461636054988739,0.5459415450112609,10,0.26,100.0
calendar_0,calendar,7,1,8,3,3.3851264669896897,0.6224511330103102,10,0.26,100.0
calendar_0,calendar,7,1,9,3,3.500009136443095,0.5075684635569049,10,0.26,100.0
calendar_0,calendar,7,1,0,4,3.5110812816324404,0.49649631836756,10,0.26,100.0
calendar_0,calendar,7,1,1,4,3.400443390112445,0.6071342098875537,10,0.26,100.0
calendar_0,calendar,7,1,2,4,3.468846107135747,0.5387314928642534,10,0.26,100.0
calendar_0,calendar,7,1,3,4,3.4636321445549334,0.5439454554450659,10,0.26,100.0
calendar_0,calendar,7,1,4,4,3.447822355815686,0.5597552441843149,10,0.26,100.0
calendar_0,calendar,7,1,5,4,3.4557552791626645,0.5518223208373361,10,0.26,100.0
calendar_0,calendar,7,1,6,4,3.4559217869395082,0.5516558130604917,10,0.26,100.0
calendar_0,calendar,7,1,7,4,3.43670548624085,0.57087211375915,10,0.26,100.0
calendar_0,calendar,7,1,8,4,3.383617332928003,0.6239602670719974,10,0.26,100.0
calendar_0,calendar,7,1,9,4,3.542338201887458,0.465239398112543,10,0.26,100.0
calendar_0,calendar,7,1,0,5,3.4749740239063165,0.5326035760936825,10,0.26,100.0
calendar_0,calendar,7,1,1,5,3.393695687110821,0.6138819128891808,10,0.26,100.0
calendar_0,calendar,7,1,2,5,3.435668448918234,0.5719091510817668,10,0.26,100.0
