run_id,strategy,pesticide_threshold,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
threshold_3,threshold,0.1,1,0,0,3.5411133327488247,0.46646426725117496,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,1,0,3.474728393032513,0.5328492069674856,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,2,0,3.4620993968332896,0.5454782031667087,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,3,0,3.547395549324719,0.46018205067528173,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,4,0,3.5001583726992096,0.5074192273007894,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,5,0,3.5070561016246664,0.5005214983753339,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,6,0,3.4684539164193993,0.5391236835806015,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,7,0,3.491731284575711,0.5158463154242883,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,8,0,3.4457252760729684,0.5618523239270329,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,9,0,3.559225320481192,0.44835227951880813,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,0,1,3.4943004653990677,0.5132771346009333,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,1,1,3.3162072713882225,0.6913703286117786,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,2,1,3.397636544139298,0.6099410558607026,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,3,1,3.4199279238520104,0.5876496761479892,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,4,1,3.4332227001520623,0.5743548998479382,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,5,1,3.373026011040526,0.634551588959474,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,6,1,3.3833938210518117,0.6241837789481884,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,7,1,3.364584493496872,0.6429931065031289,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,8,1,3.3372035607293435,0.6703740392706584,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,9,1,3.410444255399003,0.5971333446009975,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,0,2,3.4902823392320794,0.5172952607679207,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,1,2,3.442335071004829,0.5652425289951709,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,2,2,3.4583132135792933,0.549264386420707,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,3,2,3.477591172437638,0.5299864275623617,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,4,2,3.4329799676454376,0.5745976323545628,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,5,2,3.43313935095522,0.5744382490447805,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,6,2,3.4583597288709784,0.549217871129021,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,7,2,3.4093962717175486,0.5981813282824523,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,8,2,3.386342313490943,0.6212352865090572,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,9,2,3.478808333528321,0.528769266471679,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,0,3,3.5143322235277656,0.4932453764722334,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,1,3,3.4337850505695537,0.5737925494304476,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,2,3,3.450303729105692,0.5572738708943081,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,3,3,3.4866487274293427,0.5209288725706566,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,4,3,3.4389878590121543,0.5685897409878461,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,5,3,3.4350561946576663,0.572521405342333,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,6,3,3.4127299263545967,0.5948476736454028,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,7,3,3.4416251403256064,0.5659524596743932,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,8,3,3.34152471981954,0.6660528801804598,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,9,3,3.495135200628084,0.5124423993719172,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,0,4,3.504336267494906,0.5032413325050931,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,1,4,3.406580204742358,0.6009973952576426,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,2,4,3.4177411065327115,0.5898364934672878,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,3,4,3.436176313189004,0.571401286810996,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,4,4,3.4021288129557044,0.6054487870442957,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,5,4,3.440935765164527,0.5666418348354744,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,6,4,3.4200394035323867,0.5875381964676136,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,7,4,3.4377346877575707,0.5698429122424298,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,8,4,3.36287391475172,0.6447036852482798,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,9,4,3.4826738044176855,0.5249037955823161,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,0,5,3.503319779383149,0.5042578206168508,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,1,5,3.399820465398713,0.6077571346012859,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,2,5,3.4451375616504403,0.562440038349559,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,3,5,3.4543390179784326,0.5532385820215678,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,4,5,3.4775563909751317,0.5300212090248687,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,5,5,3.4353740248100606,0.5722035751899405,10,0.32499999999999996,100.0
