Parameter Sweep,Strategy,Season,Spray Day (Cycle),Pest Load Before,Pest Load After,Cumulative Sprays
thresh02,calendar,1,71,1.0,0.3,5
thresh02,calendar,2,91,1.0,0.3,1
thresh02,calendar,2,105,1.0,0.3,2
thresh02,calendar,2,119,1.0,0.3,3
thresh02,calendar,2,133,1.0,0.2,4
thresh02,calendar,2,147,1.0,0.3,5
thresh02,calendar,3,167,0.8,0.26,1
thresh02,calendar,3,181,1.0,0.2,2
thresh02,calendar,3,195,1.0,0.3,3
thresh02,calendar,3,209,1.0,0.3,4
thresh02,calendar,3,223,1.0,0.2,5
thresh04,calendar,1,15,0.9,0.28,1
thresh04,calendar,1,29,1.0,0.2,2
thresh04,calendar,1,43,1.0,0.3,3
thresh04,calendar,1,57,1.0,0.3,4
thresh04,calendar,1,71,1.0,0.2,5
thresh04,calendar,2,91,1.0,0.3,1
thresh04,calendar,2,105,1.0,0.3,2
thresh04,calendar,2,119,1.0,0.2,3
thresh04,calendar,2,133,1.0,0.2,4
thresh04,calendar,2,147,1.0,0.3,5
thresh04,calendar,3,167,1.0,0.3,1
thresh04,calendar,3,181,1.0,0.3,2
thresh04,calendar,3,195,1.0,0.3,3
thresh04,calendar,3,209,1.0,0.3,4
thresh04,calendar,3,223,1.0,0.2,5
decay00,threshold,1,8,0.4,0.18,1
decay00,threshold,1,15,0.68,0.236,2
decay00,threshold,1,22,0.836,0.267,3
decay00,threshold,1,29,0.667,0.233,4
decay00,threshold,1,36,0.733,0.247,5
decay00,threshold,1,43,0.747,0.249,6
decay00,threshold,1,50,0.749,0.25,7
decay00,threshold,1,57,0.55,0.21,8
decay00,threshold,1,64,0.61,0.122,9
decay00,threshold,1,71,0.622,0.224,10
decay00,threshold,2,84,0.5,0.2,1
decay00,threshold,2,91,0.6,0.22,2
decay00,threshold,2,98,0.52,0.204,3
decay00,threshold,2,105,0.804,0.261,4
decay00,threshold,2,112,0.861,0.272,5
decay00,threshold,2,119,0.772,0.254,6
decay00,threshold,2,126,0.654,0.231,7
decay00,threshold,2,133,0.631,0.226,8
decay00,threshold,2,140,0.726,0.245,9
decay00,threshold,2,147,0.645,0.229,10
decay00,threshold,3,160,0.6,0.22,1
decay00,threshold,3,167,0.82,0.264,2
decay00,threshold,3,174,0.764,0.253,3
decay00,threshold,3,181,0.853,0.171,4
decay00,threshold,3,188,0.571,0.214,5
decay00,threshold,3,195,0.714,0.243,6
decay00,threshold,3,202,0.643,0.229,7
decay00,threshold,3,209,0.829,0.166,8
decay00,threshold,3,216,0.666,0.233,9
decay00,threshold,3,223,0.633,0.227,10
decay05,threshold,1,8,0.6,0.22,1
decay05,threshold,1,15,0.72,0.244,2
decay05,threshold,1,22,0.744,0.249,3
decay05,threshold,1,29,0.649,0.23,4
decay05,threshold,1,36,0.83,0.166,5
decay05,threshold,1,43,0.566,0.113,6
decay05,threshold,1,50,0.613,0.223,7
decay05,threshold,1,57,0.823,0.165,8
decay05,threshold,1,64,0.565,0.213,9
decay05,threshold,1,71,0.713,0.243,10
decay05,threshold,2,84,0.7,0.24,1
decay05,threshold,2,91,0.64,0.228,2
decay05,threshold,2,98,0.728,0.146,3
decay05,threshold,2,105,0.546,0.209,4
decay05,threshold,2,112,0.609,0.222,5
decay05,threshold,2,119,0.722,0.244,6
decay05,threshold,2,126,0.844,0.269,7
decay05,threshold,2,133,0.769,0.154,8
decay05,threshold,2,140,0.754,0.251,9
decay05,threshold,2,147,0.651,0.13,10
decay05,threshold,3,160,0.7,0.24,1
decay05,threshold,3,167,0.74,0.248,2
decay05,threshold,3,174,0.748,0.25,3
decay05,threshold,3,181,0.75,0.15,4
decay05,threshold,3,188,0.75,0.25,5
decay05,threshold,3,195,0.65,0.23,6
decay05,threshold,3,202,0.83,0.266,7
decay05,threshold,3,209,0.366,0.173,8
decay05,threshold,3,216,0.773,0.255,9
decay05,threshold,3,223,0.755,0.251,10
eff06,threshold,1,8,0.5,0.3,1
eff06,threshold,1,15,0.7,0.38,2
eff06,threshold,1,22,0.88,0.452,3
eff06,threshold,1,29,0.952,0.481,4
eff06,threshold,1,36,0.781,0.412,5
eff06,threshold,1,43,0.712,0.285,6
eff06,threshold,1,50,0.785,0.414,7
eff06,threshold,1,57,0.914,0.466,8
eff06,threshold,1,64,0.866,0.346,9
eff06,threshold,1,71,0.846,0.438,10
eff06,threshold,2,84,0.6,0.34,1
eff06,threshold,2,91,0.84,0.436,2
eff06,threshold,2,98,0.836,0.434,3
eff06,threshold,2,105,0.834,0.434,4
eff06,threshold,2,112,0.834,0.434,5
eff06,threshold,2,119,0.834,0.333,6
eff06,threshold,2,126,0.833,0.333,7
eff06,threshold,2,133,0.833,0.333,8
eff06,threshold,2,140,0.833,0.433,9
eff06,threshold,2,147,0.833,0.333,10
