cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,threshold,0.1,0.98,0,1,2.709504
2,1,threshold,0.1,0.98,0,2,5.419008
3,1,threshold,0.2,0.96,0,3,8.073216
4,1,threshold,0.2,0.82,0,4,16.008192
5,1,threshold,0.2,0.82,0,5,23.943168
6,1,threshold,0.30000000000000004,0.73,0,6,31.007232000000002
7,1,threshold,0.4,0.6399999999999999,0,7,37.200384
8,1,threshold,0.14,0.874,1,1,45.6579072
9,1,threshold,0.24000000000000002,0.784,1,2,53.2445184
10,1,threshold,0.34,0.694,1,3,59.96021759999999
11,1,threshold,0.34,0.694,1,4,66.6759168
12,1,threshold,0.34,0.694,1,5,73.391616
13,1,threshold,0.44000000000000006,0.6039999999999999,1,6,79.2364032
14,1,threshold,0.54,0.514,1,7,84.21027839999999
15,1,threshold,0.154,0.8613999999999999,2,1,92.54587391999999
16,1,threshold,0.254,0.7714,2,2,100.01055743999999
17,1,threshold,0.254,0.7714,2,3,107.47524095999998
18,1,threshold,0.354,0.6814,2,4,114.06901247999998
19,1,threshold,0.45399999999999996,0.5914,2,5,119.79187199999998
20,1,threshold,0.45399999999999996,0.5914,2,6,125.51473151999998
21,1,threshold,0.5539999999999999,0.5014000000000001,2,7,130.36667903999998
22,1,threshold,0.055399999999999984,0.95014,3,1,139.56099379199998
23,1,threshold,0.15539999999999998,0.86014,3,2,147.88439654399997
24,1,threshold,0.25539999999999996,0.77014,3,3,155.33688729599996
25,1,threshold,0.35539999999999994,0.68014,3,4,161.91846604799997
26,1,threshold,0.4553999999999999,0.5901400000000001,3,5,167.62913279999998
27,1,threshold,0.5553999999999999,0.50014,3,6,172.46888755199998
28,1,threshold,0.6553999999999999,0.5,3,7,177.307287552
29,1,threshold,0.16553999999999996,0.851014,4,1,185.5423798272
30,1,threshold,0.26554,0.761014,4,2,192.9065601024
31,1,threshold,0.36554,0.671014,4,3,199.3998283776
32,1,threshold,0.36554,0.671014,4,4,205.89309665279998
33,1,threshold,0.46553999999999995,0.581014,4,5,211.51545292799997
34,1,threshold,0.5655399999999999,0.5,4,6,216.35385292799998
35,1,threshold,0.5655399999999999,0.5,4,7,221.192252928
36,1,threshold,0.15655399999999997,0.8591014,5,1,229.50560535551998
37,1,threshold,0.25655399999999995,0.7691014,5,2,236.94804578304
38,1,threshold,0.3565539999999999,0.6791014000000001,5,3,243.51957421056
39,1,threshold,0.3565539999999999,0.6791014000000001,5,4,250.09110263808
40,1,threshold,0.4565539999999999,0.5891014000000001,5,5,255.7917190656
41,1,threshold,0.4565539999999999,0.5891014000000001,5,6,261.49233549312
42,1,threshold,0.5565539999999999,0.5,5,7,266.33073549311996
43,1,threshold,0.15565539999999997,0.85991014,6,1,274.65191393587196
44,1,threshold,0.2556554,0.76991014,6,2,282.102180378624
45,1,threshold,0.35565539999999995,0.67991014,6,3,288.681534821376
46,1,threshold,0.45565539999999993,0.58991014,6,4,294.389977264128
47,1,threshold,0.5556553999999999,0.5,6,5,299.22837726412797
48,1,threshold,0.5556553999999999,0.5,6,6,304.06677726412795
49,1,threshold,0.6556553999999999,0.5,6,7,308.90517726412793
50,1,threshold,0.16556553999999998,0.850991014,7,1,317.1400471084031
51,1,threshold,0.26556554,0.760991014,7,2,324.5040049526783
52,1,threshold,0.36556553999999997,0.744104122,7,3,333.7618507969535
53,1,threshold,0.36556553999999997,0.744104122,7,4,343.01969664122873
54,1,threshold,0.46556553999999994,0.6741041220000001,7,5,351.4066304855039
55,1,threshold,0.5655655399999999,0.6041041220000001,7,6,358.9226523297791
56,1,threshold,0.6655655399999999,0.5341041220000001,7,7,365.56776217405434
57,1,threshold,0.06655655399999998,0.9534104122,8,1,377.42971315848183
58,1,threshold,0.06655655399999998,0.9534104122,8,2,389.2916641429093
59,1,threshold,0.16655655399999997,0.8834104122,8,3,400.28270312733684
60,1,threshold,0.266556554,0.8134104122,8,4,410.4028301117644
61,1,threshold,0.266556554,0.8134104122,8,5,420.52295709619193
62,1,threshold,0.266556554,0.8134104122,8,6,430.6430840806195
63,1,threshold,0.266556554,0.8134104122,8,7,440.763211065047
64,1,threshold,0.266556554,0.8134104122,8,8,450.88333804947456
65,1,threshold,0.366556554,0.7434104122,8,9,460.13255303390207
66,1,threshold,0.1366556554,0.90434104122,9,1,471.3840025323448
67,1,threshold,0.2366556554,0.8343410412200001,9,2,481.7645400307876
68,1,threshold,0.2366556554,0.8343410412200001,9,3,492.1450775292304
69,1,threshold,0.3366556554,0.76434104122,9,4,501.6547030276731
70,1,threshold,0.43665565539999995,0.6943410412200001,9,5,510.2934165261159
71,1,threshold,0.5366556553999999,0.6243410412200001,9,6,518.0612180245587
72,1,threshold,0.6366556553999999,0.55434104122,9,7,524.9581075230014
73,1,threshold,0.16366556554,0.885434104122,10,1,535.9743244728458
74,1,threshold,0.16366556554,0.885434104122,10,2,546.9905414226901
75,1,threshold,0.26366556554,0.894533773784,10,3,557.5016710781616
77,2,threshold,0.1,0.98,0,1,2.709504
78,2,threshold,0.2,0.96,0,2,5.363712
79,2,threshold,0.30000000000000004,0.94,0,3,7.962624
80,2,threshold,0.4,0.6399999999999999,0,4,14.155776
81,2,threshold,0.5,0.55,0,5,19.478016
82,2,threshold,0.6,0.5,0,6,24.316416
83,2,threshold,0.7,0.5,0,7,29.154816
84,2,threshold,0.16999999999999998,0.847,1,1,37.3510656
85,2,threshold,0.27,0.757,1,2,44.676403199999996
86,2,threshold,0.37,0.667,1,3,51.130828799999996
87,2,threshold,0.47,0.577,1,4,56.71434239999999
88,2,threshold,0.57,0.5,1,5,61.55274239999999
89,2,threshold,0.6699999999999999,0.5,1,6,66.39114239999999
90,2,threshold,0.7699999999999999,0.5,1,7,71.22954239999999
91,2,threshold,0.07699999999999997,0.9307000000000001,2,1,80.23574015999999
92,2,threshold,0.07699999999999997,0.9307000000000001,2,2,89.24193792
93,2,threshold,0.177,0.8407,2,3,97.37722368
94,2,threshold,0.277,0.7506999999999999,2,4,104.64159744
95,2,threshold,0.377,0.6607000000000001,2,5,111.0350592
96,2,threshold,0.477,0.5707,2,6,116.55760896000001
97,2,threshold,0.477,0.5707,2,7,122.08015872000001
98,2,threshold,0.1477,0.86707,3,1,130.47062169600002
99,2,threshold,0.2477,0.7770699999999999,3,2,137.99017267200003
100,2,threshold,0.3477,0.68707,3,3,144.63881164800003
101,2,threshold,0.4477,0.59707,3,4,150.41653862400003
102,2,threshold,0.5477,0.50707,3,5,155.32335360000002
103,2,threshold,0.6476999999999999,0.5,3,6,160.16175360000003
104,2,threshold,0.7476999999999999,0.5,3,7,165.00015360000003
105,2,threshold,0.07476999999999998,0.9327070000000001,4,1,174.02577269760002
106,2,threshold,0.07476999999999998,0.9327070000000001,4,2,183.0513917952
107,2,threshold,0.07476999999999998,0.9327070000000001,4,3,192.0770108928
108,2,threshold,0.07476999999999998,0.9327070000000001,4,4,201.10262999039998
109,2,threshold,0.17476999999999998,0.842707,4,5,209.25733708799999
110,2,threshold,0.17476999999999998,0.842707,4,6,217.4120441856
111,2,threshold,0.27476999999999996,0.752707,4,7,224.6958392832
112,2,threshold,0.37476999999999994,0.662707,4,8,231.1087223808
113,2,threshold,0.137477,0.8762707000000001,5,1,239.58821869056
114,2,threshold,0.237477,0.7862707,5,2,247.19680300032002
115,2,threshold,0.337477,0.6962706999999999,5,3,253.93447531008002
116,2,threshold,0.437477,0.6062707,5,4,259.80123561984004
117,2,threshold,0.537477,0.5162707,5,5,264.79708392960003
118,2,threshold,0.537477,0.5162707,5,6,269.79293223936
119,2,threshold,0.637477,0.5,5,7,274.63133223936
120,2,threshold,0.1637477,0.85262707,6,1,282.882033870336
121,2,threshold,0.26374770000000003,0.76262707,6,2,290.261823501312
122,2,threshold,0.3637477,0.67262707,6,3,296.77070113228797
123,2,threshold,0.3637477,0.67262707,6,4,303.27957876326394
124,2,threshold,0.4637477,0.58262707,6,5,308.91754439423994
125,2,threshold,0.5637477,0.5,6,6,313.7559443942399
126,2,threshold,0.6637476999999999,0.5,6,7,318.5943443942399
127,2,threshold,0.16637477,0.850262707,7,1,326.8221665573375
128,2,threshold,0.26637477,0.813537661,7,2,336.94387672043507
129,2,threshold,0.36637476999999996,0.743537661,7,3,346.1946748835327
130,2,threshold,0.46637476999999994,0.6735376610000001,7,4,354.57456104663027
131,2,threshold,0.5663747699999999,0.6035376610000001,7,5,362.08353520972787
132,2,threshold,0.6663747699999999,0.5335376610000001,7,6,368.7215973728255
133,2,threshold,0.7663747699999999,0.5,7,7,374.9423973728255
134,2,threshold,0.176637477,0.8763537661,8,1,385.84564038913527
135,2,threshold,0.176637477,0.8763537661,8,2,396.74888340544504
136,2,threshold,0.27663747699999996,0.8063537661,8,3,406.7812144217548
