run_id,strategy,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_2,none,1,2.239173964660161,1.7684036353398398,0,11717.521893980484,100.0
none_1,none,1,2.1507662199706252,1.8568113800293764,0,11452.298659911876,100.0
none_0,none,1,2.21485555434543,1.7927220456545712,0,11644.56666303629,100.0
none_3,none,1,2.194467979571035,1.8131096204289663,0,11583.403938713105,100.0
none_2,none,2,2.16487559580552,1.8427020041944808,0,18212.148681397044,100.0
none_1,none,2,2.160131132823325,1.8474464671766762,0,17932.69205838185,100.0
none_0,none,2,2.1946235697020744,1.8129540302979268,0,18228.437372142515,100.0
none_3,none,2,2.2116438197169184,1.7959337802830828,0,18218.335397863862,100.0
none_2,none,3,2.1951085583846104,1.8124690416153906,0,24797.474356550876,100.0
none_1,none,3,2.1992033613474047,1.808374238652596,0,24530.302142424065,100.0
none_0,none,3,2.1748987620161264,1.8326788379838752,0,24753.133658190894,100.0
none_3,none,3,2.1922247016239447,1.8153528983760567,0,24795.009502735695,100.0
none_7,none,1,2.163792568650057,1.8437850313499442,0,11491.377705950172,100.0
none_6,none,1,2.2074957869643432,1.8000818130356577,0,11622.487360893028,100.0
none_5,none,1,2.228745465695087,1.7788321343049143,0,11686.23639708526,100.0
none_4,none,1,2.208679180419517,1.7988984195804836,0,11626.037541258553,100.0
none_7,none,2,2.2129639086460906,1.7946136913539104,0,18130.269431888442,100.0
none_6,none,2,2.2332345158426925,1.7743430841573085,0,18322.190908421107,100.0
none_5,none,2,2.272132803637619,1.7354447963623814,0,18502.634807998118,100.0
none_4,none,2,2.1752490209965036,1.8323285790034975,0,18151.784604248063,100.0
none_7,none,3,2.1916453241014424,1.8159322758985588,0,24705.20540419277,100.0
none_6,none,3,2.1846612087131057,1.8229163912868955,0,24876.174534560425,100.0
none_5,none,3,2.192504968038174,1.8150726319618269,0,25080.14971211264,100.0
none_4,none,3,2.1817235261816963,1.8258540738183053,0,24696.95518279315,100.0
none_11,none,1,2.1507662199706252,1.8568113800293764,0,11452.298659911876,100.0
none_10,none,1,2.1718059460764048,1.8357716539235966,0,11515.417838229214,100.0
